# name gender1 accuracy1 samples1 gender2 accuracy2 samples2
Annika	female	98	4489	female	  100	162
Anouk	female	97	1634	female	  100	53
Antara	female	86	348	female	  100	14
Anthony	male	99	85303	male	  100	3029
Antoine	male	99	26199	male	  100	411
Antoinette	female	98	3052	female	  100	144
Anton	male	99	21192	male	  100	537
Antonin	male	98	1899	male	  100	43
Antonino	male	99	6860	male	  100	48
Antonio	male	99	180825	male	  100	2290
Antonios	male	99	413	male	  100	6
Antony	male	98	11567	male	  100	249
Antoun	male	97	79	None	nan	nan
Anuj	male	100	5473	male	  100	108
Anup	male	100	3641	male	   99	95
Anupam	male	95	2666	male	   98	55
Anupama	female	97	1007	female	  100	45
Anuradha	female	86	1570	female	   91	32
Anurag	male	100	6515	male	  100	64
Aparna	female	98	2102	female	  100	38
Apostle	male	94	197	male	   93	15
Apostolos	male	98	774	male	  100	18
Apurva	female	58	1054	female	   62	13
Aramais	male	100	8	None	nan	nan
Arati	female	96	269	male	  100	1
Aravind	male	100	3106	male	  100	29
Ardeshir	male	99	190	male	  100	1
Ardhendu	male	100	103	male	  100	1
Aren	male	83	314	male	   78	9
Arend	male	96	418	male	  100	5
Argyro	female	100	92	female	  100	2
Ari	male	77	10489	male	   76	308
Arie	male	92	4212	male	   86	64
Arieh	male	97	30	None	nan	nan
Ariel	male	74	11496	male	   66	556
Arif	male	98	20948	male	   99	256
Aris	male	94	5608	male	   89	100
Aristotle	male	99	112	male	  100	1
Ariyeh	None	nan	nan	None	nan	nan
Arjun	male	100	7805	male	  100	95
Arlindo	male	99	1241	male	  100	6
Armando	male	99	17404	male	   99	589
Armin	male	98	5364	male	   99	131
Arnaud	male	98	25142	male	   99	375
Arne	male	98	2733	male	  100	110
Arnold	male	98	7549	male	   98	186
Arsen	male	98	1446	male	  100	7
Arsine	female	78	9	None	nan	nan
Arthur	male	99	20561	male	   98	547
Arti	female	64	1604	female	   90	29
Artie	male	85	297	male	   98	40
Artur	male	99	24643	male	   98	117
Arturas	male	99	558	male	  100	4
Arun	male	99	24419	male	  100	330
Arunav	male	100	78	male	  100	1
Arwen	female	91	350	female	  100	14
Arya	male	78	3396	male	   89	84
Asad	male	98	7057	male	  100	57
Ashit	male	100	212	male	  100	2
Ashley	female	84	40088	female	   90	3897
Ashok	male	100	12914	male	  100	130
Ashraf	male	98	10005	male	   92	217
Ashu	male	86	2470	female	   75	28
Ashwin	male	99	4274	male	  100	142
Asif	male	99	9889	male	  100	162
Asoka	male	89	133	male	  100	1
Ata	male	93	3112	male	   91	32
Athanasios	male	99	485	male	  100	10
Athanassios	male	100	42	male	  100	1
Atish	male	99	593	male	  100	8
Atsuko	female	97	194	female	  100	13
Atsushi	male	100	935	male	  100	13
Attila	male	99	14128	male	  100	55
Aubra	female	94	16	None	nan	nan
Aubrey	female	57	2469	female	   82	113
Audra	female	99	939	female	  100	76
August	male	85	1620	male	   88	66
Augusto	male	99	7854	male	  100	143
Augustus	male	98	487	male	  100	9
Austin	male	98	13103	male	   96	709
Avaine	None	nan	nan	None	nan	nan
Avanti	female	69	124	female	  100	4
Avery	male	56	1416	female	   55	60
Avram	male	84	239	male	  100	2
Aws	male	96	323	male	  100	16
Axel	male	98	13794	male	   98	283
Ayhan	male	96	20058	male	   98	202
Bahman	male	98	915	male	  100	4
Bahram	male	99	1165	male	  100	11
Balša	male	100	10	None	nan	nan
Baolian	None	nan	nan	None	nan	nan
Barbara	female	98	58381	female	  100	2837
Barham	male	99	136	None	nan	nan
Barry	male	98	13520	male	   98	635
Bartlett	male	72	18	male	  100	1
Barton	male	97	240	male	   88	8
Bartosz	male	100	7087	male	  100	22
Baruch	male	98	200	male	  100	6
Bashar	male	99	1928	male	  100	57
Basmah	female	98	88	female	  100	1
Bassem	male	98	3015	male	  100	48
Bei	female	70	261	female	   83	6
Bei-Lok	male	65	797	None	nan	nan
Bela	female	65	2536	female	   80	15
Belinda	female	98	6452	female	  100	449
Belva	female	66	65	female	  100	6
Ben	male	97	73526	male	   99	3363
Benedict	male	98	1805	male	  100	59
Bengt	male	98	1353	male	  100	52
Benjamin	male	99	50718	male	  100	1475
Benjawan	female	97	268	female	  100	3
Bennett	male	95	652	male	   96	27
Bernadette	female	94	8163	female	  100	301
Bernard	male	98	30260	male	  100	397
Bernardus	male	99	67	male	  100	2
Bernhard	male	98	4878	male	  100	47
Bert	male	98	7084	male	   96	135
Beth	female	99	12570	female	  100	1541
Bethany	female	99	4339	female	  100	473
Betru	None	nan	nan	None	nan	nan
Betty	female	98	16619	female	  100	840
Bettye	female	97	69	female	  100	4
Beverly	female	97	3844	female	   99	385
Bharat	male	100	6592	male	  100	76
Bhaskar	male	100	3033	male	  100	20
Bhasker	male	100	207	male	  100	12
Bhuvnesh	male	98	247	male	  100	5
Bibhas	male	100	97	None	nan	nan
Bidushi	female	100	8	None	nan	nan
Bih-Cherng	female	65	72	None	nan	nan
Bijan	male	98	774	male	  100	23
Bijunath	None	nan	nan	None	nan	nan
Bikram	male	99	971	male	  100	9
Bilal	male	97	28874	male	   99	376
Billy	male	97	16848	male	   98	913
Biman	male	100	143	female	   50	2
Bin	male	89	2162	male	   89	37
Bing	male	63	1057	female	   62	37
Bingrong	None	nan	nan	None	nan	nan
Binwei	male	75	4	None	nan	nan
Birgit	female	99	4706	female	  100	128
Birjoo	None	nan	nan	None	nan	nan
Bishwajit	male	100	139	male	  100	1
Bjoern	male	100	413	male	  100	14
Bjorn	male	99	2996	male	  100	54
Blair	male	58	2060	male	   67	236
Blaise	male	96	2868	male	   96	24
Blake	male	96	5952	male	   96	448
Bo	male	85	5389	male	   84	229
Bobby	male	97	14990	male	   96	745
Bockchoon	None	nan	nan	None	nan	nan
Bon-Chul	male	84	1324	None	nan	nan
Bonnie	female	92	6400	female	   99	784
Bonny	male	53	1215	female	   63	51
Boqi	None	nan	nan	None	nan	nan
Borge	male	97	29	male	  100	1
Boris	male	99	15168	male	  100	288
Boro	male	96	429	male	  100	4
Borun	male	100	6	None	nan	nan
Bradford	male	97	511	male	  100	38
Bradley	male	99	6719	male	  100	394
Bram	male	99	3040	male	  100	88
Brand	male	89	246	male	  100	3
Branden	male	99	817	male	  100	42
Brandon	male	100	29118	male	  100	1869
Branson	male	93	89	male	  100	4
Brant	male	98	435	male	  100	19
Brenda	female	98	22551	female	   99	1816
Brendan	male	99	6341	male	  100	517
Brennan	male	94	839	male	   92	49
Brent	male	100	7215	male	  100	595
Bret	male	98	1407	male	   99	88
Brett	male	98	9518	male	   99	976
Brian	male	99	69588	male	  100	4600
Britt	female	86	1999	female	   93	163
Britton	male	77	173	male	   63	8
Brooke	female	97	6040	female	   99	709
Brooks	male	89	786	male	   89	65
Bruce	male	99	14681	male	  100	800
Bruna	female	98	15666	female	  100	166
Bruno	male	99	84051	male	  100	926
Bryan	male	99	27027	male	  100	1311
Bryna	female	98	80	female	  100	11
Buddhika	male	89	414	female	   67	3
Buell	male	100	23	None	nan	nan
Buford	male	98	47	male	  100	1
Bunnie	female	85	82	female	  100	6
Burcin	female	76	611	female	   75	4
Burt	male	97	444	male	   96	26
Butler	male	89	79	male	  100	1
Byron	male	99	4290	male	  100	209
Byung-Il	male	93	2816	None	nan	nan
Caer-Eve	female	96	8380	None	nan	nan
Cailin	female	95	135	female	  100	7
Caitlin	female	99	5889	female	  100	576
Caleb	male	100	6757	male	   99	354
Calvin	male	99	7186	male	   99	298
Candace	female	98	2743	female	  100	313
Candice	female	98	5276	female	  100	442
Capp	male	80	10	None	nan	nan
Cara	female	95	3419	female	  100	370
Carey	female	57	1221	female	   78	120
Carl	male	98	18194	male	  100	929
Carl-Heinz	male	100	12	None	nan	nan
Carleton	male	94	64	male	  100	1
Carlos	male	99	174998	male	  100	5149
Carlton	male	99	905	male	  100	38
Carmen	female	98	54029	female	  100	1916
Carol	female	97	29790	female	   99	2345
Carole	female	98	19118	female	  100	630
Caroline	female	98	47275	female	  100	2457
Carolyn	female	99	7827	female	  100	991
Carrie	female	98	8198	female	  100	978
Carrol	female	82	136	female	  100	9
Carroll	male	60	261	male	   60	15
Casey	male	58	8670	female	   56	778
Catharine	female	97	279	female	  100	30
Catherine	female	98	41180	female	  100	2372
Cathy	female	98	22292	female	  100	1365
Catrina	female	96	658	female	  100	29
Cecelia	female	97	542	female	  100	26
Cecilia	female	98	18089	female	   99	1101
Celeste	female	95	5906	female	  100	302
Chad	male	99	11863	male	  100	1028
Chadwick	male	99	276	male	  100	10
Chaincy	None	nan	nan	None	nan	nan
Chan	male	68	4417	male	   50	294
Chanda	female	73	732	female	   97	66
Chandra	male	83	6648	male	   54	135
Chandrakumar	male	100	63	male	  100	1
Chandrasekharan	male	100	32	None	nan	nan
Chang	male	72	2129	male	   63	101
Chang-Hui	male	62	3813	None	nan	nan
Changbom	None	nan	nan	None	nan	nan
Changming	male	100	14	None	nan	nan
Changqing	male	95	21	None	nan	nan
Changyaw	None	nan	nan	None	nan	nan
Channon	female	55	42	female	  100	10
Chao	male	86	1135	male	   81	16
Chao-Lin	female	51	7591	female	  100	1
Chao-Wei	male	100	3	None	nan	nan
Chao-Yea	male	85	1225	None	nan	nan
Chaojun	male	88	8	None	nan	nan
Charlene	female	97	8272	female	  100	630
Charles	male	98	52754	male	  100	1798
Charmaine	female	98	2499	female	   99	149
Chen	male	63	5576	male	   57	239
Chen-Chou	male	58	6923	None	nan	nan
Cheng	male	73	1902	female	   57	84
Cheng-Hsuan	male	100	4	None	nan	nan
Cheng-Jen	female	83	13962	None	nan	nan
Chenglin	male	90	30	None	nan	nan
Cherilynn	female	100	12	None	nan	nan
Cheryl	female	98	11938	female	  100	1628
Chester	male	97	1437	male	   97	73
Chethan	male	100	997	male	  100	4
Chi	female	58	2952	female	   55	86
Chi-Chao	male	55	4087	None	nan	nan
Chi-Hsuan	female	80	5	None	nan	nan
Chi-Kwan	female	58	3876	None	nan	nan
Chi-Wing	female	55	3927	None	nan	nan
Chi-Yung	male	55	4084	None	nan	nan
Chia-Hsien	male	83	6	None	nan	nan
Chia-Lin	female	69	16	None	nan	nan
