n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1992 | fa_1993 | fa_1994 | fa_1995 | fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1992 | all_1993 | all_1994 | all_1995 | all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
316 | Kalogera, Vassiliki | UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN | 1997 | female | 5 | 17 | 2007 | 7 | 254 | 2017 | 0 | 0 | 0 | 0 | 3 | 2 | 3 | 2 | 3 | 1 | 1 | 0 | 5 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 4 | 3 | 4 | 2 | 4 | 3 | 3 | 6 | 16 | 13 | 12 | 14 | 24 | 21 | 18 | 10 | 24 | 13 | 18 | 10 | 28 |
317 | Mahadevan, Rohan | HARVARD UNIVERSITY | 1997 | male | 5 | 3 | 1999 | 7 | 4 | 1999 | 0 | 0 | 0 | 0 | 1 | 4 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 2 | 4 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
318 | O'Neal, Douglas Bruce | THE PENNSYLVANIA STATE UNIVERSITY | 1997 | male | 3 | 5 | 2006 | 6 | 8 | 2011 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 2 | 3 | 3 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
319 | Paglione, Timothy A. D. | BOSTON UNIVERSITY | 1997 | male | 5 | 4 | 2012 | 9 | 13 | 2017 | 0 | 0 | 0 | 2 | 1 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 3 | 2 | 3 | 1 | 2 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 1 | 0 | 0 | 1 | 0 |
320 | Safi-Harb, Samar Riad | THE UNIVERSITY OF WISCONSIN - MADISON | 1997 | female | 3 | 11 | 2008 | 5 | 63 | 2017 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 1 | 1 | 2 | 0 | 0 | 1 | 4 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 2 | 2 | 0 | 1 | 2 | 3 | 1 | 4 | 3 | 11 | 1 | 2 | 5 | 0 | 4 | 2 | 3 | 1 | 7 | 0 | 8 |
321 | Bullock, Mark Alan | UNIVERSITY OF COLORADO AT BOULDER | 1997 | male | 5 | 7 | 2013 | 6 | 36 | 2015 | 0 | 2 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 2 | 1 | 0 | 1 | 2 | 0 | 2 | 0 | 2 | 0 | 0 | 3 | 2 | 0 | 2 | 1 | 1 | 1 | 0 | 2 | 12 | 7 | 1 | 0 |
322 | Protogeros, Zacharias A. M. | THE OHIO STATE UNIVERSITY | 1997 | male | 5 | 0 | 1997 | 5 | 0 | 1997 | 0 | 0 | 0 | 0 | 0 | 5 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 5 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
323 | Trump, Matthew Aaron | THE UNIVERSITY OF TEXAS AT AUSTIN | 1997 | male | 1 | 1 | 1998 | 1 | 1 | 1998 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
324 | Dayal, Aditya | THE UNIVERSITY OF ARIZONA | 1997 | male | 4 | 7 | 2009 | 10 | 28 | 2016 | 0 | 1 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 3 | 3 | 3 | 2 | 4 | 5 | 4 | 0 | 3 | 0 | 3 | 0 | 0 | 4 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 1 |
325 | Flatin, Daniel Christian | DUKE UNIVERSITY | 1997 | male | 1 | 0 | 1997 | 1 | 0 | 1997 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
