 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_1995 |  fa_1996 |  fa_1997 |  fa_1998 |  fa_1999 |  fa_2000 |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_1995 |  all_1996 |  all_1997 |  all_1998 |  all_1999 |  all_2000 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 270 | Leonard, Douglas Christopher | University of California, Berkeley | 2000 | male | 2 | 13 | 2011 | 15 | 81 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 5 | 1 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 6 | 6 | 6 | 11 | 4 | 1 | 10 | 3 | 4 | 4 | 4 | 2 | 4 | 9 | 3 | 5 | 3 | 5 |
 271 | Becker, Andrew Cameron | University of Washington | 2000 | male | 1 | 8 | 2013 | 33 | 108 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 3 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 4 | 7 | 4 | 8 | 10 | 10 | 3 | 4 | 2 | 8 | 4 | 7 | 16 | 5 | 7 | 7 | 9 | 9 | 9 | 4 | 4 |
 272 | Liu, Michael C. | University of California, Berkeley | 2000 | male | 7 | 22 | 2016 | 22 | 168 | 2017 | 1 | 2 | 0 | 0 | 0 | 4 | 1 | 3 | 1 | 2 | 1 | 1 | 1 | 1 | 0 | 3 | 2 | 1 | 2 | 0 | 1 | 2 | 3 | 3 | 2 | 1 | 4 | 9 | 3 | 5 | 7 | 9 | 10 | 4 | 10 | 12 | 9 | 12 | 10 | 11 | 15 | 14 | 18 | 14 |
 275 | Cumming, Andrew William | University of California, Berkeley | 2000 | male | 4 | 17 | 2017 | 6 | 219 | 2017 | 0 | 1 | 0 | 0 | 1 | 2 | 2 | 2 | 1 | 4 | 2 | 1 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 2 | 2 | 4 | 2 | 3 | 8 | 5 | 3 | 11 | 18 | 20 | 15 | 9 | 25 | 10 | 26 | 12 | 32 |
 282 | Harris, Jason Robert | University of California, Santa Cruz | 2000 | male | 3 | 12 | 2014 | 8 | 89 | 2015 | 0 | 0 | 1 | 0 | 1 | 1 | 2 | 0 | 0 | 2 | 0 | 1 | 1 | 2 | 1 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 3 | 1 | 2 | 2 | 4 | 1 | 0 | 6 | 1 | 4 | 2 | 7 | 11 | 2 | 4 | 10 | 12 | 15 | 10 | 0 |
 289 | Gildemeister, Jan Mathias | University of California, Berkeley | 2000 | male | 2 | 0 | 2000 | 2 | 1 | 2002 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 291 | Wong, Tony Hao | University of California, Berkeley | 2000 | male | 2 | 16 | 2013 | 5 | 87 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 2 | 0 | 3 | 0 | 1 | 1 | 2 | 2 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 3 | 4 | 2 | 2 | 4 | 3 | 4 | 4 | 6 | 7 | 5 | 4 | 9 | 12 | 6 | 8 | 2 |
 292 | Krisciunas, Kevin Lee | University of Washington | 2000 | male | 12 | 22 | 2017 | 24 | 74 | 2017 | 4 | 1 | 2 | 1 | 2 | 2 | 2 | 0 | 1 | 4 | 2 | 1 | 2 | 0 | 2 | 2 | 1 | 2 | 1 | 0 | 1 | 0 | 5 | 4 | 4 | 3 | 4 | 4 | 2 | 2 | 9 | 7 | 3 | 3 | 7 | 6 | 6 | 5 | 4 | 5 | 2 | 4 | 6 | 2 |
 295 | Beetle, Christopher | The Pennsylvania State University | 2000 | male | 1 | 8 | 2016 | 4 | 15 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 3 | 1 | 3 | 0 | 1 | 2 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 2 | 1 |
 297 | Gardner, Jeffrey Paul | University of Washington | 2000 | male | 9 | 3 | 2003 | 16 | 27 | 2014 | 2 | 2 | 3 | 0 | 1 | 1 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 4 | 4 | 2 | 2 | 2 | 6 | 1 | 2 | 3 | 3 | 2 | 1 | 1 | 0 | 1 | 5 | 1 | 0 | 1 | 0 | 0 |
