USA|2019|Planetary Science Institute, Tucson, AZ 85719, USA|0|Domingue, Deborah Lynn|Domingue, D.
USA|2019|National Center for Supercomputing Applications, 1205 West Clark St, Urbana, IL 61801, USA|0|Johnson, Michael William|Johnson, M. W. G.
USA|2016|Department of Astronomy, University of Florida, 211 Bryant Space Science Center Gainesville, FL 32611, USA|0|Lada, Elizabeth Anne|Lada, Elizabeth
USA|2018|Physics Division, Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA|0|Aldering, Gregory Scott|Aldering, G.
USA|2015|Yale University, Dept. of Physics, 217 Prospect St., New Haven, CT 06511, USA|0|Edwards, Bradley Carl|Edwards, B.
USA|2019|Space Telescope Science Institute, 3700 San Martin Drive, Baltimore, MD 21218, USA|0|Ferguson, Henry Closson|Ferguson, Henry C.
non-USA|2017|St. Mary's College, Halifax, Nova Scotia, Canada B3H 3C3|0|Austin, Robert Andreas|Austin, R. A. E.
USA|2019|California State University, Fullerton, 800 N State College Boulevard, Fullerton, CA 92831, USA|0|Cheng, Kwang-Ping|Cheng, Kwang-Ping
USA|2016|Department of Astronomy, University of Michigan, 500 Church Street, Ann Arbor, MI 48109, USA|0|Bell, Edwin Vern, II|Bell, E.
non-USA|2016|Institute of Geology and Geophysics, Chinese Academy of Sciences, Beijing, China|0|Shan, Lin-Hua|Shan, L.
USA|2019|Cahill Center for Astronomy and Astrophysics, California Institute of Technology, MS 249-17, Pasadena, CA 91125, USA|0|Steidel, Charles Colville|Steidel, Charles C.
non-USA|2019|Science Directorate, European Space Agency, Norrdwijk, The Netherlands|0|Tauber, Jan Alejandro|Tauber, J.
USA|2019|Department of Physics and Astronomy, Michigan State University, East Lansing, MI 48824, USA|0|Voit, Gerard Mark|Voit, G. Mark
non-USA|2017|Cerro Tololo Inter-American Observatory, National Optical Astronomy Observatory, Casilla 603, La Serena, Chile|0|Walker, Arthur H.|Walker, A.
USA|2016|Department of Physics, Princeton University, Princeton, New Jersey 08544, USA|3|Xiang, Xuwu|Xiang, X.
USA|2019|Center for Interdisciplinary Exploration &amp; Research in Astrophysics (CIERA), Northwestern University, Evanston, IL 60208, USA|0|Miller, James Anthony|Miller, B. B.
USA|2018|James Madison University, Harrisonburg, VA 22807, USA|0|Butner, Harold Martin|Butner, H.
USA|2019|Department of Physics and Astronomy, Purdue University, West Lafayette, IN 47907, USA|0|Finley, John Patrick|Finley, J. P.
USA|2019|Harvard-Smithsonian Center for Astrophysics, Cambridge, MA 02138, USA|2|Greenhill, Lincoln Jared|Greenhill, L. J.
non-USA|2006|National Radio Astronomy Observatory, 949 North Cherry Avenue, Tucson, AZ 85721|1|Holdaway, Mark Allan|Holdaway, Mark
USA|2018|Johns Hopkins University APL, Laurel, MD USA|0|Johnson, Joni Jayne|Johnson, J.
non-USA|2019|Max-Planck-Institut für extraterrestrische Physik (MPE), Giessenbachstrasse 1, D-85748 Garching bei München, Germany|0|Liu, Tianxing|Liu, T.
non-USA|2018|Département de physique, de génie physique et d'optique, Université Laval, Québec, QC, G1V 0A6, Canada ; Centre de Recherche en Astrophysique du Québec, QC, Canada|0|Martel, Hugo|Martel, Hugo
non-USA|2019|Korea Astronomy and Space Science Institute, 776 Daedeok-daero, Yuseong, Daejeon 34055, Republic of Korea|0|Minh, Young Chol|Minh, Young Chol
USA|2019|Center for Space Plasma and Aeronomic Research, University of Alabama in Huntsville, 320 Sparkman Drive, Huntsville, AL 35899, USA; Space Science Department, University of Alabama in Huntsville, 320 Sparkman Drive, Huntsville, AL 35899, USA|0|Preece, Robert Dwight|Preece, R. D.
USA|2015|Department of Astronomy, University of Washington, Box 351580, Seattle, WA 98195, USA|0|Simons, Douglas Anthony|Simons, D.
non-USA|2015|Genesis Software Pty Ltd, Adelaide, Australia|0|O'Connor, Daniel Joseph|O'Connor, D.
USA|2018|University of Rochester, Rochester, USA|0|Han, Jeong-Whan|Han, J.
USA|2017|Geophysical Institute, University of Alaska Fairbanks, Fairbanks, Alaska USA|0|Dennis, Theodore Stephen|Dennis, T.
USA|2019|Department of Physics, University of Delaware, Newark, Delaware 19716, USA|1|Clem, John Mason|Clem, J. M.
USA|2019|Brown University, Department of Physics, Providence, RI 02912, USA|0|Li, Wei-Wei|Li, W.
USA|2019|LIGO, California Institute of Technology, Pasadena, CA 91125, USA|0|Blackburn, James Kent|Blackburn, J. K.
non-USA|2018|Jagiellonian University, PL-31-007-Krakow, Poland|1|Ma, Chung-Chun|Majka, Z.
USA|2019|Department of Astronomy, University of Virginia, Charlottesville, VA 22904, USA ; Department of Space, Earth and Environment, Chalmers University, SE-412 96 Gothenburg, Sweden|0|Tan, Jianmin|Tan, J. C.
non-USA|2019|Key Laboratory of Solar Activity, Chaoyang District, Beijing, P.R. China; National Astronomical Observatories, CAS, Chaoyang District, Beijing, P.R. China|0|Deng, Yaobing|Deng, Y. Y.
non-USA|2019|School of Physics and Astronomy, University of Southampton, Southampton SO17 1BJ, UK|0|Smith, Michael Scott|Smith, M.
non-USA|2019|University of New South Wales Canberra, Canberra, ACT 2612, Australia|0|Brown, Michael Lee|Brown, M.
USA|2019|Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA USA|0|Fetzer, Eric Joseph|Fetzer, Eric J.
USA|2016|Space Science Division, Naval Research Laboratory, Washington, DC, USA|0|Strachan, Leonard, Jr.|Strachan, L.
non-USA|2019|Center for Astrophysics, Guangzhou University, 510006 Guangzhou, People’s Republic of China|0|Huang, Jiun Woei|Huang, J.
USA|2018|Electrical and Computer Engineering, New Mexico State University, Las Cruces, NM, USA|0|Stochaj, Steven Jon|Stochaj, S.
non-USA|2017|Instituto de Física, Pontificia Universidad Católica de Valparaíso, Valparaiso, Chile|0|del Campo, Sergio Enrique|del Campo, Sergio
non-USA|2018|NASA Marshall Space Flight Center|1|Kolodziejczak, Jeffery Jay|Kolodziejczak, Jeffery J.
non-USA|2019|Institute of Space Science and Technology, Nanchang University, Nanchang, Jiangxi, People's Republic of China|0|Pang, Yi.|Pang, Y.
USA|2019|Los Alamos National Laboratory, P.O. Box 1663, Los Alamos, NM 87545, USA|0|Saumon, Didier|Saumon, Didier
non-USA|2018|York University, Toronto, Ontario M3J 1P3, Canada|0|Moore, Kurt R.|Moore, K.
non-USA|2019|International Centre for Theoretical Sciences, Tata Institute of Fundamental Research, Bengaluru 560089, India|0|Mehta, Apurva|Mehta, A. K.
USA|2015|Department of Chemistry and Biochemistry, San Diego State University, 5500 Campanile Drive, San Diego CA 92182-1030, USA|0|Cooksy, Andrew Lloyd|Cooksy, Andrew L.
USA|2018|Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA USA|0|Heflin, Michael Brent|Heflin, Michael
USA|2018|Solar System Science &amp; Exploration, Monrovia, USA|0|Spilker, Thomas Richard|Spilker, T.
non-USA|2019|South-Western Institute for Astronomy Research, Yunnan University, Kunming, Yunnan 650091, P. R. China; Department of Astronomy, China West Normal University, Nanchong 637009, P.R. China|0|Wang, Huili|Wang, H. -F.
USA|2016|Department of Physics and Astronomy, University of California Irvine, Irvine, California, USA|0|Casper, David William|Casper, D. W.
non-USA|2018|Tsinghua Center for Astrophysics, Tsinghua University, Beijing 100084, People's Republic of China|1|Chen, Jacqueline H.|Chen, J.
USA|2019|Jet Propulsion Laboratory, Pasadena, CA, USA|0|Smrekar, Suzanne Elizabeth|Smrekar, S. E.
non-USA|2019|OzGrav, Swinburne University of Technology, Hawthorn VIC 3122, Australia|0|Powell, James Alan|Powell, J.
USA|2019|Department of Atmospheric Sciences, Texas A&amp;M University, College Station, TX USA|0|Saravanan, R.|Saravanan, R.
USA|2019|Fermi National Accelerator Laboratory, PO Box 500, Batavia, IL 60510, USA|0|Zhang, Yuhong|Zhang, Y.
non-USA|2018|International Centre for Theoretical Physics, Trieste, Italy; Sorbonne Université, UPMC Univ Paris 06, UMR 7589, LPTHE, Paris, France|0|Dabholkar, Atish|Dabholkar, Atish
USA|2019|Department of Astronomy, University of Michigan, 830 Dennison Building, 500 Church Street, Ann Arbor, MI 48109, USA|0|Reynolds, Michael David|Reynolds, M.
USA|2019|Department of Astronomy, University of Maryland, College Park, MD, USA|3|Miller, Michael Coleman|Miller, M. Coleman
USA|2019|Department of Astrophysical Sciences, Princeton University, Princeton, NJ 08544, USA|0|Cen, Renyue|Cen, Renyue
USA|2019|Department of Physics, University of California, Santa Barbara, CA, USA|0|Meinhold, Peter Russell|Meinhold, P.
USA|2019|National Radio Astronomy Observatory, 520 Edgemont Road, Charlottesville, VA, 22903, USA|0|Mangum, Jeffrey Gary|Mangum, J. G.
USA|2019|Department of Astrophysical Sciences, Peyton Hall, Princeton University, Princeton, NJ 08544, USA|0|Stone, James Mclellan|Stone, James M.
USA|2019|Harvard-Smithsonian Center for Astrophysics, 60 Garden Street, Cambridge, MA 02138, USA|0|Slavin, Jonathan David|Slavin, Jonathan D.
USA|2016|Institute for Astronomy, University of Hawaii at Manoa, Honolulu, HI 96822, USA|0|Schultz, August L.|Schultz, A.
