n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
27 | Donegan, Michelle Mary | DARTMOUTH COLLEGE | 2001 | female | 1 | 0 | 2001 | 1 | 2 | 2004 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
28 | Luke, David Russell | UNIVERSITY OF WASHINGTON | 2001 | male | 1 | 0 | 2001 | 1 | 0 | 2001 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
29 | Lee, Yuan-Tai (Anthony) | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2001 | male | 3 | 3 | 2013 | 21 | 25 | 2017 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 |  3 | 2 | 2 | 5 | 4 | 5 | 1 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 1 | 3 | 1 | 1 | 0 | 4 | 5 |
30 | Elliott, Heather Alison | UNIVERSITY OF ALABAMA IN HUNTSVILLE | 2001 | female | 3 | 8 | 2016 | 4 | 64 | 2017 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 2 |  0 | 0 | 0 | 0 | 1 | 3 | 2 | 3 | 3 | 3 | 7 | 9 | 4 | 3 | 3 | 0 | 2 | 8 | 2 | 4 | 9 |
31 | Gal, Roy R. | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2001 | male | 3 | 8 | 2009 | 15 | 55 | 2017 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 1 | 3 | 1 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 2 | 0 | 3 | 4 | 5 | 1 | 5 | 8 | 5 | 3 | 0 | 3 | 7 | 2 | 6 | 6 | 1 | 5 | 0 | 0 |
32 | Jenet, Fredrick A. | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2001 | male | 7 | 10 | 2015 | 8 | 74 | 2017 | 0 | 1 | 2 | 0 | 1 | 3 | 0 | 1 | 3 | 2 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 |  1 | 1 | 2 | 0 | 1 | 3 | 1 | 1 | 3 | 2 | 2 | 1 | 4 | 7 | 6 | 4 | 6 | 9 | 9 | 10 | 6 |
33 | Neubauer, Mark Stephen | UNIVERSITY OF PENNSYLVANIA | 2001 | male | 1 | 0 | 2001 | 3 | 13 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 2 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 3 | 0 | 2 | 1 | 1 |
34 | Qi, Chunhua | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2001 | female | 1 | 11 | 2015 | 3 | 67 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 3 | 0 | 2 | 0 |  0 | 0 | 0 | 1 | 0 | 2 | 0 | 2 | 7 | 2 | 2 | 3 | 6 | 5 | 4 | 7 | 4 | 6 | 1 | 12 | 3 |
35 | Rodgers, Bernadette Marie | UNIVERSITY OF WASHINGTON | 2001 | female | 2 | 1 | 2002 | 5 | 8 | 2013 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 1 | 1 | 0 | 0 | 2 | 1 | 1 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 |
36 | Dev, Krsna | DARTMOUTH COLLEGE | 2001 | male | 1 | 1 | 2003 | 1 | 2 | 2004 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
