n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
64 | Maitra, Dipankar | Yale University | 2006 | male | 3 | 7 | 2014 | 3 | 45 | 2017 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 1 | 2 | 1 | 2 | 0 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 2 | 0 | 1 | 3 | 9 | 6 | 6 | 6 | 5 | 6 | 2 |
65 | Larson, David Leonard | University of Illinois at Urbana-Champaign | 2006 | male | 2 | 3 | 2015 | 10 | 96 | 2017 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 |  2 | 1 | 0 | 4 | 2 | 1 | 2 | 18 | 23 | 15 | 20 | 6 | 2 | 2 | 7 | 0 |
66 | Mesinger, Andrei | Columbia University | 2006 | male | 7 | 15 | 2016 | 8 | 69 | 2017 | 0 | 0 | 0 | 2 | 1 | 4 | 2 | 3 | 2 | 1 | 1 | 1 | 1 | 1 | 2 | 1 |  0 | 0 | 0 | 2 | 2 | 4 | 2 | 4 | 4 | 1 | 5 | 1 | 9 | 10 | 13 | 13 |
67 | Labiano, A. | Space Telescope Science Institute Kapteyn Astronomical Institute | 2006 | None | 5 | 6 | 2014 | 6 | 19 | 2016 | 0 | 0 | 1 | 0 | 1 | 3 | 1 | 2 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 |  0 | 0 | 1 | 0 | 1 | 4 | 1 | 2 | 4 | 2 | 0 | 0 | 2 | 3 | 3 | 2 |
68 | Plummer, Julia Diane | University of Michigan | 2006 | female | 1 | 9 | 2013 | 1 | 10 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 3 | 1 | 2 | 2 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 3 | 1 | 2 | 2 | 0 | 1 | 1 | 0 | 0 |
69 | Singal, Jack Edward | University of California, Santa Barbara | 2006 | male | 3 | 13 | 2016 | 5 | 20 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 1 | 0 | 3 | 3 | 1 | 1 | 1 | 2 | 1 |  0 | 0 | 0 | 0 | 1 | 4 | 0 | 1 | 0 | 4 | 6 | 2 | 2 | 1 | 2 | 1 |
70 | Haywood, Joe R. | University of Notre Dame | 2006 | male | 1 | 0 | 2006 | 2 | 2 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 |
71 | Stalcup, Thomas Eugene, Jr. | The University of Arizona | 2006 | male | 1 | 0 | 2006 | 3 | 2 | 2010 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |
72 | France, Kevin C. | The Johns Hopkins University | 2006 | male | 4 | 23 | 2016 | 5 | 85 | 2017 | 0 | 0 | 0 | 1 | 2 | 1 | 2 | 0 | 1 | 4 | 4 | 3 | 2 | 3 | 1 | 3 |  0 | 0 | 0 | 1 | 2 | 2 | 4 | 0 | 2 | 15 | 11 | 11 | 7 | 12 | 6 | 13 |
73 | Lair, Jessica Crist | Clemson University | 2006 | female | 3 | 0 | 2006 | 4 | 0 | 2006 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
