n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last | hubble_host | hubble_year | foo
272 | Liu, Michael C. | University of California, Berkeley | 2000 | male | 7 | 22 | 2016 | 22 | 168 | 2017 | University of Hawaii | 2002 |
178 | Macri, Lucas Matias | Harvard University | 2001 | male | 8 | 7 | 2016 | 32 | 62 | 2017 | National Optical Astronomy Observatory | 2002 |
265 | Metcalf, Robert Benton | UNIVERSITY OF CALIFORNIA, BERKELEY | 1999 | male | 7 | 17 | 2014 | 7 | 44 | 2017 | University of California, Santa Cruz | 2002 |
# Barbara Mochejska | Center for Astrophysics | 2002 |
71 | Ozel, Feryal | HARVARD UNIVERSITY | 2002 | female | 1 | 0 | 2002 | 8 | 83 | 2017 | Princeton, Institute for Advanced Study | 2002 |
173 | Thompson, Todd Alan | THE UNIVERSITY OF ARIZONA | 2002 | male | 4 | 18 | 2016 | 5 | 103 | 2017 | University of California, Berkeley | 2002 |
299 | Barth, Aaron Jordan | UNIVERSITY OF CALIFORNIA, BERKELEY | 1998 | male | 6 | 27 | 2016 | 20 | 117 | 2017 | California Institute of Technology | 2001 |
207 | Barton, Elizabeth Jean | HARVARD UNIVERSITY | 1999 | female | 4 | 9 | 2009 | 7 | 46 | 2016 | University of Arizona | 2001 |
# Martin Bureau | Columbia University | 2001 |
68 | Burgasser, Adam J. | Department of Physics, California Institute of Technology | 2001 | male | 5 | 53 | 2016 | 14 | 167 | 2017 | University of California, Los Angeles | 2001 |
139 | Burgasser, Adam Jonathan | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2002 | male | 9 | 49 | 2016 | 20 | 161 | 2017 | University of California, Los Angeles | 2001 |
275 | Cumming, Andrew William | University of California, Berkeley | 2000 | male | 4 | 17 | 2017 | 6 | 219 | 2017 | University of California, Santa Cruz | 2001 |
243 | Hamuy, Mario Andres | The University of Arizona | 2001 | male | 9 | 9 | 2011 | 22 | 117 | 2017 | Observatories of the Carnegie Institute of Washington | 2001 |
# Andrew Hopkins | University of Pittsburgh | 2001 |
48 | Keeton, Charles Randy, II | HARVARD UNIVERSITY | 1998 | male | 5 | 21 | 2011 | 8 | 97 | 2017 | University of Chicago | 2001 |
83 | Prochaska, Jason Xavier | UNIVERSITY OF CALIFORNIA, SAN DIEGO | 1998 | male | 5 | 52 | 2017 | 7 | 331 | 2017 | Observatories of the Carnegie Institute of Washington | 2001 |
195 | Rockosi, Constance Mary | The University of Chicago | 2001 | female | 1 | 1 | 2002 | 17 | 97 | 2016 | University of Washington | 2001 |
144 | Stassun, Keivan Guadalupe | University of Wisconsin, 475 N. Charter St., Madison, WI, 53706, USA | 2000 | male | 3 | 18 | 2017 | 5 | 210 | 2017 | University of Wisconsin | 2001 |
# J. Stuart Wyithe | Center for Astrophysics | 2001 |
47 | Chiang, Eugene | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2000 | male | 7 | 20 | 2013 | 8 | 81 | 2017 | Princeton, Institute for Advanced Study | 2000 |
282 | Dave, Romeel S. | UNIVERSITY OF CALIFORNIA, SANTA CRUZ | 1998 | male | 2 | 0 | 1998 | 3 | 14 | 2010 | University of Arizona | 2000 |
43 | Finkbeiner, Douglas Paul | UNIVERSITY OF CALIFORNIA, BERKELEY | 1999 | male | 3 | 16 | 2016 | 5 | 110 | 2017 | University of California, Berkeley | 2000 |
214 | Miller, Amber Dawn | Princeton University | 2000 | female | 4 | 3 | 2015 | 17 | 60 | 2017 | University of Chicago | 2000 |
# Mary Putman | University of Colorado | 2000 |
104 | Reichart, Daniel Eric | THE UNIVERSITY OF CHICAGO | 2000 | male | 9 | 6 | 2006 | 11 | 115 | 2017 | California Institute of Technology | 2000 |
# Amy Barger | University of Hawaii | 1999 |
15 | Eisenstein, Daniel James | HARVARD UNIVERSITY. | 1996 | male | 4 | 22 | 2011 | 5 | 289 | 2017 | University of Chicago | 1999 |
53 | Haiman, Zoltan | HARVARD UNIVERSITY | 1998 | male | 10 | 35 | 2016 | 12 | 196 | 2017 | Princeton University | 1999 |
95 | Hansen, Bradley Miles Stougaard | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1996 | male | 1 | 9 | 2017 | 2 | 29 | 2017 | Princeton University | 1999 |
199 | Kravtsov, Andrey V. | NEW MEXICO STATE UNIVERSITY | 1999 | male | 4 | 11 | 2013 | 14 | 126 | 2017 | The Ohio State University | 1999 |
277 | Oppenheimer, Ben R. | CALIFORNIA INSTITUTE OF TECHNOLOGY | 1999 | male | 6 | 7 | 2013 | 11 | 76 | 2017 | University of California, Berkeley | 1999 |
239 | Richards, Eric A. | UNIVERSITY OF VIRGINIA | 1999 | male | 5 | 4 | 2007 | 12 | 16 | 2015 | Arizona State University | 1999 |
## Krzysztof Stanek | Center for Astrophysics | 1999 |
140 | Trager, Scott Charles | UNIVERSITY OF CALIFORNIA, SANTA CRUZ | 1997 | male | 4 | 7 | 2009 | 5 | 67 | 2017 | Observatories of the Carnegie Institute of Washington | 1999 |
# Pieter van Dokkum | California Institute of Technology | 1999 |
# Joanne C. Baker | University of California, Berkeley | 1998 |
## Greg Bryan | Massachusetts Institute of Technology | 1998 |
# Marcio Catelan | Goddard Space Flight Center - University of Virginia (yrs 2-3) | 1998 |
# Roelof de Jong | University of Arizona | 1998 |
# Bryan Gaensler | Massachusetts Institute of Technology | 1998 |
# Eva K. Grebel | University of Washington | 1998 |
# Christian Knigge | Columbia University | 1998 |
148 | Lin, Huan | HARVARD UNIVERSITY. | 1995 | male | 3 | 15 | 2017 | 9 | 226 | 2017 | University of Arizona | 1998 |
242 | Malhotra, Sangeeta | PRINCETON UNIVERSITY. | 1994 | female | 3 | 16 | 2017 | 4 | 129 | 2017 | Kitt Peak National Observatory  The Johns Hopkins University | 1998 |
# Simon Portegies Zwart | Boston University of - Massachusetts Institute of Technology | 1998 |
# Chris Reynolds | University of Colorado, JILA | 1998 |
# Gordon Squires | California Institute of Technology | 1998 |
362 | Wiseman, Jennifer Janean | HARVARD UNIVERSITY. | 1995 | female | 4 | 4 | 2002 | 5 | 6 | 2008 | The Johns Hopkins University | 1998 |
## Matias Zaldarriaga | Princeton, Institute for Advanced Study | 1998 |
214 | Bernstein, Rebecca Ann | CALIFORNIA INSTITUTE OF TECHNOLOGY | 1998 | female | 1 | 5 | 2007 | 2 | 68 | 2017 | Observatories of the Carnegie Institute of Washington | 1997 |
145 | Dey, Arjun | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1994 | male | 2 | 11 | 2016 | 7 | 187 | 2017 | The Johns Hopkins University  Kitt Peak National Observatory (yr 2) | 1997 |
136 | Gebhardt, Karl | RUTGERS THE STATE UNIVERSITY OF NEW JERSEY - NEW BRUNSWICK. | 1994 | male | 3 | 20 | 2011 | 5 | 156 | 2017 | University of California, Santa Cruz | 1997 |
238 | Grundy, William Macintyre | THE UNIVERSITY OF ARIZONA. | 1995 | male | 4 | 31 | 2016 | 8 | 103 | 2017 | Lowell Observatory | 1997 |
# Rafael Guzman | Yale University | 1997 |
144 | Hogg, David Wardell | CALIFORNIA INSTITUTE OF TECHNOLOGY | 1998 | male | 11 | 18 | 2016 | 21 | 168 | 2017 | Princeton, Institute for Advanced Study | 1997 |
235 | Kobulnicky, Henry A. | UNIVERSITY OF MINNESOTA | 1997 | male | 8 | 23 | 2016 | 13 | 78 | 2017 | University of California, Santa Cruz  University of Wisconsin | 1997 |
113 | Lubin, Lori Maxine | PRINCETON UNIVERSITY. | 1995 | female | 8 | 13 | 2009 | 17 | 76 | 2017 | California Institute of Technology | 1997 |
300 | Marzke, Ronald Oscar | HARVARD UNIVERSITY. | 1994 | male | 3 | 4 | 1998 | 7 | 49 | 2011 | Observatories of the Carnegie Institute of Washington | 1997 |
310 | McLaughlin, Dean E. | MCMASTER UNIVERSITY (CANADA) | 1997 | male | 11 | 11 | 2008 | 16 | 37 | 2016 | University of California, Berkeley | 1997 |
## Michael R. Meyer | University of Arizona | 1997 |
261 | Pahre, Michael Andrew | CALIFORNIA INSTITUTE OF TECHNOLOGY | 1998 | male | 8 | 5 | 2004 | 19 | 37 | 2012 | Center for Astrophysics | 1997 |
## Michael W. Regan | Dept. Terrest. Magn. | 1997 |
# Marco Spaans | Center for Astrophysics | 1997 |
# Frank C. van den Bosch | University of Washington | 1997 |
# Marcella Carollo | The Johns Hopkins University | 1996 |
189 | Chaboyer, Brian Charles | YALE UNIVERSITY. | 1993 | male | 7 | 24 | 2017 | 9 | 85 | 2017 | University of Arizona | 1996 |
80 | Ferrarese, Laura | THE JOHNS HOPKINS UNIVERSITY. | 1996 | female | 5 | 16 | 2016 | 17 | 146 | 2017 | California Institute of Technology | 1996 |
22 | Layden, Andrew Choisy | Yale University. | 1993 | male | 3 | 17 | 2013 | 3 | 43 | 2015 | University of Michigan  Bowling Green State University of | 1996 |
## Crystal Martin | Space Telescope Science Institute | 1996 |
## Max Tegmark | Princeton, Institute for Advanced Study | 1996 |
# Lifan Wang | University of Texas | 1996 |
306 | Wilner, David James | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1993 | male | 2 | 21 | 2012 | 5 | 264 | 2017 | Center for Astrophysics | 1996 |
257 | Zabludoff, Ann I. | HARVARD UNIVERSITY. | 1993 | female | 7 | 7 | 2000 | 9 | 95 | 2017 | University of California, Santa Cruz | 1996 |
74 | Blum, Robert David | THE OHIO STATE UNIVERSITY. | 1995 | male | 8 | 16 | 2015 | 10 | 66 | 2017 | JILA, University of Colorado | 1995 |
55 | Eracleous, Michael | COLUMBIA UNIVERSITY. | 1992 | male | 3 | 21 | 2012 | 3 | 149 | 2017 | University of California, Berkeley | 1995 |
85 | Fischer, Philippe | MCMASTER UNIVERSITY (CANADA). | 1993 | male | 9 | 13 | 2017 | 16 | 32 | 2017 | University of Michigan | 1995 |
29 | Frank, Adam | UNIVERSITY OF WASHINGTON. | 1992 | male | 3 | 28 | 2017 | 8 | 154 | 2017 | University of Minnesota | 1995 |
# Mauro Giavalisco | Observatories of the Carnegie Institute of Washington | 1995 |
305 | Hanson, Margaret Murray | UNIVERSITY OF COLORADO AT BOULDER. | 1995 | female | 6 | 9 | 2010 | 12 | 51 | 2017 | University of Arizona | 1995 |
# Inger Jorgensen | University of Texas | 1995 |
6 | Mihos, James Christopher | THE UNIVERSITY OF MICHIGAN. | 1992 | male | 3 | 23 | 2017 | 3 | 73 | 2017 | The Johns Hopkins University Case Western University | 1995 |
# Michael Rauch | California Institute of Technology | 1995 |
47 | Roth, Katherine Carol | NORTHWESTERN UNIVERSITY. | 1992 | female | 1 | 6 | 1999 | 6 | 45 | 2016 | University of Hawaii | 1995 |
274 | Sarajedini, Ata | YALE UNIVERSITY. | 1992 | male | 5 | 32 | 2012 | 9 | 182 | 2017 | Kitt Peak National Observatory  San Francisco State University of | 1995 |
201 | Vogeley, Michael Scott | HARVARD UNIVERSITY. | 1993 | male | 3 | 2 | 1996 | 6 | 85 | 2017 | Space Telescope Science Institute  Princeton University | 1995 |
165 | Brown, Michael Lee | UNIVERSITY OF CALIFORNIA, LOS ANGELES. | 1990 | male | 2 | 13 | 2015 | 3 | 104 | 2017 | California Institute of Technology | 1994 |
227 | Brown, Michael Edwards | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1994 | male | 7 | 51 | 2016 | 8 | 177 | 2017 | California Institute of Technology | 1994 |
304 | Brown, Michael Richard | THE UNIVERSITY OF UTAH. | 1994 | male | 2 | 9 | 2015 | 3 | 49 | 2016 | California Institute of Technology | 1994 |
261 | Dalcanton, Julianne | PRINCETON UNIVERSITY. | 1995 | female | 3 | 19 | 2015 | 3 | 187 | 2017 | Observatories of the Carnegie Institute of Washington | 1994 |
174 | Henry, Todd Jackson | THE UNIVERSITY OF ARIZONA. | 1991 | male | 3 | 11 | 2006 | 10 | 103 | 2017 | Space Telescope Science Institute | 1994 |
192 | Hibbard, John Eugene | COLUMBIA UNIVERSITY. | 1995 | male | 3 | 8 | 2005 | 4 | 49 | 2017 | University of Hawaii | 1994 |
8 | Hillenbrand, Lynne Anne | University of California; Department of Astronomy; 601 Campbell Hall; Berkeley, CA 94720 | 1995 | female | 4 | 14 | 2015 | 6 | 218 | 2017 | University of California, Berkeley | 1994 |
## Victoria Kaspi | Jet Propulsion Laboratory Massachusetts Institute of Technology | 1994 |
237 | Lu, Limin | UNIVERSITY OF PITTSBURGH. | 1991 | male | 4 | 17 | 2015 | 14 | 97 | 2017 | California Institute of Technology | 1994 |
237 | Staggs, Suzanne Therese | PRINCETON UNIVERSITY. | 1993 | female | 1 | 3 | 1996 | 1 | 77 | 2017 | University of Chicago/Fermi Institute | 1994 |
317 | Thorburn, Julie A. | THE UNIVERSITY OF CHICAGO. | 1993 | female | 4 | 3 | 2003 | 9 | 26 | 2010 | University of Chicago/Yerkes Observatory | 1994 |
# Roeland van der Marel | Princeton, Institute for Advanced Study | 1994 |
