USA|2019|Department of Physics, Bridgewater State University, Bridgewater, MA, USA|0|Kling, Thomas Price|Kling, Thomas P.
USA|2018|Cornell University, Ithaca, USA|0|Wittich, Peter|Wittich, P.
USA|2016|Institute for Astrophysical Research, Boston University, 725 Commonwealth Avenue, Boston, MA, 02215, USA; Lowell Observatory, Flagstaff, AZ, 86001, USA|2|Taylor, Brian Keith|Taylor, B.
USA|2015|School of Earth and Atmospheric Sciences, Georgia Institute of Technology, Atlanta, Georgia USA|0|Huey, Gregory Gordon|Huey, G.
non-USA|2014|Instituto de Física, Facultad de Ciencias, Iguá 4225, esq. Mataojo, Montevideo, Uruguay|1|Garat, Alcides|Garat, Alcides
USA|2016|Department of Physics, Loyola Marymount University, Los Angeles, CA 90045, USA|1|Varieschi, Gabriele Umberto|Varieschi, Gabriele U.
non-USA|2019|Department of Astronomy, Kyoto University, Oiwake-cho, Kitashirakawa, Sakyo-ku, Kyoto 606-8502, Japan|1|Lee, Soo-Hyoung|Lee, S. -H.
non-USA|2019|Academia Sinica Institute of Astronomy and Astrophysics, 11F of Astro-Math Bldg, 1, Sec. 4, Roosevelt Rd, Taipei, 10617, Taiwan|0|Gu, Pin-Gao|Gu, Pin-Gao
USA|2015|Gravity Probe B, W. W. Hansen Experimental Physics Lab, Stanford University, Stanford, CA 94305, USA|0|Ohshima, Yoshimi|Ohshima, Y.
USA|2015|Fermi National Accelerator Laboratory, Batavia, Illinois 60510, USA|2|James, Carol Renee|James, C.
USA|2017|Florida Institute of Technology, Department of Physics and Space Sciences, Melbourne, FL,  32901, USA|0|Oluseyi, Hakeem Muata|Oluseyi, Hakeem M.
non-USA|2018|Institute of Theoretical Physics, Faculty of Mathematics and Physics, Charles University, V Holešovičkách 2, 18000 Praha, Czech Republic|0|Heyrovsky, David|Heyrovsky, David
non-USA|2019|Sydney Institute for Astronomy, School of Physics, University of Sydney, NSW 2006, Australia|0|Murphy, Thomas Williams, Jr.|Murphy, T.
USA|2018|Department of Physics, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139, USA|0|Kaiser, David Isaac|Kaiser, David I.
non-USA|2019|Center for Astrophysics and Cosmology, University of Nova Gorica, Vipavska 11c, Ajdovščina 5270, Slovenia|0|Yang, Le Yi|Yang, L.
non-USA|2018|RWTH Aachen University, I. Physikalisches Institut, Aachen, Germany|2|Zhukov, Vyacheslav Vyacheslavovich|Zhukov, V.
non-USA|2019|Academia Sinica, Institute of Astronomy and Astrophysics, Taipei 10617, Taiwan|0|Krasnopolsky, Ruben|Krasnopolsky, Ruben
USA|2019|Department of Climate and Space Sciences and Engineering (CLaSP), University of Michigan, Ann Arbor, MI, USA|0|Manchester, Ward Beecher, IV|Manchester, Ward B.
non-USA|2019|School of Space and Environment, Beihang University, Beijing, People’s Republic of China|0|Liu, Yifan|Liu, Y. Y.
USA|2019|Department of Astronomy, University of California, Berkeley, CA 94720, USA|0|Chiang, Eugene|Chiang, Eugene
USA|2016|Lawrence Livermore National Laboratory, Livermore, California 94550, USA|0|Heffner, Michael David|Heffner, M.
