n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
108 | Ji, Li | University of Massachusetts Amherst | 2007 | female | 2 | 4 | 2014 | 3 | 21 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 1 | 1 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 1 | 0 | 2 | 0 | 4 | 2 | 3 | 2 | 2 | 5 |
109 | Kopparapu, Ravi Kumar | Louisiana State University | 2007 | male | 3 | 10 | 2016 | 10 | 74 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 2 | 1 | 0 | 1 | 3 | 1 | 0 | 1 |  0 | 0 | 0 | 0 | 1 | 9 | 15 | 16 | 9 | 7 | 13 | 3 | 4 | 2 | 4 |
110 | Lavergne, Paul Allen | State University of New York at Stony Brook | 2007 | male | 1 | 0 | 2007 | 1 | 0 | 2007 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
111 | Kramer, Georgiana Y. | University of Notre Dame | 2007 | female | 1 | 8 | 2015 | 1 | 21 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 1 | 3 | 0 | 1 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 9 | 1 | 1 | 3 | 1 | 2 |
112 | Becker, George D. | California Institute of Technology | 2007 | male | 4 | 8 | 2015 | 6 | 50 | 2017 | 0 | 0 | 1 | 0 | 1 | 2 | 0 | 1 | 0 | 2 | 1 | 2 | 0 | 2 | 0 |  0 | 0 | 1 | 1 | 2 | 2 | 2 | 4 | 2 | 6 | 4 | 5 | 6 | 7 | 9 |
113 | Liu, Chang | New Jersey Institute of Technology | 2007 | male | 13 | 36 | 2017 | 62 | 181 | 2017 | 1 | 1 | 2 | 2 | 2 | 5 | 3 | 7 | 4 | 3 | 4 | 4 | 1 | 4 | 3 |  5 | 4 | 10 | 10 | 12 | 21 | 14 | 27 | 17 | 13 | 31 | 20 | 13 | 21 | 18 |
114 | Mandell, Avram M. | The Pennsylvania State University | 2007 | male | 1 | 0 | 2007 | 2 | 7 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 1 | 1 |
115 | Mu, Bo | Rochester Institute of Technology | 2007 | male | 1 | 0 | 2007 | 2 | 0 | 2007 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
116 | Hojnacki, Susan M. | Rochester Institute of Technology | 2007 | female | 2 | 2 | 2010 | 2 | 2 | 2010 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |
117 | Korobkov, Pavel | University of Missouri - Columbia | 2007 | male | 1 | 0 | 2007 | 2 | 0 | 2007 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
