USA|P|2016|Bitterroot Basic Research, Hamilton, Montana USA|0|Gurgiolo, C. A.|Gurgiolo, Chris
USA|R1|2016|Institute for Scientific Research, Boston College, Boston, Massachusetts USA|0|Retterer, John Michael|Retterer, J. M.
USA|R1|2016|LIGO—Massachusetts Institute of Technology, Cambridge, Massachusetts 02139, USA|0|Brown, Douglas Nason|Brown, N. M.
USA|R1|2016|University of Washington, Seattle, Washington 98195, USA|0|Sloan, John Spencer|Sloan, J.
USA|R1|2017|Department of Astronomy &amp; Astrophysics and The Enrico Fermi Institute, The University of Chicago, Chicago, IL 60637, USA|0|Konigl, Arieh|Konigl, Arieh
USA|R1|2017|Department of Astronomy, University of California, Berkeley, CA 94720, USA|1|Stahler, Steven William|Stahler, Steven W.
USA|F|2017|Planetary Science Institute - Tucson, AZ 85719, USA|0|Clark, Robert Edward Holmes|Clark, R.
USA|P|2018|1933 Whispering Pines Circle, Norman, OK 73072, USA ;;|0|Romanishin, William|Romanishin, W.
USA|R1|2018|Department of Astronomy, University of Texas, 2515 Speedway, C1400, Austin, TX 78712-1205, USA|0|Dinerstein, Harriet Lenore|Dinerstein, Harriet L.
USA|R1|2018|Department of Earth Sciences, University of Minnesota, Minneapolis, MN 55455, USA|0|Zimmerman, M. E.|Zimmerman, Mark E.
USA|R1|2018|Department of Physics and Astronomy, University of Kansas, Lawrence, KS 66045-7582, USA|0|Twarog, Bruce Anthony|Twarog, Bruce A.
USA|R1|2018|Department of Physics and Astronomy, University of Kentucky, Lexington, Kentucky 40506, USA|0|Troland, Thomas Hugh|Troland, Thomas
USA|D|2018|Department of Physics and Astronomy, Valparaiso University, Valparaiso, IN 46383, USA; , (retired)|1|Hrivnak, Bruce John|Hrivnak, Bruce J.
USA|R1|2018|Department of Physics, North Carolina State University, Raleigh, NC 27695-8202, USA|0|Reynolds, Stephen Poulter|Reynolds, Stephen P.
USA|R1|2018|Editor in Chief, Journals of the AAS, Johns Hopkins University, Baltimore, MD 21218, USA|0|Vishniac, Ethan Tecumseh|Vishniac, Ethan T.
USA|R1|2018|Institute for Astronomy, University of Hawaii, 2680 Woodlawn Drive, Honolulu, HI 96822, USA|0|Hu, Esther Ming|Hu, E. M.
USA|F|2018|Laboratory for Observational Cosmology, Code 665, NASA Goddard Space Flight Center, Greenbelt, MD 20771, USA|0|Sonneborn, George, Jr.|Sonneborn, George
USA|F|2018|US Naval Observatory, Flagstaff Station, 10391 W. Naval Observatory Road, Flagstaff, AZ 86005-8521, USA|0|Harris, Hugh Courtney|Harris, Hugh C.
USA|R1|2018|University of California, Davis, Davis, USA|0|Conway, Robert Raymond|Conway, R.
USA|P|2018|Visidyne Inc., Santa Barbara, CA 93105, USA|0|DeVore, John Gerald|DeVore, J.
