n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
316 | Mickaliger, Mitchell B. | West Virginia University | 2013 | male | 3 | 0 | 2018 | 4 | 3 | 2018 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 2 | 1 | 0 | 0 | 2 |
317 | Shiokawa, Hotaka | University of Illinois at Urbana-Champaign | 2013 | male | 2 | 2 | 2018 | 6 | 10 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 |  0 | 1 | 0 | 1 | 3 | 1 | 1 | 3 | 3 |
318 | Tatum, Malachi Malek | University of Maryland, Baltimore County | 2013 | male | 3 | 1 | 2016 | 3 | 4 | 2016 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 1 | 2 | 0 | 2 | 2 |
319 | Zschaechner, Laura Kristina | The University of New Mexico | 2013 | female | 3 | 4 | 2018 | 7 | 13 | 2018 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 2 | 2 |  1 | 0 | 0 | 2 | 2 | 2 | 0 | 5 | 4 |
320 | Mirshekari, Saeed | Washington University in St. Louis | 2013 | male | 6 | 0 | 2013 | 8 | 44 | 2018 | 0 | 2 | 1 | 0 | 1 | 2 | 0 | 0 | 0 |  2 | 2 | 1 | 0 | 1 | 2 | 0 | 5 | 27 |
321 | Shang, Jun | State University of New York at Stony Brook | 2013 | male | 1 | 0 | 2013 | 1 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
322 | Newman, Andrew B. | California Institute of Technology | 2013 | male | 7 | 4 | 2018 | 11 | 14 | 2018 | 0 | 1 | 1 | 1 | 1 | 3 | 1 | 2 | 0 |  1 | 1 | 1 | 1 | 3 | 4 | 6 | 3 | 0 |
323 | Beaumont, Christopher Norris | University of Hawai'i at Manoa | 2013 | male | 7 | 1 | 2014 | 20 | 6 | 2017 | 0 | 1 | 2 | 1 | 1 | 2 | 1 | 0 | 0 |  4 | 4 | 3 | 3 | 3 | 3 | 3 | 0 | 2 |
324 | Becker, Matthew Rand | The University of Chicago | 2013 | male | 4 | 4 | 2016 | 15 | 32 | 2018 | 0 | 0 | 0 | 1 | 0 | 3 | 1 | 0 | 3 |  2 | 3 | 2 | 1 | 4 | 3 | 4 | 10 | 14 |
325 | Nguyen, Ngoc Bich | Michigan State University | 2013 | female | 3 | 0 | 2013 | 35 | 1 | 2014 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 |  0 | 0 | 2 | 11 | 14 | 8 | 1 | 0 | 0 |
