n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
55 | Papastergis, Emmanouil | Cornell University | 2013 | male | 4 | 6 | 2017 | 8 | 16 | 2018 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 1 | 2 |  0 | 0 | 1 | 3 | 2 | 2 | 1 | 3 | 4 |
56 | Medling, Anne M. | University of California, Santa Cruz | 2013 | female | 2 | 3 | 2018 | 5 | 39 | 2018 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 2 | 0 |  1 | 0 | 1 | 1 | 0 | 2 | 3 | 8 | 11 |
57 | Hamilton, Ryan Thomas | New Mexico State University | 2013 | male | 3 | 0 | 2013 | 8 | 4 | 2018 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 |  1 | 0 | 1 | 2 | 1 | 3 | 0 | 3 | 0 |
58 | Park, Kiwan | University of Rochester | 2013 | male | 8 | 5 | 2017 | 12 | 7 | 2018 | 1 | 0 | 2 | 0 | 2 | 3 | 1 | 1 | 0 |  2 | 1 | 3 | 0 | 3 | 3 | 1 | 2 | 0 |
59 | Dawson, William Anthony | University of California, Davis | 2013 | male | 3 | 2 | 2016 | 4 | 32 | 2018 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 1 | 1 |  0 | 0 | 0 | 0 | 2 | 2 | 3 | 11 | 9 |
60 | Morrison, Christopher Brian | University of California, Davis | 2013 | male | 3 | 2 | 2017 | 5 | 10 | 2018 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 2 | 3 | 2 | 3 | 1 |
61 | Mizouni, Katarina Leila | University of South Carolina | 2013 | female | 1 | 0 | 2013 | 1 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
62 | Olsen, Christopher Scott | Rice University | 2013 | male | 1 | 0 | 2013 | 1 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
63 | Mayeur, Paul Anthony | Rensselaer Polytechnic Institute | 2013 | male | 1 | 0 | 2013 | 1 | 1 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 |
64 | Erkal, Denis | The University of Chicago | 2013 | male | 2 | 6 | 2018 | 2 | 17 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 3 | 2 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 3 | 8 |
65 | Scolnic, Daniel M. | The Johns Hopkins University | 2013 | male | 2 | 4 | 2018 | 7 | 45 | 2018 | 0 | 1 | 0 | 0 | 0 | 1 | 2 | 1 | 1 |  0 | 1 | 0 | 1 | 1 | 4 | 6 | 11 | 13 |
66 | Haurberg, Nathalie C. | Indiana University | 2013 | female | 3 | 1 | 2015 | 5 | 5 | 2016 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 1 | 0 |  0 | 0 | 1 | 0 | 0 | 4 | 2 | 1 | 2 |
67 | Stovall, Kevin | The University of Texas at San Antonio | 2013 | male | 3 | 3 | 2018 | 20 | 48 | 2018 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 1 |  0 | 0 | 2 | 1 | 6 | 11 | 8 | 11 | 19 |
68 | Meixner, Matthew A. | University of Notre Dame | 2013 | male | 4 | 2 | 2015 | 72 | 20 | 2018 | 1 | 0 | 1 | 0 | 0 | 2 | 1 | 1 | 0 |  9 | 10 | 20 | 19 | 5 | 9 | 4 | 6 | 6 |
69 | Rutkowski, Michael | Arizona State University | 2013 | male | 4 | 3 | 2017 | 10 | 9 | 2018 | 0 | 0 | 1 | 0 | 1 | 2 | 1 | 0 | 1 |  0 | 0 | 2 | 1 | 2 | 5 | 3 | 1 | 2 |
70 | Jiang, Yan-Fei | Princeton University | 2013 | None | 12 | 9 | 2018 | 21 | 21 | 2018 | 0 | 0 | 2 | 3 | 1 | 6 | 3 | 1 | 2 |  2 | 0 | 2 | 4 | 6 | 7 | 8 | 3 | 4 |
71 | Stilp, Adrienne M. | University of Washington | 2013 | female | 4 | 0 | 2013 | 15 | 2 | 2017 | 0 | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 0 |  1 | 2 | 3 | 1 | 3 | 5 | 1 | 0 | 0 |
72 | Jensen, Poul F. | University of Alaska Fairbanks | 2013 | male | 1 | 0 | 2013 | 2 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 |
73 | Mak, Suet-Ying | University of Southern California | 2013 | None | 1 | 0 | 2013 | 1 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
74 | Way, Benson | University of California, Santa Barbara | 2013 | male | 2 | 0 | 2013 | 3 | 16 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 1 | 3 | 4 | 6 |
75 | Moore, Kevin L. | University of California, Santa Barbara | 2013 | male | 4 | 1 | 2016 | 7 | 6 | 2018 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 1 |  0 | 0 | 0 | 1 | 4 | 2 | 2 | 2 | 2 |
76 | Senturk, Gunes Demet | Columbia University | 2013 | female | 3 | 0 | 2013 | 25 | 2 | 2015 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 5 | 11 | 6 | 3 | 1 | 1 | 0 |
77 | Knierman, Karen A. | Arizona State University | 2013 | female | 3 | 0 | 2013 | 5 | 1 | 2016 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 3 | 0 | 0 | 1 |
78 | Kozarev, Kamen Asenov | Boston University | 2013 | male | 4 | 4 | 2017 | 12 | 7 | 2017 | 0 | 0 | 1 | 1 | 0 | 2 | 0 | 2 | 1 |  0 | 0 | 7 | 1 | 2 | 2 | 0 | 3 | 1 |
79 | Ghosh, Shaon | Washington State University | 2013 | male | 7 | 3 | 2018 | 62 | 100 | 2018 | 4 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 2 |  9 | 4 | 8 | 11 | 20 | 10 | 16 | 12 | 35 |
80 | Mattes, Joshua J. | Purdue University | 2013 | male | 1 | 0 | 2013 | 8 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 2 | 3 | 1 | 1 | 1 | 0 | 0 | 0 |
81 | Arlen, Timothy Christian | University of California, Los Angeles | 2013 | male | 3 | 1 | 2014 | 49 | 38 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 0 |  0 | 11 | 7 | 14 | 9 | 8 | 11 | 14 | 12 |
82 | Overholt, Andrew C. | University of Kansas | 2013 | male | 5 | 1 | 2015 | 5 | 4 | 2017 | 0 | 1 | 0 | 0 | 1 | 3 | 0 | 1 | 0 |  0 | 1 | 0 | 0 | 1 | 3 | 0 | 2 | 1 |
83 | Linden, Tim | University of California, Santa Cruz | 2013 | male | 10 | 5 | 2018 | 23 | 36 | 2018 | 0 | 1 | 3 | 1 | 3 | 2 | 0 | 1 | 2 |  0 | 1 | 3 | 3 | 10 | 6 | 5 | 11 | 13 |
84 | Tyra, Mark Anthony | The University of New Mexico | 2013 | male | 2 | 1 | 2016 | 2 | 1 | 2016 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 |
85 | Farooq, Muhammad Omer | Kansas State University | 2013 | male | 1 | 0 | 2013 | 1 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
86 | Anderson, Tyler B. | The Pennsylvania State University | 2013 | male | 1 | 0 | 2013 | 2 | 58 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 1 | 4 | 13 | 16 |
87 | So, Geoffrey C. | University of California, San Diego | 2013 | male | 1 | 1 | 2014 | 1 | 3 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 0 |
88 | Crites, Abigail Tinney | The University of Chicago | 2013 | female | 1 | 1 | 2015 | 41 | 23 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 |  1 | 2 | 7 | 8 | 10 | 13 | 7 | 9 | 4 |
89 | Woo, Sui Chi | University of Pittsburgh | 2013 | None | 2 | 0 | 2013 | 2 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 |
90 | Yoo, Jongsoo | Princeton University | 2013 | male | 3 | 1 | 2018 | 30 | 8 | 2018 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |  12 | 3 | 3 | 4 | 1 | 7 | 1 | 3 | 3 |
91 | Corliss, David J. | The University of Toledo | 2013 | male | 1 | 1 | 2015 | 1 | 1 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 |
92 | Uberseder, Ethan Eric | University of Notre Dame | 2013 | male | 2 | 2 | 2017 | 27 | 12 | 2017 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 |  3 | 2 | 4 | 4 | 6 | 8 | 3 | 3 | 2 |
93 | Kandhasamy, Shivaraj | University of Minnesota | 2013 | male | 1 | 0 | 2013 | 52 | 88 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 10 | 9 | 8 | 17 | 8 | 15 | 8 | 29 |
94 | Albert, Andrea | The Ohio State University | 2013 | female | 2 | 14 | 2018 | 34 | 72 | 2018 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 |  0 | 1 | 4 | 9 | 12 | 8 | 15 | 10 | 21 |
95 | Bunte, Melissa K. | Arizona State University | 2013 | female | 3 | 0 | 2013 | 4 | 0 | 2013 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 |  1 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
96 | Zimmerman, Aaron | California Institute of Technology | 2013 | male | 5 | 4 | 2016 | 22 | 22 | 2018 | 1 | 1 | 0 | 2 | 0 | 1 | 2 | 0 | 2 |  2 | 8 | 0 | 4 | 3 | 5 | 4 | 2 | 4 |
97 | Martocci, Krista L. | The University of Chicago | 2013 | female | 1 | 0 | 2013 | 10 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 2 | 5 | 0 | 3 | 0 | 0 | 0 |
98 | Cotton, C. Eric | Purdue University | 2013 | male | 1 | 0 | 2013 | 1 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
99 | Alexander, Michael J. | University of Wyoming | 2013 | male | 5 | 3 | 2016 | 13 | 12 | 2018 | 0 | 2 | 0 | 0 | 1 | 2 | 0 | 2 | 1 |  0 | 3 | 1 | 1 | 3 | 5 | 2 | 5 | 3 |
100 | Ho, Ngoc Nhung Thi | Yale University | 2013 | female | 1 | 0 | 2013 | 1 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
101 | Bowers, Matthew R. | University of Notre Dame | 2013 | male | 2 | 0 | 2013 | 2 | 2 | 2015 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 0 |
102 | Butler, Michael J. | University of Florida | 2013 | male | 4 | 3 | 2017 | 12 | 15 | 2018 | 0 | 1 | 0 | 0 | 1 | 2 | 1 | 1 | 0 |  0 | 1 | 1 | 2 | 2 | 6 | 2 | 4 | 6 |
103 | Marnocha, Cassandra L. | University of Arkansas | 2013 | female | 2 | 0 | 2013 | 2 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 |
104 | Day, Aaron | University of California, San Diego | 2013 | male | 1 | 0 | 2013 | 3 | 1 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 0 |
105 | Pilgrim, Robert Paul | University of Arkansas | 2013 | male | 2 | 0 | 2013 | 5 | 0 | 2013 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |  1 | 0 | 2 | 0 | 1 | 1 | 0 | 0 | 0 |
106 | Rauch, Andreas P. | Brandeis University | 2013 | male | 1 | 0 | 2013 | 1 | 1 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 |
107 | Mead, Curtis Charles | Harvard University | 2013 | male | 1 | 0 | 2013 | 1 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
108 | Kelly Miller, Neil L. | University of California, Santa Cruz | 2013 | male | 1 | 0 | 2013 | 1 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
109 | Solway, Michael | Rutgers The State University of New Jersey - New Brunswick | 2013 | male | 2 | 0 | 2013 | 2 | 0 | 2013 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |
110 | Rantsiou, Emmanouela | Northwestern University | 2013 | female | 3 | 0 | 2013 | 5 | 0 | 2013 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 |  2 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 |
111 | Prasai, Binay K. | Ohio University | 2013 | male | 1 | 0 | 2013 | 1 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
112 | Braden, Sarah E. | Arizona State University | 2013 | female | 2 | 1 | 2014 | 5 | 5 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 |  0 | 0 | 0 | 1 | 2 | 2 | 1 | 1 | 2 |
113 | Erickson, Kristen Leilani | University of Missouri - Saint Louis | 2013 | female | 2 | 1 | 2015 | 2 | 1 | 2015 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 |  0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 |
114 | Thomas, David Michael | Florida Institute of Technology | 2013 | male | 7 | 1 | 2018 | 74 | 65 | 2018 | 0 | 2 | 0 | 3 | 0 | 2 | 0 | 1 | 0 |  5 | 9 | 10 | 19 | 17 | 14 | 1 | 11 | 26 |
115 | Fang, Julia A. | University of California, Los Angeles | 2013 | female | 13 | 0 | 2013 | 20 | 0 | 2013 | 1 | 1 | 2 | 1 | 6 | 2 | 0 | 0 | 0 |  4 | 1 | 2 | 3 | 7 | 3 | 0 | 0 | 0 |
116 | Cooper, Kevin W. | Ohio University | 2013 | male | 1 | 1 | 2014 | 2 | 3 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 |  1 | 0 | 0 | 0 | 0 | 1 | 3 | 0 | 0 |
117 | Brandt, Timothy D. | Princeton University | 2013 | male | 5 | 10 | 2018 | 28 | 50 | 2018 | 0 | 0 | 1 | 1 | 1 | 2 | 3 | 4 | 1 |  0 | 0 | 2 | 2 | 11 | 13 | 9 | 12 | 15 |
118 | Ycas, Gabriel George | University of Colorado at Boulder | 2013 | male | 3 | 0 | 2013 | 5 | 2 | 2017 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 3 | 1 | 0 | 0 | 1 |
119 | Moyerman, Stephanie | University of California, San Diego | 2013 | female | 2 | 0 | 2013 | 2 | 5 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 3 | 1 | 0 |
120 | Rose, Keith J. | Rutgers The State University of New Jersey - New Brunswick | 2013 | male | 1 | 0 | 2013 | 2 | 1 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 1 |
121 | Gault, Amanda Charlotte | The University of Wisconsin - Madison | 2013 | female | 1 | 0 | 2013 | 4 | 1 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  1 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 |
122 | Rodigas, Timothy John | The University of Arizona | 2013 | male | 4 | 7 | 2016 | 18 | 25 | 2016 | 0 | 1 | 0 | 1 | 1 | 1 | 3 | 2 | 2 |  0 | 1 | 2 | 3 | 5 | 7 | 10 | 9 | 6 |
123 | Kunkle, Joshua Milo | University of Pennsylvania | 2013 | male | 1 | 0 | 2013 | 1 | 3 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 1 |
124 | Shalgar, Shashank | Northwestern University | 2013 | male | 1 | 0 | 2018 | 3 | 5 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 1 | 2 | 0 |
125 | Suresh, Santosh | Rochester Institute of Technology | 2013 | male | 1 | 0 | 2013 | 1 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
126 | Harstad, Emelie D. | University of Oregon | 2013 | female | 1 | 0 | 2013 | 66 | 15 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  14 | 14 | 8 | 7 | 16 | 7 | 13 | 2 | 0 |
127 | Zalewski, Sheridan | University of California, Santa Cruz | 2013 | female | 1 | 0 | 2013 | 2 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |
128 | Tsatsin, Petr | Florida Atlantic University | 2013 | male | 2 | 0 | 2013 | 4 | 1 | 2014 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 3 | 1 | 0 | 0 |
129 | Kirk, Michael S. | New Mexico State University | 2013 | male | 4 | 2 | 2017 | 4 | 4 | 2017 | 0 | 1 | 0 | 0 | 1 | 2 | 1 | 0 | 0 |  0 | 1 | 0 | 0 | 1 | 2 | 2 | 1 | 0 |
130 | Ahlqvist, Stein Pontus | Columbia University | 2013 | male | 1 | 0 | 2013 | 1 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
131 | Wyrick, Danielle Y. | The University of Texas at San Antonio | 2013 | female | 2 | 0 | 2013 | 6 | 5 | 2017 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 |  0 | 1 | 0 | 2 | 2 | 1 | 2 | 0 | 0 |
132 | Bloomfield, Jolyon Keith | Cornell University | 2013 | male | 6 | 3 | 2015 | 6 | 3 | 2015 | 0 | 0 | 1 | 1 | 1 | 3 | 2 | 1 | 0 |  0 | 0 | 1 | 1 | 1 | 3 | 2 | 1 | 0 |
133 | Pembroke, Asher | Rice University | 2013 | male | 2 | 0 | 2013 | 2 | 1 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 |
134 | Price, William D. | Embry-Riddle Aeronautical University | 2013 | male | 1 | 0 | 2013 | 1 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
135 | Dayanga, Waduthanthree Thilina | Washington State University | 2013 | None | 1 | 0 | 2013 | 1 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
136 | Mirbabayi, Mehrdad | New York University | 2013 | male | 4 | 5 | 2016 | 9 | 14 | 2017 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 4 | 1 |  0 | 0 | 0 | 4 | 2 | 3 | 1 | 6 | 5 |
137 | Waidyawansa, D. Buddhini P. | Ohio University | 2013 | female | 1 | 0 | 2013 | 1 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
138 | Baker, Paul Thomas | Montana State University | 2013 | male | 1 | 1 | 2015 | 50 | 76 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 |  0 | 11 | 8 | 7 | 16 | 8 | 14 | 7 | 27 |
139 | Paniello, Randal C. | Washington University in St. Louis | 2013 | male | 3 | 0 | 2013 | 5 | 1 | 2017 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 2 | 2 | 0 | 0 | 0 |
140 | Joyce, Austin | University of Pennsylvania | 2013 | male | 3 | 3 | 2016 | 8 | 14 | 2018 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 2 | 1 |  0 | 0 | 0 | 2 | 3 | 3 | 2 | 6 | 4 |
141 | Olmstead, Matthew Dwaune | The University of Utah | 2013 | male | 1 | 1 | 2014 | 15 | 29 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 |  0 | 0 | 0 | 4 | 5 | 6 | 7 | 3 | 5 |
142 | Yoon, Eisung | Princeton University | 2013 | None | 1 | 0 | 2013 | 1 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
143 | Ludwick, Kevin J. | The University of North Carolina at Chapel Hill | 2013 | male | 1 | 2 | 2018 | 7 | 3 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 |  0 | 0 | 0 | 3 | 2 | 2 | 0 | 2 | 0 |
144 | Vikas, Shailendra Kumar | University of Pittsburgh | 2013 | male | 2 | 0 | 2013 | 3 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 |
145 | Crockett, Nathan R. | University of Michigan | 2013 | male | 2 | 3 | 2015 | 22 | 11 | 2018 | 0 | 0 | 1 | 0 | 0 | 1 | 2 | 1 | 0 |  2 | 1 | 12 | 1 | 2 | 4 | 5 | 4 | 1 |
146 | Cooney, Alan | The University of Arizona | 2013 | male | 3 | 0 | 2013 | 4 | 0 | 2013 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 1 | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
147 | Davidson, James W., Jr. | The University of Toledo | 2013 | male | 2 | 1 | 2014 | 4 | 6 | 2018 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 |  1 | 1 | 1 | 0 | 0 | 1 | 1 | 2 | 0 |
148 | Porter, Lauren | University of California, Santa Cruz | 2013 | female | 1 | 2 | 2014 | 4 | 4 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 |  0 | 0 | 0 | 2 | 0 | 2 | 4 | 0 | 0 |
149 | Mendillo, Christopher B. | Boston University | 2013 | male | 1 | 0 | 2013 | 1 | 3 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 |
150 | Matta, Majd Mayyasi | Boston University | 2013 | male | 3 | 2 | 2015 | 7 | 7 | 2016 | 0 | 1 | 0 | 0 | 0 | 2 | 1 | 1 | 0 |  0 | 1 | 0 | 1 | 2 | 3 | 2 | 4 | 1 |
151 | Sengupta, Aparajita | The University of Alabama | 2013 | female | 1 | 0 | 2013 | 56 | 65 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  14 | 14 | 8 | 7 | 9 | 4 | 13 | 6 | 17 |
152 | East, William Edward | Princeton University | 2013 | male | 8 | 10 | 2018 | 10 | 14 | 2018 | 0 | 0 | 0 | 0 | 4 | 4 | 2 | 2 | 3 |  1 | 0 | 0 | 1 | 4 | 4 | 2 | 3 | 6 |
153 | Johnson, Michael Douglas | University of California, Santa Barbara | 2013 | male | 6 | 8 | 2018 | 17 | 41 | 2018 | 0 | 1 | 0 | 0 | 2 | 3 | 1 | 3 | 3 |  0 | 4 | 0 | 2 | 5 | 6 | 5 | 5 | 18 |
154 | Yoon, Tae Hyun | Columbia University | 2013 | male | 1 | 0 | 2013 | 4 | 0 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  2 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 |
155 | Zaleski, Daniel Paul | University of Virginia | 2013 | male | 2 | 0 | 2013 | 5 | 1 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 3 | 0 | 0 | 1 |
156 | Lim, Kyungeun Elizabeth | Columbia University | 2013 | female | 1 | 0 | 2013 | 19 | 2 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 1 | 1 | 6 | 7 | 4 | 2 | 0 | 0 |
157 | Wing, Joshua David | Boston University | 2013 | male | 3 | 0 | 2013 | 4 | 2 | 2017 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 0 | 2 | 0 | 0 | 1 |
158 | Xue, BingKan | Princeton University | 2013 | male | 5 | 1 | 2014 | 6 | 1 | 2018 | 0 | 0 | 1 | 1 | 1 | 2 | 1 | 0 | 0 |  0 | 1 | 1 | 1 | 1 | 2 | 1 | 0 | 0 |
159 | Mullan, Brendan Lawrence | The Pennsylvania State University | 2013 | male | 3 | 0 | 2013 | 6 | 4 | 2016 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 1 | 3 | 2 | 1 | 1 |
160 | Constantinou, Constantinos | State University of New York at Stony Brook | 2013 | male | 1 | 3 | 2017 | 1 | 3 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 |
