USA|2016|Laboratory for Atmospheric and Space Physics, University of Colorado, Boulder, CO, USA|0|Stevens, K. B.|Stevens, K.
non-USA|2017|School of Physics and Astronomy, University of Birmingham, Edgbaston, Birmingham, B15 2TT, United Kingdom|0|Bishop, J. E.|Bishop, J. E.
USA|2019|Institute for Theory and Computation, Harvard-Smithsonian Center for Astrophysics, 60 Garden St, Cambridge, MA 02138, USA|0|Hernquist, Lars Eric|Hernquist, Lars
USA|2018|MC 670, NASA's Goddard Space Flight Center, Greenbelt, MD, USA|0|St. Cyr, Orville Chris|St. Cyr, Orville
USA|2019|Kavli Institute for Astrophysics and Space Research, Massachusetts Institute of Technology, Cambridge, MA 02139, USA|0|Remillard, Ronald Alan|Remillard, Ronald A.
USA|2019|Steward Observatory, The University of Arizona, 933 North Cherry Avenue, Tucson, AZ 85721, USA|0|Schneider, Glenn H.|Schneider, Glenn
USA|2016|LIGO—Massachusetts Institute of Technology, Cambridge, Massachusetts 02139, USA|0|Brown, Dale Calvin|Brown, N. M.
USA|2019|Space Science Division, NASA Ames Research Center, MS 245-3, Moffett Field, CA 94035, USA|0|Zahnle, Kevin John|Zahnle, Kevin J.
USA|2019|AAVSO, Cambridge, MA 02138, USA|0|Henden, A. A.|Henden, A. A.
non-USA|2019|South-Western Institute for Astronomy Research, Yunnan University, Kunming, Yunnan 650091, P. R. China|0|Huang, Yi-Long|Huang, Y.
USA|2019|Center for Astrophysics∣Harvard &amp; Smithsonian 60 Garden Street, Cambridge, MA 02138, USA|0|Vrtilek, Saeqa Dil|Vrtilek, Saeqa
USA|2018|Scientific Studies and Consulting, 171 Harmon Drive, San Antonio, TX 78209, USA|0|Boice, Daniel Craig|Boice, Daniel C.
USA|2019|Department of Physics and Astronomy, Georgia State University, Astronomy Offices, 25 Park Place, Suite 605, Atlanta, GA 30303, USA|0|Crenshaw, Daniel Michael|Crenshaw, D. Michael
USA|2015|National Radio Astronomy Observatory, P.O. Box O, Socorro, NM 87801, USA|0|Kern, James Robert|Kern, J.
USA|2017|Physics Department, New Mexico Institute of Mining and Technology, Socorro, New Mexico 87801 USA|0|Westpfahl, David John, Jr.|Westpfahl, David J.
USA|2017|Department of Physics and Astronomy, Georgia State University, 25 Park Place, Suite 605, Atlanta, GA 30303, USA|0|Jones, Joseph Heilman|Jones, J.
USA|2019|Department of Physics and Astronomy, Aarhus University, Ny Munkegade 120, DK-8000 Aarhus C, Denmark; Homer L. Dodge Department of Physics and Astronomy, University of Oklahoma, 440 W. Brooks, Rm. 100, Norman, OK 73019-2061, USA ; Hamburger Sternwarte, Gojenbergsweg 112, D-21029 Hamburg, Germany|0|Baron, Edward Arthur|Baron, E.
USA|2019|Carl Sagan Center for the Study of Life in the Universe, SETI Institute, Mountain View, CA 94043, USA|0|Showalter, Mark Robert|Showalter, Mark R.
USA|2015|Department of Physics, Stanford University, Stanford, CA 94305, USA|0|Thompson, Kevin William|Thompson, K.
non-USA|2015|Scuola Normale Superiore, Piazza dei Cavalieri 7, I-56126 Pisa, Italy|0|Vietri, Mario|Vietri, Mario
USA|2018|Laboratory for Atmospheric and Space Physics, University of Colorado Boulder, Boulder, CO USA|0|Woods, Thomas Nee|Woods, T. N.
non-USA|2019|School of Physics, The University of Melbourne, Melbourne, VIC 3010, Australia; INFN - Laboratori Nazionali del Gran Sasso, Assergi L'Aquila I-67100, Italy|0|Paris, M. V.|Paris, M.
USA|2017|Applied Physics Laboratory, Johns Hopkins University, Laurel, Maryland USA|0|Schaefer, Robert Karl|Schaefer, Robert K.
non-USA|2018|GEPI, Observatoire de Paris, PSL Université, CNRS, 5 place Jules Janssen, F-92190 Meudon, France|1|Martin, J. M.|Martin, J. -M.
USA|2019|TScI at the Steven Muller Building, 3700 San Martin Drive, Baltimore, MD 21218, USA|0|Shaw, Richard Allen|Shaw, R.
USA|2019|Department of Astronomy, University of Maryland, College Park, MD 20742-2421, USA|0|Wolfire, Mark Guy|Wolfire, Mark G.
non-USA|2015|Lund Observatory, Box 43, 221 00, Lund, Sweden ; Laboratoire Univers et Particules de Montpellier (LUPM), UMR 5299, CNRS, Université Montpellier 2 - CC72 Place Eugène Bataillon, 34095, Montpellier Cedex 5, France|0|Lambert, John Vincent|Lambert, J.
non-USA|2019|Instituto de Ciencias Nucleares, Universidad Nacional Autónoma de México. Apartado Postal 70-543, 04510 Ciudad de México, México|0|Raga, Alejandro Cristian|Raga, A. C.
USA|2019|Jet Propulsion Laboratory, MS 183-900, California Institute of Technology, Pasadena, CA 91109, USA|0|Sahai, Raghvendra|Sahai, R.
non-USA|2019|Instituto de Astrofísica de Andalucía, Glorieta de la Astronomía, Granada E-18008, Spain|0|Jones, Michael David|Jones, Michael
non-USA|2018|Department of Astronomy and Space Science, Sejong University, Seoul, 143-747, Korea|0|Kang, Young Woon|Kang, Y. -W.
USA|2019|Department of Astrophysical Sciences, Princeton University, 4 Ivy Lane, Princeton, NJ 08544, USA|0|Lupton, R. H.|Lupton, Robert
USA|2018|Space Telescope Science Institute, 3700 San Martin Drive, Baltimore, MD 21218, USA|0|Nelan, Edmund Paul|Nelan, E.
USA|2018|Department of Physics, Virginia Tech, Blacksburg, VA 24061, USA|0|Simonetti, John Harold|Simonetti, John
USA|2019|Department of Physics and Astronomy, University of Kentucky, 505 Rose Street, Lexington, KY 40506, USA|0|Zhang, K. S.|Zhang, Kai
USA|2019|Department of Astronomy, University of Washington, Box 351580, Seattle, WA 98195, USA|0|Anderson, Scott Frederic|Anderson, Scott F.
USA|2018|Institute for Astrophysical Research, Boston University, 725 Commonwealth Avenue, Boston, MA 02215, USA|0|Clemens, Dan Percival|Clemens, Dan P.
USA|2019|Harvard-Smithsonian Center for Astrophysics, 60 Garden Street, Cambridge, MA 02138, USA|0|David, Laurence Paul|David, Laurence P.
USA|2019|Harvard-Smithsonian Center for Astrophysics, 60 Garden St., Cambridge, MA 02138, USA|0|Gaetz, Terrance Joseph|Gaetz, Terrance J.
USA|2019|State Key Laboratory of Space Weather, National Space Science Center, Chinese Academy of Sciences, Beijing, China; Now at School of Earth and Atmospheric Sciences, Georgia Institute of Technology, Atlanta, GA USA|0|Chen, Chia-Rong|Chen, C.
non-USA|2017|School of Physics and Astronomy, University of Birmingham, Edgbaston, Birmingham, B15 2TT, United Kingdom|0|Bishop, James Edward|Bishop, J. E.
non-USA|2019|NASA Ames Research Center, Moffett Field, CA, United States|0|Sandford, Scott Alan|Sandford, Scott A.
