n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
203 | Hartl, Michael David | California Institute of Technology | 2003 | male | 3 | 1 | 2005 | 3 | 1 | 2005 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 3 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
204 | McKinny, Kevin Scott | The University of Alabama | 2003 | male | 1 | 0 | 2003 | 3 | 2 | 2005 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
205 | Zhang, Zhongyu | UNIVERSITY OF MISSOURI - ROLLA | 2003 | male | 7 | 28 | 2017 | 38 | 172 | 2017 | 0 | 0 | 0 | 1 | 4 | 2 | 0 | 1 | 1 | 2 | 2 | 2 | 2 | 1 | 2 | 6 | 3 | 1 | 1 |  2 | 1 | 2 | 7 | 12 | 14 | 2 | 12 | 19 | 5 | 11 | 15 | 16 | 19 | 21 | 13 | 16 | 8 | 9 |
206 | Suk, Heejun | THE PENNSYLVANIA STATE UNIVERSITY | 2003 | male | 2 | 0 | 2003 | 2 | 1 | 2015 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |
207 | Xie, Bingrong | Rutgers The State University of New Jersey - New Brunswick | 2003 | None | 1 | 0 | 2003 | 3 | 0 | 2003 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
208 | Liu, Yuk Tung | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2003 | male | 12 | 60 | 2016 | 31 | 248 | 2017 | 0 | 0 | 1 | 6 | 3 | 2 | 3 | 3 | 7 | 5 | 10 | 7 | 5 | 4 | 6 | 1 | 3 | 3 | 3 |  0 | 1 | 6 | 11 | 7 | 6 | 5 | 14 | 22 | 12 | 24 | 26 | 14 | 13 | 37 | 24 | 27 | 13 | 14 |
209 | Fallon, Thomas John | GEORGIA STATE UNIVERSITY | 2003 | male | 1 | 0 | 2003 | 2 | 0 | 2003 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
210 | Shenoy, Sachindev S. | Rensselaer Polytechnic Institute | 2003 | male | 2 | 1 | 2008 | 3 | 22 | 2015 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 1 | 3 | 2 | 2 | 4 | 2 | 2 | 1 | 4 | 0 |
211 | Hartkorn, Klaus | New Jersey Institute of Technology | 2003 | male | 1 | 1 | 2004 | 1 | 3 | 2006 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
212 | Mukai, Ryan | University of California, Los Angeles | 2003 | male | 3 | 2 | 2006 | 4 | 7 | 2007 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 2 | 0 | 0 | 2 | 0 | 2 | 4 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
