n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
323 | Wu, Edward Yousen Mccloskey | Stanford University | 2009 | male | 1 | 0 | 2009 | 1 | 0 | 2009 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
324 | Freeland, Emily Elizabeth | The University of Wisconsin - Madison | 2009 | female | 3 | 4 | 2011 | 3 | 10 | 2016 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 2 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 2 | 2 | 1 | 1 | 2 | 1 | 1 |
325 | Grigsby, Jason D. | Wake Forest University | 2009 | male | 2 | 0 | 2009 | 3 | 2 | 2013 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 |
326 | Hyde, Joseph B. | University of Pennsylvania | 2009 | male | 4 | 0 | 2009 | 13 | 3 | 2010 | 0 | 0 | 0 | 0 | 1 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 4 | 4 | 5 | 3 | 0 | 0 | 0 | 0 | 0 | 0 |
327 | Barbeau, Phillip S. | The University of Chicago | 2009 | male | 3 | 2 | 2017 | 5 | 6 | 2017 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 2 | 1 | 2 | 0 | 2 | 0 | 1 | 1 | 0 | 1 |
328 | Cameron, Scott A. | University of Michigan | 2009 | male | 1 | 0 | 2009 | 2 | 2 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 1 | 0 | 0 | 0 | 0 |
329 | Peplowski, Patrick N. | The Florida State University | 2009 | male | 2 | 15 | 2016 | 3 | 44 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 2 | 3 | 2 | 2 | 3 | 3 |  0 | 0 | 1 | 0 | 0 | 2 | 0 | 4 | 4 | 9 | 6 | 11 | 6 |
330 | Rogers, Andrew Michael | Michigan State University | 2009 | male | 1 | 2 | 2011 | 6 | 5 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 4 | 0 | 3 | 2 | 0 | 0 | 0 | 0 |
331 | Stutz, Amelia M. | The University of Arizona | 2009 | female | 6 | 4 | 2016 | 24 | 93 | 2017 | 0 | 0 | 0 | 1 | 2 | 3 | 1 | 0 | 0 | 1 | 0 | 1 | 1 |  1 | 4 | 1 | 5 | 6 | 7 | 13 | 9 | 19 | 10 | 15 | 11 | 12 |
332 | Wu, Qiang | Baylor University | 2009 | male | 10 | 3 | 2016 | 26 | 26 | 2016 | 0 | 2 | 0 | 0 | 5 | 3 | 0 | 1 | 1 | 0 | 0 | 0 | 1 |  0 | 3 | 3 | 6 | 8 | 6 | 1 | 6 | 3 | 2 | 5 | 3 | 6 |
333 | Bubar, Eric J. | Clemson University | 2009 | male | 2 | 3 | 2011 | 3 | 5 | 2013 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 0 | 1 | 1 | 2 | 1 | 1 | 0 | 0 | 0 |
334 | Boyajian, Tabetha S. | Georgia State University | 2009 | female | 7 | 9 | 2016 | 13 | 62 | 2017 | 0 | 1 | 1 | 2 | 1 | 2 | 0 | 0 | 2 | 2 | 3 | 1 | 1 |  1 | 1 | 1 | 5 | 1 | 4 | 2 | 7 | 9 | 8 | 9 | 11 | 14 |
335 | Morales, Miguel Angel | University of Illinois at Urbana-Champaign | 2009 | male | 2 | 0 | 2009 | 2 | 3 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 1 | 1 |
336 | Stewart, Jason Bernard | Boston University | 2009 | male | 1 | 0 | 2009 | 2 | 0 | 2009 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
337 | Tolea, Alin Catalin | The Johns Hopkins University | 2009 | male | 1 | 0 | 2009 | 1 | 1 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
338 | Moskovitz, Nicholas A. | University of Hawai'i at Manoa | 2009 | male | 5 | 7 | 2017 | 9 | 32 | 2017 | 0 | 0 | 0 | 0 | 2 | 3 | 1 | 3 | 1 | 1 | 0 | 0 | 0 |  0 | 2 | 0 | 0 | 3 | 4 | 3 | 8 | 3 | 2 | 4 | 3 | 7 |
339 | Penev, Kaloyan Minev | Harvard University | 2009 | male | 4 | 6 | 2016 | 5 | 57 | 2017 | 0 | 0 | 0 | 1 | 0 | 3 | 0 | 2 | 1 | 1 | 1 | 0 | 1 |  1 | 0 | 0 | 1 | 0 | 3 | 0 | 2 | 4 | 6 | 9 | 14 | 13 |
340 | Wang, Yun | University of Florida | 2009 | male | 58 | 77 | 2017 | 224 | 285 | 2017 | 10 | 8 | 12 | 9 | 8 | 11 | 10 | 11 | 12 | 11 | 11 | 10 | 11 |  27 | 47 | 44 | 23 | 42 | 41 | 30 | 36 | 31 | 32 | 33 | 38 | 66 |
341 | Baleisis, Audra | The University of Arizona | 2009 | female | 1 | 0 | 2009 | 1 | 0 | 2009 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
342 | Conklin, Nicholas B. | The Pennsylvania State University | 2009 | male | 1 | 0 | 2009 | 27 | 4 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 9 | 0 | 0 | 14 | 4 | 2 | 1 | 0 | 0 | 0 | 0 | 0 |
343 | Allen, Walter W., Jr. | Howard University | 2009 | male | 1 | 1 | 2013 | 6 | 17 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 5 | 2 | 3 | 5 | 4 | 1 | 1 | 1 |
344 | Collins, David C. | University of California, San Diego | 2009 | male | 1 | 4 | 2012 | 8 | 22 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 0 | 0 | 0 | 0 |  0 | 2 | 1 | 0 | 2 | 3 | 4 | 4 | 2 | 3 | 1 | 2 | 2 |
345 | Orr, Matthew R. | The University of Alabama in Huntsville | 2009 | male | 1 | 1 | 2011 | 1 | 30 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 10 | 9 | 6 | 2 | 2 | 1 |
346 | Pierce, Christina M. | University of California, Santa Cruz | 2009 | female | 2 | 3 | 2011 | 4 | 3 | 2011 | 0 | 0 | 0 | 1 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 2 | 2 | 1 | 0 | 0 | 0 | 0 | 0 |
347 | Qiu, Xinjie | University of Minnesota | 2009 | male | 2 | 0 | 2009 | 5 | 15 | 2016 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 4 | 3 | 5 | 0 | 2 | 1 | 2 | 2 |
348 | Raut, Ujjwal | University of Virginia | 2009 | male | 2 | 5 | 2015 | 6 | 11 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 2 | 1 | 1 | 0 | 1 | 0 |  0 | 0 | 3 | 1 | 1 | 1 | 1 | 3 | 2 | 3 | 0 | 1 | 0 |
349 | Eriksen, Kristoffer Albert | The University of Arizona | 2009 | male | 2 | 1 | 2011 | 7 | 9 | 2015 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 3 | 0 | 1 | 2 | 0 | 2 | 0 | 1 | 2 | 4 | 0 |
350 | Feldman, Daniel J. | Northeastern University | 2009 | male | 8 | 4 | 2011 | 9 | 9 | 2015 | 0 | 0 | 0 | 2 | 2 | 4 | 3 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 3 | 2 | 4 | 3 | 4 | 1 | 0 | 0 | 1 | 0 |
351 | Hui, Yawei | The Johns Hopkins University | 2009 | male | 4 | 2 | 2010 | 4 | 3 | 2010 | 0 | 1 | 0 | 0 | 1 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 1 | 2 | 3 | 0 | 0 | 0 | 0 | 0 | 0 |
352 | Jenke, Peter Alexander | The University of Alabama in Huntsville | 2009 | male | 1 | 3 | 2016 | 1 | 22 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 2 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 7 | 0 | 3 | 3 | 6 |
353 | Leong, Jonathan Ryan Kyoung Ho | Case Western Reserve University | 2009 | male | 1 | 0 | 2009 | 2 | 15 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 4 | 5 | 5 | 0 | 1 | 0 | 0 |
354 | Nelson, Thomas John | The University of Wisconsin - Madison | 2009 | male | 2 | 4 | 2014 | 6 | 56 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 0 | 1 | 0 | 0 |  1 | 0 | 2 | 1 | 1 | 1 | 6 | 4 | 8 | 7 | 6 | 3 | 13 |
355 | Schwan, Daniel | University of California, Berkeley | 2009 | male | 1 | 1 | 2011 | 6 | 5 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 1 | 4 | 1 | 2 | 1 | 0 | 0 | 0 | 1 |
356 | Strother, Terrance T. | Michigan State University | 2009 | male | 3 | 1 | 2010 | 4 | 3 | 2015 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 1 | 1 | 0 |
357 | Shih, Albert Young-Ming | University of California, Berkeley | 2009 | male | 1 | 0 | 2009 | 1 | 2 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 |
358 | Sandstrom, Karin Marie | University of California, Berkeley | 2009 | female | 3 | 4 | 2013 | 7 | 62 | 2017 | 0 | 0 | 0 | 1 | 0 | 2 | 2 | 0 | 1 | 1 | 0 | 0 | 0 |  0 | 1 | 0 | 3 | 0 | 3 | 6 | 10 | 9 | 12 | 3 | 9 | 6 |
359 | Hinkley, Sasha | Columbia University | 2009 | female | 3 | 8 | 2015 | 10 | 55 | 2017 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 3 | 0 | 2 | 0 | 2 | 0 |  1 | 2 | 1 | 2 | 1 | 3 | 3 | 5 | 6 | 6 | 5 | 15 | 11 |
360 | McCubbin, Francis Michael | State University of New York at Stony Brook | 2009 | male | 4 | 7 | 2016 | 9 | 37 | 2017 | 0 | 0 | 0 | 0 | 1 | 3 | 2 | 1 | 1 | 1 | 0 | 0 | 2 |  0 | 0 | 0 | 1 | 1 | 7 | 3 | 2 | 3 | 4 | 7 | 6 | 10 |
361 | Laag, Edward Aric | University of California, Riverside | 2009 | male | 2 | 1 | 2010 | 2 | 3 | 2014 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 1 | 0 | 0 |
362 | Griesemer, Paul Ricord | The University of Texas at Austin | 2009 | male | 1 | 0 | 2009 | 1 | 0 | 2009 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
363 | Jacobs, Shane Earl | University of Maryland, College Park | 2009 | male | 1 | 1 | 2010 | 4 | 1 | 2010 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 3 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |
364 | Choi, David Sanghun | The University of Arizona | 2009 | male | 3 | 4 | 2013 | 3 | 21 | 2015 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 2 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 2 | 2 | 2 | 1 | 9 | 6 | 1 | 0 |
365 | Jeffery, Elizabeth Jane | The University of Texas at Austin | 2009 | female | 3 | 4 | 2016 | 10 | 10 | 2017 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 2 |  2 | 1 | 1 | 2 | 2 | 2 | 2 | 2 | 0 | 0 | 1 | 0 | 2 |
