n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
329 | Randol, Brent M. | The University of Texas at San Antonio | 2012 | male | 3 | 3 | 2016 | 9 | 4 | 2017 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 1 | 0 | 1 |  0 | 1 | 3 | 1 | 0 | 4 | 1 | 1 | 0 | 1 |
330 | Meinke, Bonnie Kathleen | University of Colorado at Boulder | 2012 | female | 2 | 0 | 2012 | 5 | 1 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 |  0 | 2 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 |
331 | Ballard, Sarah Ashley | Harvard University | 2012 | female | 5 | 3 | 2016 | 12 | 8 | 2018 | 0 | 0 | 0 | 2 | 2 | 1 | 1 | 1 | 0 | 1 |  1 | 0 | 0 | 3 | 4 | 4 | 1 | 2 | 2 | 3 |
332 | Liskowsky, Joseph Paul | Clemson University | 2012 | male | 2 | 0 | 2012 | 3 | 1 | 2013 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 0 |
333 | Meyers, Joshua Evan | University of California, Berkeley | 2012 | male | 2 | 3 | 2015 | 17 | 12 | 2018 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 2 | 0 |  0 | 3 | 6 | 2 | 1 | 5 | 2 | 2 | 6 | 0 |
334 | Elkholy, Tamer Yohanna | Massachusetts Institute of Technology | 2012 | None | 1 | 1 | 2015 | 1 | 1 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 |
335 | McArthur, Steven Brett | Washington University in St. Louis | 2012 | male | 1 | 0 | 2012 | 31 | 41 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 2 | 7 | 12 | 10 | 7 | 7 | 8 | 10 |
336 | Copete, Antonio Julio | Harvard University | 2012 | male | 1 | 0 | 2012 | 4 | 0 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 0 | 2 | 0 | 0 | 0 | 0 |
337 | Vanderplas, Jacob T. | University of Washington | 2012 | male | 1 | 0 | 2012 | 5 | 3 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 1 | 2 | 2 | 0 | 1 | 0 |
338 | Wuyts, Eva | The University of Chicago | 2012 | female | 4 | 4 | 2016 | 9 | 26 | 2018 | 0 | 0 | 0 | 1 | 0 | 3 | 0 | 2 | 0 | 2 |  0 | 0 | 0 | 3 | 2 | 4 | 3 | 11 | 2 | 4 |
339 | Capelo, Pedro R. | Yale University | 2012 | male | 4 | 3 | 2018 | 4 | 12 | 2018 | 1 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 1 | 0 |  1 | 0 | 0 | 1 | 0 | 2 | 0 | 1 | 3 | 2 |
340 | Fustin, Drew Anthony | The University of Chicago | 2012 | male | 1 | 0 | 2012 | 3 | 2 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 0 | 0 |
341 | Rangelov, Blagoy | The University of Toledo | 2012 | male | 3 | 3 | 2017 | 4 | 14 | 2018 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 1 | 0 | 1 |  0 | 0 | 0 | 0 | 1 | 3 | 0 | 2 | 2 | 5 |
342 | Bai, Xue-Ning | Princeton University | 2012 | None | 11 | 13 | 2017 | 69 | 110 | 2018 | 0 | 0 | 1 | 5 | 4 | 1 | 3 | 4 | 2 | 2 |  4 | 6 | 8 | 18 | 19 | 14 | 26 | 18 | 20 | 22 |
343 | Bryngelson, Ginger | Clemson University | 2012 | female | 1 | 0 | 2012 | 5 | 2 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 3 | 0 | 0 | 1 | 1 | 0 | 0 | 2 | 0 |
344 | Kowalski, Adam F. | University of Washington | 2012 | male | 4 | 6 | 2018 | 17 | 26 | 2018 | 0 | 0 | 1 | 1 | 0 | 2 | 1 | 0 | 2 | 1 |  1 | 1 | 1 | 4 | 2 | 8 | 4 | 2 | 7 | 7 |
345 | Duffy, Brenton | The George Washington University | 2012 | male | 1 | 0 | 2012 | 1 | 0 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
346 | Huff, Eric Michael | University of California, Berkeley | 2012 | male | 3 | 3 | 2014 | 6 | 17 | 2018 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 3 | 0 | 0 |  2 | 0 | 1 | 1 | 0 | 2 | 0 | 4 | 4 | 5 |
347 | Tyler, Krystal | The University of Arizona | 2012 | female | 3 | 2 | 2014 | 5 | 2 | 2014 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 1 | 0 | 0 |  1 | 1 | 1 | 0 | 1 | 1 | 1 | 1 | 0 | 0 |
348 | Zeng, Lingzhen | The Johns Hopkins University | 2012 | female | 2 | 2 | 2015 | 5 | 5 | 2018 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 |  0 | 1 | 1 | 0 | 0 | 3 | 1 | 0 | 3 | 1 |
349 | Jones, Tucker A. | California Institute of Technology | 2012 | None | 6 | 5 | 2018 | 14 | 24 | 2018 | 1 | 1 | 0 | 2 | 0 | 2 | 2 | 0 | 2 | 0 |  3 | 1 | 2 | 2 | 3 | 3 | 4 | 2 | 7 | 3 |
350 | Fumagalli, Michele | University of California, Santa Cruz | 2012 | male | 10 | 9 | 2017 | 23 | 59 | 2018 | 0 | 1 | 1 | 2 | 3 | 3 | 1 | 3 | 1 | 2 |  0 | 2 | 1 | 3 | 9 | 8 | 10 | 14 | 13 | 11 |
351 | Rujopakarn, Wiphu | The University of Arizona | 2012 | None | 4 | 2 | 2018 | 14 | 21 | 2018 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 0 | 0 | 1 |  3 | 1 | 1 | 3 | 2 | 4 | 1 | 2 | 3 | 8 |
352 | Leitner, Samuel Nicholas | The University of Chicago | 2012 | male | 3 | 0 | 2012 | 4 | 3 | 2016 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 1 | 2 | 1 | 1 | 0 | 1 |
353 | Hayward, Christopher Charles | Harvard University | 2012 | male | 3 | 7 | 2018 | 16 | 45 | 2018 | 0 | 0 | 0 | 0 | 1 | 2 | 3 | 2 | 1 | 0 |  0 | 0 | 3 | 5 | 3 | 5 | 7 | 5 | 10 | 6 |
354 | Alatalo, Katherine Anne | University of California, Berkeley | 2012 | female | 2 | 12 | 2017 | 18 | 48 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 3 | 4 | 3 |  0 | 0 | 0 | 1 | 11 | 6 | 12 | 12 | 9 | 7 |
355 | Schmidt, Sarah Jane | University of Washington | 2012 | female | 6 | 6 | 2017 | 19 | 30 | 2018 | 1 | 0 | 1 | 2 | 0 | 2 | 0 | 2 | 1 | 2 |  2 | 0 | 1 | 3 | 5 | 8 | 4 | 8 | 6 | 4 |
356 | Zeimann, Gregory | University of California, Davis | 2012 | male | 3 | 4 | 2015 | 15 | 24 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 2 | 0 |  0 | 0 | 1 | 0 | 6 | 8 | 4 | 6 | 6 | 7 |
357 | Riebel, David | The Johns Hopkins University | 2012 | male | 3 | 1 | 2015 | 10 | 3 | 2016 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 3 | 3 | 4 | 1 | 0 | 1 | 1 |
358 | Hock, Rachel Allison | University of Colorado at Boulder | 2012 | female | 3 | 0 | 2012 | 9 | 4 | 2014 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 |  1 | 1 | 2 | 0 | 2 | 3 | 2 | 2 | 0 | 0 |
359 | Finnegan, Gary Marvin | The University of Utah | 2012 | male | 1 | 0 | 2012 | 36 | 6 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 2 | 6 | 7 | 11 | 10 | 4 | 1 | 1 | 0 |
