n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
40 | Whitehorn, Nathan | The University of Wisconsin - Madison | 2012 | male | 1 | 1 | 2016 | 44 | 59 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 |  0 | 1 | 7 | 11 | 13 | 12 | 18 | 10 | 18 | 9 |
41 | Krause, Anna Elisabeth | California Institute of Technology | 2012 | female | 1 | 0 | 2012 | 1 | 0 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
42 | Riedel, Adric Richard | Georgia State University | 2012 | male | 3 | 3 | 2018 | 8 | 23 | 2018 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 1 | 0 | 0 |  1 | 1 | 0 | 1 | 3 | 2 | 4 | 7 | 3 | 3 |
43 | Richards, Joseph Lee | California Institute of Technology | 2012 | male | 3 | 2 | 2015 | 34 | 51 | 2018 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 1 | 1 | 0 |  1 | 0 | 3 | 5 | 11 | 14 | 11 | 10 | 13 | 10 |
44 | Ivanov, Dmitri | Rutgers The State University of New Jersey - New Brunswick | 2012 | male | 5 | 3 | 2018 | 17 | 25 | 2018 | 0 | 1 | 0 | 0 | 2 | 2 | 0 | 1 | 0 | 0 |  0 | 4 | 2 | 2 | 2 | 7 | 4 | 4 | 5 | 2 |
45 | Johannsen, Tim | The University of Arizona | 2012 | male | 11 | 10 | 2016 | 13 | 14 | 2016 | 0 | 0 | 2 | 2 | 3 | 4 | 5 | 1 | 0 | 4 |  0 | 0 | 2 | 2 | 3 | 6 | 5 | 2 | 0 | 7 |
46 | Gray, William James | Arizona State University | 2012 | male | 4 | 5 | 2018 | 5 | 8 | 2018 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 0 | 1 | 2 |  0 | 0 | 0 | 1 | 2 | 2 | 2 | 1 | 2 | 2 |
47 | Lesniak, Michael V., III | Arizona State University | 2012 | male | 2 | 0 | 2012 | 2 | 0 | 2012 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 |
48 | Ries, Paul A. | University of Virginia | 2012 | male | 2 | 1 | 2015 | 3 | 3 | 2016 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 2 | 1 |
49 | Jacobson, Seth A. | University of Colorado at Boulder | 2012 | male | 3 | 7 | 2017 | 4 | 20 | 2018 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 4 | 1 | 1 |  0 | 0 | 0 | 1 | 2 | 1 | 0 | 5 | 6 | 7 |
50 | Anderson, Ryan | Cornell University | 2012 | male | 9 | 7 | 2018 | 31 | 92 | 2018 | 0 | 2 | 1 | 3 | 1 | 2 | 1 | 0 | 3 | 3 |  3 | 6 | 2 | 7 | 6 | 7 | 20 | 30 | 18 | 15 |
51 | Yang, Abel Jiahui | University of Virginia | 2012 | male | 4 | 0 | 2012 | 4 | 1 | 2014 | 0 | 0 | 0 | 0 | 1 | 3 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 3 | 0 | 1 | 0 | 0 |
52 | Edwards, Christopher | Arizona State University | 2012 | male | 6 | 3 | 2018 | 15 | 35 | 2018 | 1 | 1 | 1 | 0 | 2 | 1 | 0 | 2 | 0 | 1 |  2 | 4 | 2 | 0 | 3 | 4 | 13 | 12 | 3 | 6 |
53 | Van Schelt, Jonathon A. | The University of Chicago | 2012 | male | 2 | 1 | 2013 | 4 | 1 | 2013 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 1 | 2 | 1 | 0 | 0 | 0 |
54 | Petrov, Yevgeniy | Colorado State University | 2012 | None | 1 | 0 | 2012 | 36 | 21 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  3 | 4 | 3 | 6 | 8 | 12 | 4 | 9 | 6 | 2 |
55 | Acevedo-Arreguin, Luis Antonio | University of California, Santa Cruz | 2012 | male | 1 | 1 | 2013 | 2 | 1 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |
56 | Tollerud, Erik Jon | University of California, Irvine | 2012 | male | 6 | 4 | 2018 | 20 | 23 | 2018 | 0 | 1 | 0 | 1 | 2 | 2 | 1 | 1 | 1 | 1 |  0 | 1 | 1 | 3 | 5 | 10 | 3 | 5 | 7 | 4 |
57 | Rivera-Valentin, Edgard G. | University of Arkansas | 2012 | male | 3 | 4 | 2015 | 6 | 11 | 2018 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 3 | 1 | 0 |  0 | 0 | 0 | 0 | 1 | 5 | 0 | 5 | 3 | 2 |
58 | Yuan, Tiantian | University of Hawai'i at Manoa | 2012 | None | 5 | 7 | 2017 | 9 | 32 | 2018 | 0 | 0 | 1 | 1 | 1 | 2 | 2 | 2 | 2 | 0 |  0 | 1 | 1 | 1 | 1 | 5 | 5 | 2 | 6 | 6 |
59 | Batygin, Konstantin | California Institute of Technology | 2012 | male | 13 | 16 | 2018 | 15 | 44 | 2018 | 0 | 1 | 2 | 2 | 5 | 3 | 5 | 1 | 5 | 3 |  0 | 1 | 2 | 3 | 5 | 4 | 7 | 9 | 9 | 11 |
60 | Hinkel, Natalie R. | Arizona State University | 2012 | female | 1 | 7 | 2018 | 1 | 21 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 2 | 1 |  0 | 0 | 0 | 0 | 0 | 1 | 5 | 4 | 3 | 4 |
61 | Pagnotta, Ashley | Louisiana State University | 2012 | female | 3 | 6 | 2016 | 10 | 8 | 2018 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 2 | 3 | 1 |  0 | 0 | 2 | 2 | 3 | 3 | 0 | 2 | 4 | 1 |
62 | Bhalerao, Varun | Caltech | 2012 | None | 4 | 3 | 2017 | 6 | 28 | 2018 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 1 | 2 | 3 | 3 | 4 | 7 | 6 |
63 | Colaninno, Robin C. | George Mason University | 2012 | male | 2 | 3 | 2015 | 6 | 13 | 2017 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 2 | 0 |  0 | 0 | 2 | 1 | 1 | 2 | 1 | 2 | 7 | 2 |
64 | Cody, Ann Marie | California Institute of Technology | 2012 | female | 4 | 5 | 2018 | 4 | 46 | 2018 | 0 | 0 | 1 | 1 | 1 | 1 | 2 | 2 | 0 | 0 |  0 | 0 | 1 | 1 | 1 | 1 | 2 | 7 | 9 | 14 |
65 | Raymond, Vivien | Northwestern University | 2012 | None | 3 | 0 | 2012 | 50 | 93 | 2018 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 2 | 14 | 9 | 7 | 18 | 6 | 18 | 8 | 30 |
66 | Friedman, Andrew Samuel | Harvard University | 2012 | male | 1 | 2 | 2015 | 7 | 12 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 |  0 | 1 | 4 | 0 | 0 | 2 | 3 | 5 | 1 | 1 |
67 | Richardson, Noel D. | Center for High Angular Resolution Astronomy, Georgia State University | 2012 | male | 5 | 7 | 2018 | 13 | 31 | 2018 | 0 | 0 | 0 | 1 | 3 | 1 | 1 | 0 | 2 | 3 |  0 | 1 | 1 | 3 | 3 | 5 | 2 | 2 | 8 | 10 |
68 | Motta, Leonardo | Dartmouth College | 2012 | male | 2 | 0 | 2012 | 3 | 0 | 2012 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 |
69 | San Roman, Izaskun | University of Florida | 2012 | female | 4 | 1 | 2018 | 5 | 12 | 2018 | 0 | 0 | 1 | 1 | 0 | 2 | 0 | 0 | 1 | 0 |  0 | 0 | 1 | 1 | 0 | 3 | 0 | 4 | 4 | 1 |
70 | Meyer, Eileen T. | Rice University | 2012 | female | 4 | 7 | 2018 | 8 | 15 | 2018 | 0 | 0 | 0 | 0 | 2 | 2 | 1 | 1 | 2 | 1 |  0 | 0 | 1 | 1 | 3 | 3 | 1 | 2 | 4 | 2 |
71 | Rimmer, Paul B. | Ohio State University | 2012 | male | 3 | 4 | 2018 | 7 | 15 | 2018 | 0 | 0 | 0 | 0 | 0 | 3 | 1 | 2 | 0 | 1 |  0 | 0 | 0 | 4 | 0 | 3 | 3 | 4 | 1 | 4 |
72 | Whitehouse, Matthew Robert | The University of Arizona | 2012 | male | 1 | 0 | 2012 | 1 | 0 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
73 | Anilmis, Nurdan | University of Delaware | 2012 | female | 1 | 0 | 2012 | 1 | 1 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |
74 | Dolch, Timothy | The Johns Hopkins University | 2012 | male | 1 | 2 | 2016 | 3 | 21 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 |  0 | 0 | 0 | 0 | 2 | 1 | 0 | 2 | 5 | 9 |
75 | Aver, Erik | University of Minnesota | 2012 | male | 4 | 2 | 2015 | 4 | 4 | 2016 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 0 | 1 | 0 |  0 | 0 | 0 | 1 | 1 | 2 | 2 | 0 | 1 | 1 |
76 | Matuszewski, Mateusz Konrad | California Institute of Technology | 2012 | male | 1 | 0 | 2012 | 1 | 2 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 |
77 | Farris, Brian D. | University of Illinois at Urbana-Champaign | 2012 | male | 5 | 3 | 2015 | 7 | 6 | 2016 | 0 | 1 | 0 | 1 | 1 | 2 | 0 | 1 | 2 | 0 |  0 | 2 | 0 | 1 | 1 | 3 | 0 | 2 | 3 | 1 |
78 | Glesener, Lindsay Erin | University of California, Berkeley | 2012 | female | 2 | 2 | 2018 | 8 | 16 | 2018 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 |  1 | 1 | 0 | 1 | 2 | 3 | 1 | 3 | 2 | 4 |
79 | Sharma, Priyanka | The University of Arizona | 2012 | female | 6 | 0 | 2012 | 9 | 4 | 2017 | 0 | 1 | 1 | 2 | 1 | 1 | 0 | 0 | 0 | 0 |  0 | 1 | 1 | 2 | 1 | 4 | 3 | 0 | 0 | 0 |
80 | Blecha, Laura Elizabeth | Harvard University | 2012 | female | 3 | 3 | 2018 | 5 | 11 | 2018 | 0 | 1 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 1 |  0 | 1 | 0 | 1 | 1 | 2 | 2 | 2 | 1 | 1 |
81 | Goncalves, Thiago Signorini | California Institute of Technology | 2012 | None | 1 | 0 | 2012 | 11 | 8 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 1 | 3 | 4 | 1 | 2 | 2 | 1 | 0 | 1 |
82 | Wu, Meng-Ru | University of Minnesota | 2012 | male | 5 | 6 | 2017 | 9 | 15 | 2018 | 0 | 1 | 0 | 0 | 2 | 2 | 0 | 1 | 1 | 2 |  0 | 1 | 0 | 0 | 4 | 4 | 0 | 1 | 3 | 4 |
83 | Bilous, Anna V. | University of Virginia | 2012 | female | 3 | 3 | 2018 | 7 | 9 | 2018 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 1 | 1 | 1 |  0 | 1 | 1 | 1 | 1 | 3 | 0 | 2 | 4 | 3 |
84 | Dixon, Keri L. | University of California, Los Angeles | 2012 | female | 2 | 2 | 2018 | 3 | 8 | 2018 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 1 |  0 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 4 |
85 | Reynolds, Sarah J. | University of Kansas | 2012 | female | 3 | 0 | 2012 | 4 | 0 | 2012 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 0 | 2 | 0 | 0 | 0 | 0 |
86 | Colon, Knicole Dawn | University of Florida | 2012 | female | 1 | 0 | 2012 | 9 | 23 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 2 | 2 | 1 | 4 | 1 | 2 | 3 | 5 |
87 | Plante, Guillaume | Columbia University | 2012 | male | 2 | 0 | 2012 | 22 | 21 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 |  1 | 2 | 3 | 1 | 8 | 7 | 3 | 4 | 3 | 4 |
88 | Luo, Xi | Florida Institute of Technology | 2012 | None | 5 | 6 | 2018 | 13 | 11 | 2018 | 0 | 2 | 1 | 0 | 1 | 1 | 3 | 0 | 1 | 1 |  0 | 5 | 2 | 0 | 4 | 2 | 5 | 1 | 1 | 1 |
89 | Fang, Fang | University of Michigan | 2012 | female | 4 | 2 | 2015 | 13 | 8 | 2017 | 0 | 0 | 0 | 1 | 0 | 3 | 0 | 1 | 1 | 0 |  5 | 2 | 1 | 1 | 0 | 4 | 0 | 2 | 1 | 2 |
90 | Lasso Cabrera, Nestor M. | University of Florida | 2012 | male | 1 | 0 | 2012 | 1 | 2 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |
91 | Ozak Munoz, Nataly | University of Kansas | 2012 | female | 1 | 0 | 2012 | 1 | 0 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
92 | Ventimiglia, David A. | Michigan State University | 2012 | male | 3 | 0 | 2012 | 3 | 1 | 2013 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 |
93 | Burton, Ross E. | Case Western Reserve University | 2012 | male | 1 | 0 | 2012 | 33 | 2 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 4 | 3 | 6 | 8 | 12 | 2 | 0 | 0 | 0 |
94 | Barnes, Kate Lynn | Indiana University | 2012 | female | 3 | 2 | 2014 | 3 | 6 | 2018 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 2 | 2 |
95 | Elkafrawy, Tamer Mohammad Samy | Western Michigan University | 2012 | None | 1 | 0 | 2012 | 1 | 0 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
96 | Lackey, Benjamin D. | The University of Wisconsin - Milwaukee | 2012 | male | 2 | 3 | 2017 | 4 | 64 | 2018 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 1 | 0 |  0 | 0 | 1 | 1 | 0 | 2 | 1 | 2 | 4 | 27 |
97 | Wang, Mei-Yu | University of Pittsburgh | 2012 | female | 10 | 7 | 2018 | 29 | 107 | 2018 | 1 | 1 | 1 | 2 | 0 | 5 | 1 | 2 | 1 | 2 |  3 | 4 | 1 | 3 | 4 | 14 | 11 | 21 | 14 | 35 |
98 | Tseliakhovich, Dmitriy | California Institute of Technology | 2012 | male | 5 | 0 | 2012 | 7 | 1 | 2013 | 0 | 0 | 0 | 2 | 1 | 2 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 1 | 4 | 1 | 0 | 0 | 0 |
99 | Quarles, Billy Lee | The University of Texas at Arlington | 2012 | male | 5 | 3 | 2018 | 6 | 16 | 2018 | 0 | 0 | 0 | 0 | 1 | 4 | 0 | 0 | 1 | 1 |  0 | 0 | 0 | 0 | 2 | 4 | 2 | 4 | 4 | 5 |
100 | Kermish, Zigmund David | University of California, Berkeley | 2012 | None | 1 | 0 | 2012 | 5 | 12 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 2 | 0 | 1 | 2 | 0 | 3 | 4 | 3 |
101 | Ganeshalingam, Mohan | University of California, Berkeley | 2012 | male | 4 | 1 | 2013 | 48 | 16 | 2016 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 0 | 0 | 0 |  3 | 4 | 13 | 8 | 12 | 8 | 7 | 5 | 2 | 2 |
102 | Kundurthy, Praveen | University of Washington | 2012 | male | 2 | 2 | 2013 | 4 | 3 | 2013 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 2 | 3 | 0 | 0 | 0 |
103 | Cales, Sabrina L. | University of Wyoming | 2012 | female | 2 | 2 | 2015 | 7 | 16 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 1 | 0 |  1 | 0 | 1 | 0 | 2 | 3 | 2 | 2 | 6 | 5 |
104 | Tal, Tomer | Yale University | 2012 | None | 5 | 2 | 2014 | 12 | 8 | 2017 | 0 | 0 | 1 | 0 | 1 | 3 | 1 | 1 | 0 | 0 |  0 | 1 | 2 | 1 | 3 | 5 | 2 | 3 | 0 | 2 |
105 | Crowder, S. Gwynne | The University of Wisconsin - Madison | 2012 | female | 2 | 1 | 2013 | 3 | 80 | 2018 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 0 | 2 | 3 | 13 | 7 | 27 |
106 | Schlafly, Edward Ford | Harvard University | 2012 | male | 4 | 5 | 2018 | 7 | 38 | 2018 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 2 | 1 | 1 |  0 | 1 | 0 | 1 | 2 | 3 | 5 | 10 | 8 | 10 |
107 | Dhar, Barun Kumar | University of Minnesota | 2012 | male | 3 | 0 | 2012 | 3 | 0 | 2012 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 |
108 | Chu, Tony | California Institute of Technology | 2012 | male | 3 | 2 | 2016 | 11 | 15 | 2017 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 1 |  0 | 1 | 5 | 1 | 1 | 3 | 4 | 2 | 1 | 4 |
109 | Lee, Samuel K. | California Institute of Technology | 2012 | male | 4 | 8 | 2016 | 15 | 26 | 2018 | 0 | 0 | 1 | 0 | 1 | 2 | 2 | 2 | 3 | 1 |  1 | 1 | 1 | 2 | 1 | 9 | 5 | 4 | 7 | 6 |
110 | Grant, Christopher Peter | The University of Alabama | 2012 | male | 2 | 0 | 2012 | 10 | 1 | 2015 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 4 | 0 | 1 | 3 | 2 | 0 | 0 | 1 | 0 |
111 | Thomas, Joshua David | The University of Toledo | 2012 | male | 8 | 3 | 2015 | 28 | 20 | 2018 | 2 | 0 | 2 | 0 | 3 | 1 | 1 | 1 | 1 | 0 |  5 | 8 | 3 | 3 | 7 | 2 | 6 | 3 | 5 | 2 |
112 | Kopon, Derek | The University of Arizona | 2012 | male | 1 | 1 | 2013 | 1 | 7 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 4 | 2 | 1 | 0 |
113 | Urata, Richard Atsuki | University of Colorado at Boulder | 2012 | male | 1 | 2 | 2013 | 1 | 2 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 |
114 | Dhital, Saurav | Vanderbilt University | 2012 | male | 4 | 2 | 2015 | 16 | 17 | 2017 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 0 | 1 | 0 |  1 | 1 | 1 | 2 | 5 | 6 | 5 | 2 | 5 | 3 |
115 | Garcia-Sage, Katherine | Boston University | 2012 | female | 1 | 2 | 2017 | 1 | 4 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 |
116 | Clausen-Brown, Eric | Purdue University | 2012 | male | 3 | 1 | 2013 | 5 | 5 | 2015 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 3 | 2 | 2 | 1 | 0 |
117 | Smith, Matthew R. | University of Washington | 2012 | male | 5 | 3 | 2018 | 99 | 87 | 2018 | 0 | 1 | 1 | 1 | 0 | 2 | 2 | 0 | 0 | 1 |  11 | 21 | 18 | 12 | 16 | 21 | 14 | 17 | 18 | 14 |
118 | Chavarria, Alvaro Eugenio | Princeton University | 2012 | male | 1 | 2 | 2016 | 11 | 11 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 |  0 | 2 | 1 | 1 | 3 | 4 | 2 | 2 | 2 | 2 |
119 | Hawley, Wendy Phyllis | Arizona State University | 2012 | female | 2 | 0 | 2012 | 2 | 1 | 2014 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 |
120 | Huang, Yanshi | The University of Texas at Arlington | 2012 | None | 10 | 16 | 2018 | 44 | 72 | 2018 | 2 | 2 | 1 | 0 | 2 | 3 | 0 | 5 | 3 | 3 |  4 | 8 | 5 | 2 | 9 | 16 | 6 | 15 | 16 | 14 |
121 | Barger, Kathleen Ann | The University of Wisconsin - Madison | 2012 | female | 2 | 3 | 2017 | 4 | 9 | 2018 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 1 |  1 | 0 | 0 | 0 | 0 | 3 | 1 | 2 | 0 | 2 |
122 | Su, Meng | Harvard University | 2012 | male | 5 | 0 | 2012 | 10 | 14 | 2018 | 0 | 0 | 1 | 1 | 1 | 2 | 0 | 0 | 0 | 0 |  0 | 1 | 3 | 2 | 2 | 2 | 2 | 5 | 0 | 2 |
123 | Mao, Sui Ann | Harvard University | 2012 | None | 7 | 2 | 2017 | 24 | 26 | 2018 | 0 | 1 | 1 | 1 | 0 | 4 | 0 | 0 | 1 | 0 |  3 | 4 | 4 | 3 | 1 | 9 | 4 | 1 | 7 | 7 |
124 | Kelso, Christopher Michael | The University of Chicago | 2012 | male | 2 | 0 | 2012 | 3 | 0 | 2012 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 |
125 | Attanayake, Januka | University of Connecticut | 2012 | female | 1 | 1 | 2014 | 2 | 1 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 |
126 | Spivey, Shane Charles | The University of Texas at Arlington | 2012 | male | 1 | 2 | 2015 | 1 | 2 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 |
127 | Bornak, Jillian | New Mexico State University | 2012 | female | 2 | 0 | 2012 | 5 | 1 | 2013 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 2 | 1 | 1 | 1 | 1 | 0 | 0 | 0 |
128 | Coh, Senia | Rutgers The State University of New Jersey - New Brunswick | 2012 | female | 1 | 0 | 2012 | 1 | 0 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
129 | Shah, Priti Dhanesh | The University of Utah | 2012 | female | 1 | 0 | 2012 | 6 | 16 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 5 | 5 | 2 | 5 | 1 |
130 | Morris, Rob | New York University | 2012 | male | 3 | 0 | 2012 | 65 | 49 | 2018 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  7 | 26 | 6 | 10 | 7 | 9 | 6 | 17 | 10 | 9 |
131 | Yelda, Sylvana | University of California, Los Angeles | 2012 | None | 3 | 1 | 2014 | 13 | 11 | 2017 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 1 | 0 | 0 |  1 | 1 | 4 | 2 | 1 | 4 | 5 | 3 | 1 | 1 |
132 | Noroozian, Omid | California Institute of Technology | 2012 | male | 2 | 1 | 2013 | 3 | 3 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 3 | 2 | 0 | 0 | 1 |
133 | Cox, David Eric | University of Connecticut | 2012 | male | 1 | 0 | 2012 | 2 | 0 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 |
134 | Gilet, Candace Elise | University of California, Berkeley | 2012 | female | 1 | 1 | 2013 | 1 | 1 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |
135 | Cheng, Roseanne M. | The University of North Carolina at Chapel Hill | 2012 | female | 1 | 2 | 2014 | 1 | 7 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 2 | 1 |
136 | Lorenz, Suzanne | Purdue University | 2012 | female | 1 | 0 | 2012 | 2 | 3 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 2 | 0 | 1 | 0 |
137 | Ruzybayev, Bakhtiyar | University of Delaware | 2012 | male | 1 | 0 | 2012 | 33 | 40 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 7 | 13 | 12 | 18 | 10 | 12 | 0 |
138 | Asplund, Curtis Tor | University of California, Santa Barbara | 2012 | male | 1 | 0 | 2012 | 1 | 0 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
