n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1993 | fa_1994 | fa_1995 | fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1993 | all_1994 | all_1995 | all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
201 | Pickering, Timothy Edward | THE UNIVERSITY OF ARIZONA | 1998 | male | 3 | 1 | 1999 | 4 | 17 | 2017 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 2 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 7 | 2 | 1 | 0 |
202 | Hagiwara, Yoshiaki | The Graduate University for Advanced studies | 1998 | male | 2 | 19 | 2016 | 2 | 38 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 2 | 2 | 2 | 1 | 3 | 0 | 2 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 2 | 1 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 3 | 2 | 2 | 3 | 1 | 4 | 1 | 3 | 0 | 1 | 1 | 2 | 2 | 5 | 1 | 3 | 3 |
203 | Chiu, Weihsueh Albert | PRINCETON UNIVERSITY | 1998 | None | 2 | 3 | 2003 | 2 | 3 | 2003 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
204 | Dinescu, Dana Ioana | Yale University | 1998 | female | 4 | 10 | 2005 | 8 | 17 | 2016 | 0 | 0 | 1 | 1 | 1 | 1 | 2 | 1 | 1 | 1 | 2 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  2 | 1 | 1 | 2 | 1 | 1 | 2 | 1 | 1 | 1 | 4 | 3 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 |
205 | Graham, Bradley L. | GEORGE MASON UNIVERSITY | 1998 | male | 1 | 0 | 1998 | 2 | 0 | 1998 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
206 | Holz, Daniel Erwin | THE UNIVERSITY OF CHICAGO | 1998 | male | 4 | 8 | 2012 | 5 | 109 | 2017 | 0 | 0 | 0 | 1 | 0 | 3 | 2 | 0 | 2 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 1 | 0 | 3 | 4 | 1 | 4 | 4 | 2 | 3 | 2 | 4 | 6 | 5 | 3 | 5 | 2 | 5 | 7 | 2 | 3 | 34 |
207 | Linton, Mark George | UNIVERSITY OF CALIFORNIA, BERKELEY | 1998 | male | 3 | 11 | 2009 | 5 | 40 | 2017 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 2 | 1 | 1 | 0 | 1 | 3 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 0 | 3 | 3 | 2 | 2 | 1 | 2 | 0 | 1 | 3 | 0 | 0 | 3 | 3 | 2 | 1 | 4 | 5 | 0 | 4 |
208 | Siopis, Christos | UNIVERSITY OF FLORIDA | 1998 | male | 4 | 2 | 2009 | 6 | 17 | 2017 | 0 | 0 | 1 | 1 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 2 | 1 | 0 | 2 | 1 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 3 | 1 | 1 | 0 | 1 | 2 | 0 | 3 |
209 | Pauls, Jennifer Linde | UNIVERSITY OF KANSAS | 1998 | female | 2 | 0 | 1998 | 3 | 0 | 1998 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
210 | Clowe, Douglas Ian | UNIVERSITY OF HAWAII | 1998 | male | 2 | 11 | 2012 | 4 | 63 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 2 | 1 | 1 | 2 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 1 | 2 | 0 | 1 | 3 | 4 | 2 | 5 | 3 | 6 | 4 | 4 | 11 | 4 | 0 | 7 | 0 | 2 | 3 | 3 |
