USA|F|2018|Johns Hopkins University Applied Physics Laboratory, Laurel, MD, USA|0|Bruntz, Robert Jeffrey|Bruntz, Robert
USA|F|2018|NASA Marshall Space Flight Center, ZP 13, Huntsville, AL 35812, USA|0|Cirtain, Jonathan Wesley|Cirtain, J.
USA|F|2018|Physics Division, Lawrence Berkeley National Laboratory, Berkeley, CA, USA|0|Suzuki, Jun|Suzuki, A.
USA|F|2018|SETI Institute, 189 North Bernardo Avenue, Suite 200, Mountain View, CA 94043, USA|0|Cuk, Matija|Cuk, Matija
USA|R1|2018|School of Physics and Astronomy, University of Minnesota, Minneapolis, MN, USA|0|Young, Kaisa Elizabeth|Young, K.
USA|R1|2018|Steward Observatory, University of Arizona, 933 N. Cherry Ave, Tucson, AZ 85721-0065 USA|0|Eisner, Joshua A.|Eisner, J. A.
USA|P|2019|American Association of Variable Star Observers, 49 Bay State Road, Cambridge, MA 02138, USA|0|Kafka, Styliani|Kafka, S.
USA|R1|2019|Big Bear Solar Observatory, New Jersey Institute of Technology, Big Bear City, CA 92314, USA|0|Ahn, Kyungjin|Ahn, K.
USA|R1|2019|Center for Cosmology and Astroparticle Physics, The Ohio State University, 191 West Woodruff Lane, Columbus, OH 43210, USA; Department of Physics, The Ohio State University, 191 West Woodruff Lane, Columbus, OH 43210, USA; Department of Astronomy, The Ohio State University, 140 West 18th Avenue, Columbus, OH 43210, USA|0|Hirata, Christopher Michael|Hirata, Christopher M.
USA|R1|2019|Center for Solar-Terrestrial Research, Institute of Space Weather Science, New Jersey Institute of Technology, 323 Martin Luther King Boulevard, Newark, NJ 07102, USA ; Big Bear Solar Observatory, New Jersey Institute of Technology, 40386 North Shore Lane, Big Bear, CA 92314, USA|0|Jing, Ju|Jing, Ju
USA|R2|2019|Center of Excellence in Information Systems, Tennessee State University, Nashville, TN 37209, USA; College of Life and Physical Sciences, Tennessee State University, Nashville, TN 37209, USA|0|Muterspaugh, Matthew Ward|Muterspaugh, Matthew W.
USA|L|2019|College of Charleston, Charleston, SC, USA|0|Carson, Joseph Coler|Carson, Joseph C.
USA|R1|2019|Department of Astronomy, University of Maryland, College Park, MD 20742, USA|0|Gezari, Suvi T. K.|Gezari, Suvi
USA|R1|2019|Department of Astronomy, University of Massachusetts, Amherst, MA 01003, USA|0|Gutermuth, Robert Allen|Gutermuth, Robert
# USA|R1|2019|Department of Astronomy, Yale University, New Haven, CT, USA|0|Basu, Sayandeb|Basu, S.
USA|R1|2019|Department of Computational Mathematics, Science and Engineering, Department of Physics and Astronomy, National Superconducting Cyclotron Laboratory, Michigan State University, East Lansing, MI 48823, USA|0|O'Shea, Brian William|O'Shea, Brian W.
USA|R1|2019|Department of Earth Science, University of California Santa Barbara, Santa Barbara, CA 93106, USA|0|Jackson, Miranda|Jackson, M. G.
USA|R1|2019|Department of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD 21210, USA|0|Sing, David Kent|Sing, David K.
USA|R2|2019|Department of Geological Sciences, Brigham Young University, Provo, UT, USA|0|Radebaugh, Jani|Radebaugh, J.
USA|L|2019|Department of Physics &amp; Astronomy, College of Charleston, 66 George Street, Charleston, SC, 29424, USA; Max-Planck-Institut für Astronomie, Königstuhl 17, 69117, Heidelberg, Germany|0|Carson, Jennifer Elaine|Carson, J.
USA|R1|2019|Department of Physics &amp; Astronomy, Johns Hopkins University, Bloomberg Center, 3400 N. Charles St., Baltimore, MD 21218, USA|0|Zakamska, Nadia L.|Zakamska, Nadia L.
USA|R1|2019|Department of Physics &amp; Astronomy, Washington State University, Pullman, Washington 99164, USA|0|Duez, Matthew D.|Duez, M. D.
USA|L|2019|Department of Physics and Astronomy, Haverford College, 370 Lancaster Ave, Haverford, PA 19041, USA; Institute of Cosmology &amp; Gravitation, University of Portsmouth, Dennis Sciama Building, Portsmouth PO1 3FX, UK|0|Masters, Karen Louise|Masters, Karen
USA|R1|2019|Department of Physics and Astronomy, Mitchell Institute for Fundamental Physics and Astronomy, Texas A&amp;M University, College Station, Texas, TX-77843, USA|0|Strigari, Louis E.|Strigari, Louis E.
USA|R1|2019|Department of Physics and Astronomy, Rutgers University - The State University of New Jersey, Piscataway, NJ, USA|0|Scott, Lauren M.|Scott, L. M.
USA|R2|2019|Department of Physics and Astronomy, University of Alabama in Huntsville, Huntsville, AL 35899, USA|0|Sun, Ming|Sun, M.
USA|R1|2019|Department of Physics and Astronomy, University of California, Riverside, 900 University Avenue, Riverside, CA 92521, USA|0|Siana, Brian D.|Siana, Brian
USA|R1|2019|Department of Physics, Kavli Institute for Astrophysics and Space Research, Massachusetts Institute of Technology, Cambridge, MA 02139, USA|0|Weinberg, Nevin Nachum|Weinberg, Nevin N.
USA|R1|2019|Department of Physics, Princeton University, Princeton, NJ, USA|0|Jones, William C.|Jones, W.
USA|L|2019|Department of Physics, University of Evansville, Evansville IN 47722, USA|1|Reisetter, Angela Jean|Reisetter, A.
USA|R1|2019|Department of Physics, University of Illinois at Chicago, Chicago, Illinois 60607, USA|0|Ugalde, Claudio|Ugalde, C.
USA|R1|2019|Department of Physics, University of Wisconsin-Milwaukee, 3135 North Maryland Avenue, Milwaukee, WI 53211, USA; Center for Computational Astrophysics, Flatiron Institute, 162 Fifth Avenue, New York, NY 10010, USA|0|Chang, Philip|Chang, Philip
USA|R1|2019|Department of Physics, Yale University, New Haven, CT 06520, USA|0|Nagai, Daisuke|Nagai, D.
USA|F|2019|Goddard Space Flight Center, Maryland, USA|0|Hurford, Terry Anthony, Jr.|Hurford, T.
USA|F|2019|Harvard-Smithsonian Center for Astrophysics, 60 Garden St., Cambridge, MA 02138, USA|0|Patnaude, Daniel James|Patnaude, Daniel J.
USA|F|2019|Harvard-Smithsonian Center for Astrophysics, 60 Garden Street, Cambridge, MA 02138, USA|0|Randall, Scott William|Randall, S. W.
USA|F|2019|Harvard-Smithsonian Center for Astrophysics, 60 Garden Street, Cambridge, MA, 02138, USA|0|Meibom, Soren Christian Dalgaard|Meibom, S.
USA|F|2019|Heliophysics Science Division, NASA Goddard Space Flight Center, Greenbelt, MD USA|0|Sarantos, Menelaos|Sarantos, Menelaos
USA|R1|2019|Homer L. Dodge Department of Physics and Astronomy, University of Oklahoma, 440 W. Brooks Street, Norman, OK, 73019, USA|0|Wisniewski, J. P.|Wisniewski, J. P.
USA|F|2019|Infrared Processing Analysis Center, California Institute of Technology, 770 South Wilson Ave., Pasadena, CA 91125, USA|0|McGehee, Peregrine M.|McGehee, P.
USA|R1|2019|Kavli Institute for Astrophysics and Space Research, Massachusetts Institute of Technology, Cambridge, MA 02139, USA|0|Burke, Christopher J.|Burke, Christopher
USA|R1|2019|Kavli Institute for Cosmological Physics, University of Chicago, Chicago, IL 60637, USA; Department of Astronomy and Astrophysics, University of Chicago, Chicago, IL 60637, USA|0|Chang, Clarence Leeder|Chang, C.
USA|R1|2019|Kavli Institute for Particle Astrophysics &amp; Cosmology, Stanford University, PO Box 2450, Stanford, CA 94305, USA; SLAC National Accelerator Laboratory, Menlo Park, CA 94025, USA|0|Rykoff, Eli S.|Rykoff, E. S.
USA|R1|2019|Laboratory for Atmospheric and Space Physics, University of Colorado Boulder, Boulder, CO USA|0|Chamberlin, Phillip Clyde|Chamberlin, Phillip C.
USA|F|2019|Large Binocular Telescope Observatory, University of Arizona, AZ 85721, USA; Department of Physics and Astronomy, George Mason University, MS 3F3, 4400 University Drive, Fairfax, VA 22030, USA|0|Rothberg, Barry S.|Rothberg, Barry
USA|R1|2019|Lunar and Planetary Laboratory, University of Arizona, Tucson, AZ 85721, USA|0|Carter, Lynn Marie|Carter, Lynn M.
USA|F|2019|NASA Goddard Space Flight Center, Greenbelt, MD 20771, USA|0|Kocevski, Daniel|Kocevski, D.
USA|F|2019|NASA Goddard Space Flight Center, Greenbelt, MD 20771, USA|0|Schnittman, Jeremy David|Schnittman, Jeremy D.
USA|F|2019|NASA Goddard Space Flight Center, Greenbelt, MD USA|0|Schiff, Conrad|Schiff, C.
USA|F|2019|NASA Goddard Spaceflight Center, Greenbelt, MD USA|0|Espley, Jared R.|Espley, Jared
USA|F|2019|NASA Johnson Space Center, Houston, TX USA|0|Niles, Paul Breckenridge|Niles, Paul B.
USA|F|2019|NASA/Goddard Space Flight Center, Code 671, Greenbelt, MD 20771, USA|0|Allred, Joel C.|Allred, Joel C.
USA|R1|2019|National Superconducting Cyclotron Laboratory, Michigan State University, East Lansing, Michigan 48824, USA; JINA Center for the Evolution of the Elements, Michigan State University, East Lansing, Michigan 48824, USA|0|Montes, Fernando|Montes, F.
USA|F|2019|Observatories of the Carnegie Institution for Science, 813 Santa Barbara Street, Pasadena, CA 91101, USA|0|Simon, Joshua David|Simon, Joshua D.
USA|F|2019|Planetary Defense Coordination Office, Planetary Science Division, NASA Headquarters, 300 E St SW, Washington, DC 20546, USA|0|Fast, Kelly Elizabeth|Fast, Kelly E.
USA|F|2019|Planetary Science Institute, 1106 Chalfant St, South Bend, IN 46617, USA|0|Richardson, James Edward, Jr.|Richardson, James E.
USA|F|2019|Southwest Research Institute, Boulder, CO USA|0|Steffl, Andrew Joseph|Steffl, A.
USA|F|2019|Space Science Institute, 4750 Walnut Street, Suite 205, Boulder, CO 80301, USA|0|Peterson, Dawn E.|Peterson, Dawn
USA|F|2019|Space Telescope Science Institute, 3700 San Martin Drive, Baltimore, MD 21218, USA|0|Debes, John H., IV|Debes, John H.
USA|F|2019|Space Telescope Science Institute, 3700 San Martin Drive, Baltimore, MD 21218, USA|0|Fox, Andrew J.|Fox, Andrew J.
USA|R1|2019|Syracuse University, Syracuse, NY 13244, USA|0|Davis, Daryl C.|Davis, D.
USA|F|2019|US Naval Observatory, Flagstaff Station, P.O. Box 1149, Flagstaff, AZ 86002, USA|0|Dahm, Scott E.|Dahm, Scott E.
USA|R1|2019|University of Cincinnati, Clermont College, Batavia, OH, 45103, USA|0|Abel, Nicholas Paul|Abel, N. P.
