USA|2019|Department of Astronomy, University of Michigan, 311 West Hall, 1085 S. University Avenue, Ann Arbor, MI, 48109, USA|0|Bergin, Edwin Anthony|Bergin, E. A.
USA|2019|Spitzer Science Center, MS 220-6, California Institute of Technology, Pasadena, CA, USA|0|Carey, Sean Joseph|Carey, Sean
USA|2019|Division of Physics, Mathematics, and Astronomy, California Institute of Technology, Pasadena, CA 91125, USA|0|Hillenbrand, Lynne Anne|Hillenbrand, Lynne A.
non-USA|2016|Jet Propulsion Laboratory/Caltech, United States|0|Comeaux, Keith|Comeaux, Keith
USA|2019|Black Hole Initiative at Harvard University, 20 Garden Street, Cambridge, MA 02138, USA ; Center for Astrophysics | Harvard &amp; Smithsonian, 60 Garden Street, Cambridge, MA 02138, USA|0|Doeleman, Sheperd S.|Doeleman, Sheperd S.
non-USA|2016|CSIRO Astronomy and Space Science, PO Box 76, Epping, NSW 1710, Australia|0|Pearce, Steven James|Pearce, S.
non-USA|2019|Laboratoire de Physique et Chimie de l’Environnement et de l’Espace—Université d’Orléans/CNRS, F-45071 Orléans Cedex 02, France ; Station de Radioastronomie de Nançay, Observatoire de Paris, CNRS/INSU, F-18330 Nançay, France|0|Gendreau, Keith Charles|Gendreau, K. C.
non-USA|2017|Dept. of Physics and Wisconsin IceCube Particle Astrophysics Center, University of Wisconsin, Madison, WI 53706, U.S.A.|0|Meade, Paul Edward|Meade, P.
non-USA|2018|Institute for Atmospheric and Climate Science, ETH Zurich, Zurich, Switzerland|0|Fischer, Erich Michel|Fischer, Erich
non-USA|2018|Korea Astronomy and Space Science Institute, Daejon 34055, Republic of Korea|0|Kim, Dong-Chan|Kim, H. -W.
USA|2017|NASA Goddard Space Flight Center, 8800 Greenbelt Road, Greenbelt, MD 20771, USA ; McMaster University, Hamilton, Ontario, L8S 4L8, Canada;|0|Lai, Jie|Lai, J. C. -Y.
USA|2019|Planetary Sciences Group, Department of Physics, University of Central Florida, Orlando, Florida, USA|0|Harrington, Joseph|Harrington, Joseph
non-USA|2016|Department of Astronomy and Space Science, Kyung Hee University, Yongin 17104, Korea ; School of Space Research, Kyung Hee University, Yongin 17104, Korea;|0|Jang, Minhwan|Jang, Minhwan
non-USA|2019|Department of Earth Sciences, National Taiwan Normal University, 88 Section 4, Ting-Chou Road, Taipei 116, Taiwan|0|Kuan, Yi-Jehng|Kuan, Y. -J.
USA|2019|Department of Astronomy, The University of Texas at Austin, 2515 Speedway, Stop C1400, Austin, TX 78712-1205, USA|0|Yuan, Ying|Yuan, Y. -L.
non-USA|2017|National Institute for Environmental Studies, Tsukuba, Japan|0|Zeng, Jun|Zeng, J.
USA|2019|Center for Astrophysics ∣ Harvard &amp; Smithsonian, Cambridge, MA 02138, USA|0|Ashby, Matthew Lawrence Noyes|Ashby, M. L. N.
USA|2015|Office of the President, Worcester Polytechnic Institute, Worcester, MA 01609, USA|2|Leshin, Laurie Ann|Leshin, L. A.
USA|2019|NCSA, University of Illinois at Urbana-Champaign, 1205 W. Clark St., Urbana, IL 61801, USA|0|Plante, Raymond Louis|Plante, Raymond
