 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_2000 |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_2000 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 187 | Milazzo, Moses Pollen | The University of Arizona, Arizona, USA | 2005 | male | 3 | 0 | 2005 | 16 | 9 | 2010 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 6 | 1 | 0 | 4 | 3 | 0 | 2 | 2 | 0 | 5 | 0 | 0 | 0 | 0 | 0 | 0 |
 191 | Nagai, Daisuke | The University of Chicago, Illinois, USA | 2005 | male | 5 | 5 | 2013 | 12 | 65 | 2017 | 1 | 0 | 0 | 2 | 0 | 2 | 1 | 2 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 3 | 2 | 4 | 4 | 4 | 4 | 7 | 2 | 4 | 9 | 7 | 8 | 6 | 8 |
 192 | Raymond, Sean Neylon | University of Washington, Washington, USA | 2005 | male | 7 | 21 | 2016 | 12 | 91 | 2017 | 0 | 0 | 0 | 1 | 2 | 4 | 4 | 2 | 3 | 3 | 1 | 1 | 1 | 2 | 3 | 0 | 1 | 0 | 0 | 0 | 4 | 4 | 4 | 4 | 5 | 8 | 8 | 5 | 8 | 7 | 12 | 17 | 6 | 7 |
 196 | Kesden, Michael | California Institute of Technology, California, USA | 2005 | male | 6 | 12 | 2015 | 8 | 24 | 2017 | 0 | 0 | 2 | 2 | 0 | 2 | 2 | 0 | 1 | 1 | 3 | 2 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 3 | 3 | 0 | 2 | 2 | 0 | 3 | 1 | 3 | 2 | 3 | 1 | 1 | 3 | 2 |
 199 | Allgood, Brandon A. | University of California, nta Cruz, California, USA | 2005 | male | 1 | 1 | 2006 | 4 | 4 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 2 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
 201 | Chen, Jennifer | The University of Chicago, Illinois, USA | 2005 | female | 15 | 31 | 2015 | 47 | 99 | 2017 | 2 | 2 | 1 | 2 | 2 | 6 | 5 | 4 | 7 | 4 | 3 | 3 | 2 | 1 | 1 | 1 | 0 | 7 | 5 | 2 | 6 | 7 | 20 | 18 | 7 | 12 | 12 | 10 | 9 | 7 | 8 | 2 | 5 | 4 |
 203 | Farmer, Alison Jane | California Institute of Technology, California, USA | 2005 | female | 5 | 3 | 2009 | 9 | 6 | 2009 | 0 | 0 | 0 | 2 | 1 | 2 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 2 | 2 | 1 | 3 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 206 | Erickson, Joel K. | Princeton University, New Jersey, USA | 2005 | male | 5 | 1 | 2007 | 5 | 2 | 2009 | 1 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 207 | Jones, William C. | California Institute of Technology, California, USA | 2005 | male | 4 | 4 | 2007 | 13 | 157 | 2017 | 0 | 3 | 0 | 0 | 0 | 1 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 4 | 4 | 0 | 2 | 8 | 5 | 2 | 1 | 10 | 21 | 1 | 11 | 40 | 16 | 41 |
 209 | Krumholz, Mark Reuben | University of California, Berkeley, California, USA | 2005 | male | 6 | 44 | 2017 | 6 | 126 | 2017 | 0 | 0 | 0 | 0 | 1 | 5 | 3 | 7 | 2 | 5 | 3 | 5 | 5 | 4 | 3 | 4 | 2 | 0 | 0 | 0 | 0 | 1 | 5 | 4 | 7 | 4 | 9 | 11 | 18 | 15 | 13 | 16 | 12 | 9 |
