n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
127 | Hosclaw, Tracy | University of California, Santa Cruz | 2011 | female | 1 | 0 | 2011 | 1 | 0 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
128 | Taylor, Matthew F. | Wayne State University | 2011 | male | 2 | 0 | 2011 | 11 | 9 | 2017 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 3 | 1 | 4 | 2 | 1 | 0 | 0 | 3 | 4 |
129 | Gralla, Megan B. | The University of Chicago | 2011 | female | 3 | 1 | 2014 | 4 | 34 | 2018 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 3 | 7 | 12 | 5 | 4 | 2 |
130 | Ji, Jun | University of Michigan | 2011 | male | 3 | 2 | 2015 | 4 | 13 | 2018 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 1 | 0 |  1 | 0 | 0 | 2 | 0 | 1 | 0 | 4 | 0 | 4 | 4 |
131 | Finkel, Hal Joshua | Yale University | 2011 | male | 1 | 0 | 2011 | 3 | 11 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 1 | 1 | 1 | 1 | 3 | 4 |
132 | Westlake, Joseph H. | The University of Texas at San Antonio | 2011 | male | 2 | 6 | 2016 | 13 | 27 | 2018 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 0 | 2 | 0 | 2 |  0 | 1 | 1 | 3 | 4 | 4 | 5 | 0 | 4 | 3 | 12 |
133 | Trotter, Adam Somers | The University of North Carolina at Chapel Hill | 2011 | male | 1 | 1 | 2017 | 2 | 6 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 1 | 2 |
134 | Dumoulin, Robert Nicolas | Columbia University | 2011 | male | 1 | 0 | 2011 | 2 | 3 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 0 | 1 | 0 |
135 | Ramadhan, Handhika Satrio | Tufts University | 2011 | male | 1 | 3 | 2018 | 3 | 7 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 1 | 1 | 1 | 3 | 0 | 0 | 1 | 2 |
136 | Landon, Jonathan C. | Brigham Young University | 2011 | male | 2 | 0 | 2011 | 3 | 0 | 2011 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 |
137 | Thomas, Nicholas Evan | University of Miami | 2011 | male | 8 | 3 | 2018 | 54 | 134 | 2018 | 0 | 1 | 1 | 0 | 1 | 5 | 1 | 0 | 0 | 1 | 0 |  1 | 8 | 2 | 13 | 19 | 11 | 11 | 7 | 13 | 29 | 39 |
138 | Liang, Zhuohan | The Johns Hopkins University | 2011 | None | 1 | 2 | 2013 | 3 | 7 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 1 | 2 | 1 | 2 | 1 | 1 |
139 | Herbert-Fort, Stephane | The University of Arizona | 2011 | male | 5 | 1 | 2012 | 11 | 3 | 2012 | 1 | 0 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 |  2 | 0 | 4 | 1 | 2 | 2 | 3 | 0 | 0 | 0 | 0 |
140 | Brizius, Alison Rebecca | The University of Chicago | 2011 | female | 1 | 0 | 2011 | 2 | 3 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 2 | 1 | 0 | 0 | 0 |
141 | Featherstone, Nicholas Andrew | University of Colorado at Boulder | 2011 | male | 5 | 3 | 2016 | 5 | 6 | 2018 | 0 | 1 | 0 | 1 | 0 | 3 | 0 | 0 | 0 | 1 | 2 |  0 | 1 | 0 | 1 | 0 | 3 | 1 | 0 | 0 | 2 | 3 |
142 | Wannawichian, Suwicha | Boston University | 2011 | None | 3 | 2 | 2015 | 6 | 2 | 2018 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 0 |  0 | 0 | 2 | 2 | 1 | 1 | 0 | 1 | 0 | 1 | 0 |
143 | Lanza, Nina | The University of New Mexico | 2011 | female | 3 | 4 | 2016 | 7 | 41 | 2018 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 0 | 1 | 1 | 1 |  0 | 0 | 1 | 1 | 3 | 2 | 4 | 8 | 11 | 8 | 3 |
144 | Christy, Brian John | University of Maryland, College Park | 2011 | male | 2 | 1 | 2014 | 43 | 59 | 2018 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 |  1 | 4 | 6 | 7 | 11 | 14 | 11 | 18 | 12 | 15 | 3 |
145 | Hartl, Alexandre E. | North Carolina State University | 2011 | male | 2 | 0 | 2011 | 3 | 1 | 2012 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 |
146 | Wall, Aron Clark | University of Maryland, College Park | 2011 | male | 4 | 8 | 2017 | 7 | 27 | 2018 | 0 | 0 | 0 | 1 | 2 | 1 | 2 | 3 | 1 | 1 | 0 |  0 | 1 | 0 | 1 | 3 | 2 | 3 | 6 | 5 | 5 | 5 |
147 | Yakunin, Konstantin | Florida Atlantic University | 2011 | male | 2 | 1 | 2015 | 2 | 5 | 2016 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 2 | 2 |
148 | Parashare, Chaitali Ravindra | University of Virginia | 2011 | female | 1 | 0 | 2011 | 3 | 2 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 2 | 0 | 0 | 0 | 0 |
149 | Sumner, Matthew Casey | California Institute of Technology | 2011 | male | 1 | 0 | 2011 | 6 | 1 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  2 | 3 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
150 | Dvorkin, Cora | The University of Chicago | 2011 | female | 8 | 3 | 2014 | 10 | 24 | 2018 | 0 | 0 | 1 | 2 | 2 | 3 | 0 | 1 | 2 | 0 | 0 |  0 | 0 | 1 | 3 | 2 | 4 | 2 | 4 | 5 | 5 | 5 |
151 | Sullivan, Ian Sorensen | California Institute of Technology | 2011 | male | 2 | 1 | 2012 | 10 | 23 | 2018 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 |  1 | 3 | 1 | 1 | 3 | 1 | 2 | 5 | 0 | 4 | 10 |
152 | Dumm, Jonathan P. | The University of Wisconsin - Madison | 2011 | male | 1 | 0 | 2011 | 45 | 101 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  1 | 4 | 6 | 8 | 11 | 15 | 18 | 17 | 12 | 15 | 21 |
153 | Klida, Michael M. | Boston University | 2011 | male | 1 | 0 | 2011 | 1 | 1 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 |
154 | O Murchadha, Aongus | The University of Wisconsin - Madison | 2011 | male | 1 | 0 | 2011 | 20 | 89 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 2 | 2 | 1 | 3 | 12 | 11 | 18 | 10 | 14 | 17 |
155 | Bose, Maitrayee | Washington University in St. Louis | 2011 | female | 2 | 3 | 2017 | 5 | 8 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 1 | 0 | 0 |  0 | 0 | 1 | 1 | 2 | 1 | 1 | 1 | 2 | 2 | 0 |
156 | Hansen, Matthew | University of California, Santa Barbara | 2011 | male | 4 | 2 | 2012 | 6 | 9 | 2018 | 2 | 0 | 0 | 0 | 0 | 2 | 2 | 0 | 0 | 0 | 0 |  2 | 0 | 0 | 1 | 0 | 3 | 3 | 2 | 2 | 1 | 1 |
157 | Prested, Christina | Boston University | 2011 | female | 3 | 0 | 2011 | 7 | 1 | 2013 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 3 | 1 | 2 | 0 | 1 | 0 | 0 | 0 |
158 | Haque, Sheikh Shajid | The University of Wisconsin - Madison | 2011 | male | 2 | 1 | 2017 | 5 | 5 | 2018 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  2 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 1 | 0 |
159 | Boggs, William Darian | University of Maryland, College Park | 2011 | male | 1 | 0 | 2011 | 11 | 0 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 2 | 3 | 2 | 2 | 2 | 0 | 0 | 0 | 0 | 0 |
160 | Andeen, Karen Grace | The University of Wisconsin - Madison | 2011 | female | 2 | 0 | 2011 | 45 | 48 | 2018 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  3 | 4 | 6 | 7 | 11 | 14 | 11 | 10 | 3 | 2 | 7 |
161 | Jameson, Graef | Columbia University | 2011 | None | 1 | 0 | 2011 | 1 | 0 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
162 | Corliss, Jason B. | The University of Wisconsin - Madison | 2011 | male | 1 | 0 | 2011 | 1 | 0 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
163 | Parker, Daryl Gray | University of California, Los Angeles | 2011 | male | 1 | 0 | 2011 | 6 | 2 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 2 | 0 | 2 | 2 | 1 | 0 | 0 | 1 | 0 |
164 | Arnold, Charles William | The University of North Carolina at Chapel Hill | 2011 | male | 1 | 1 | 2012 | 1 | 2 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 |
165 | Lessa, Andre | The University of Oklahoma | 2011 | male | 1 | 0 | 2011 | 7 | 5 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 6 | 2 | 1 | 1 | 1 | 0 |
166 | Papai, Peter | University of Hawai'I at Manoa | 2011 | male | 1 | 0 | 2011 | 4 | 1 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 1 | 2 | 0 | 1 | 0 | 0 | 0 |
167 | Barton, Sean A. | The Florida State University | 2011 | male | 1 | 0 | 2011 | 1 | 0 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
168 | Cesaratto, John Michael | The University of North Carolina at Chapel Hill | 2011 | male | 2 | 1 | 2013 | 4 | 3 | 2015 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 3 | 1 | 1 | 1 | 0 | 1 | 0 |
169 | Barcikowski, Elliott L. | The University of Utah | 2011 | male | 1 | 0 | 2011 | 2 | 18 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 0 | 1 | 4 | 4 | 2 | 5 | 1 |
170 | Kryukova, Erin E. | The University of Toledo | 2011 | female | 1 | 2 | 2014 | 3 | 5 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 3 | 0 | 1 | 0 | 1 |
171 | Christopher, Grant E. | New York University | 2011 | male | 1 | 0 | 2011 | 3 | 7 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 0 | 1 | 3 | 1 | 2 | 1 | 0 |
172 | Kite, Edwin Stephen | University of California, Berkeley | 2011 | male | 7 | 12 | 2018 | 9 | 21 | 2018 | 0 | 1 | 0 | 2 | 0 | 4 | 0 | 3 | 1 | 2 | 3 |  0 | 1 | 1 | 3 | 0 | 4 | 3 | 4 | 1 | 3 | 6 |
173 | Niehof, Jonathan | Boston University | 2011 | male | 3 | 0 | 2011 | 4 | 6 | 2016 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 2 | 1 | 0 | 2 | 1 | 1 | 2 |
174 | Fattoyev, Farrooh | The Florida State University | 2011 | male | 4 | 7 | 2018 | 5 | 13 | 2018 | 0 | 0 | 0 | 0 | 3 | 1 | 2 | 2 | 2 | 0 | 0 |  0 | 0 | 1 | 0 | 3 | 1 | 2 | 2 | 3 | 4 | 1 |
175 | Mchunu, Basil Menzi | University of Missouri - Columbia | 2011 | male | 1 | 0 | 2011 | 2 | 0 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
176 | Cummings, Jeff | Indiana University | 2011 | male | 1 | 0 | 2011 | 38 | 19 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  10 | 5 | 9 | 4 | 3 | 7 | 3 | 3 | 7 | 2 | 2 |
177 | Lemaux, Brian Clark | University of California, Davis | 2011 | male | 3 | 5 | 2018 | 11 | 56 | 2018 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 2 | 0 | 0 |  0 | 0 | 2 | 5 | 1 | 3 | 5 | 4 | 10 | 6 | 9 |
178 | Yencho, Brian | The University of Wisconsin - Madison | 2011 | male | 3 | 0 | 2011 | 4 | 0 | 2011 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  1 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
179 | Isensee, Karl | University of Minnesota | 2011 | male | 2 | 1 | 2012 | 4 | 1 | 2012 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 2 | 1 | 1 | 0 | 0 | 0 | 0 |
180 | Barrentine, Emily Margaret | The University of Wisconsin - Madison | 2011 | female | 3 | 0 | 2011 | 3 | 2 | 2015 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 1 | 0 |
181 | Reyes, Reinabelle | Princeton University | 2011 | None | 6 | 1 | 2012 | 7 | 10 | 2017 | 0 | 0 | 2 | 0 | 2 | 2 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 3 | 0 | 2 | 2 | 2 | 1 | 4 | 1 | 0 |
182 | Shepherd, William Madsen | University of California, Irvine | 2011 | male | 2 | 0 | 2011 | 6 | 10 | 2018 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 4 | 1 | 2 | 3 | 3 | 0 |
183 | Guedes, Javiera M. | University of California, Santa Cruz | 2011 | female | 6 | 1 | 2013 | 6 | 13 | 2015 | 0 | 0 | 2 | 1 | 0 | 3 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 2 | 1 | 0 | 3 | 1 | 5 | 3 | 4 | 0 |
184 | Sterenborg, Michael Glenn | Harvard University | 2011 | male | 3 | 0 | 2011 | 3 | 0 | 2011 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 |
185 | Hicks, Elizabeth Peele | The University of Chicago | 2011 | female | 1 | 2 | 2015 | 6 | 3 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 |  0 | 0 | 1 | 0 | 1 | 4 | 0 | 1 | 0 | 2 | 0 |
186 | Kanner, Jonah Brian | University of Maryland, College Park | 2011 | male | 2 | 3 | 2016 | 35 | 109 | 2018 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 1 |  0 | 0 | 5 | 13 | 9 | 8 | 17 | 8 | 13 | 8 | 31 |
187 | Hernandez, Audra Kathleen | University of Florida | 2011 | female | 3 | 3 | 2015 | 6 | 11 | 2018 | 0 | 0 | 0 | 0 | 0 | 3 | 1 | 1 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 2 | 4 | 1 | 2 | 2 | 4 | 1 |
188 | Blum, Jennifer L. | University of Michigan | 2011 | female | 4 | 2 | 2015 | 18 | 38 | 2018 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 1 | 0 |  1 | 1 | 1 | 6 | 4 | 5 | 5 | 2 | 5 | 8 | 10 |
189 | Schindhelm, Eric Robert | University of Colorado at Boulder | 2011 | male | 1 | 3 | 2015 | 2 | 26 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 4 | 3 | 3 | 5 | 9 |
190 | Oakley, Phillip Henry Howard | University of Colorado at Boulder | 2011 | male | 3 | 0 | 2011 | 3 | 1 | 2014 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 1 | 0 | 0 |
191 | Lee, Shiu-Hang | Stanford University | 2011 | female | 6 | 13 | 2018 | 67 | 62 | 2018 | 2 | 0 | 1 | 0 | 0 | 3 | 2 | 3 | 2 | 3 | 2 |  3 | 2 | 1 | 12 | 26 | 23 | 21 | 12 | 5 | 10 | 7 |
192 | Flaherty, Kevin | The University of Arizona | 2011 | male | 5 | 7 | 2018 | 7 | 29 | 2018 | 0 | 1 | 1 | 0 | 1 | 2 | 1 | 1 | 1 | 1 | 2 |  0 | 1 | 1 | 2 | 1 | 2 | 2 | 4 | 4 | 7 | 7 |
193 | Guha Niyogi, Suklima | University of Missouri - Columbia | 2011 | None | 3 | 1 | 2014 | 3 | 1 | 2014 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 1 | 0 | 0 |
194 | Fox, James Lewis | Montana State University | 2011 | male | 7 | 0 | 2011 | 14 | 10 | 2018 | 1 | 3 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 |  2 | 3 | 3 | 0 | 1 | 5 | 0 | 4 | 1 | 5 | 0 |
195 | Pitts, Mark A. | University of Hawai'i at Manoa | 2011 | male | 1 | 0 | 2011 | 4 | 0 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 |
196 | Essey, Warren James | University of California, Los Angeles | 2011 | male | 5 | 2 | 2014 | 6 | 5 | 2014 | 0 | 0 | 0 | 0 | 2 | 3 | 1 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 4 | 2 | 2 | 1 | 0 | 0 |
197 | Kruger, Andrew James | University of California, Davis | 2011 | male | 2 | 2 | 2013 | 4 | 4 | 2013 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 1 | 2 | 2 | 2 | 0 | 0 | 0 |
198 | Stringer, Christopher Bayard | The University of North Carolina at Chapel Hill | 2011 | male | 1 | 0 | 2011 | 2 | 0 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
199 | Reines, Amy Ellen | University of Virginia | 2011 | female | 5 | 7 | 2016 | 8 | 22 | 2018 | 0 | 0 | 2 | 0 | 1 | 2 | 1 | 1 | 2 | 1 | 2 |  0 | 1 | 2 | 1 | 2 | 2 | 1 | 1 | 4 | 5 | 7 |
200 | Teguia, Alberto Mokak | Duke University | 2011 | male | 1 | 0 | 2011 | 3 | 0 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
201 | Davis, Andrew James | Yale University | 2011 | male | 4 | 2 | 2014 | 21 | 12 | 2018 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 2 | 0 | 0 |  1 | 1 | 6 | 3 | 6 | 4 | 3 | 3 | 3 | 0 | 1 |
202 | Gobeille, Doug B. P. | Brandeis University | 2011 | male | 1 | 0 | 2011 | 1 | 2 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 |
203 | Young, Monica | Boston University | 2011 | female | 8 | 8 | 2016 | 14 | 19 | 2018 | 0 | 0 | 1 | 2 | 3 | 2 | 3 | 1 | 0 | 3 | 1 |  0 | 2 | 1 | 4 | 3 | 4 | 6 | 5 | 0 | 4 | 3 |
204 | Shaw, John David | University of Delaware | 2011 | male | 2 | 0 | 2011 | 18 | 3 | 2017 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  4 | 6 | 3 | 1 | 2 | 2 | 1 | 1 | 0 | 0 | 0 |
205 | Ubaldi, Lorenzo | University of California, Santa Cruz | 2011 | male | 1 | 0 | 2011 | 6 | 6 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 2 | 3 | 0 | 4 | 1 | 1 | 0 |
206 | Antonini, Fabio | Rochester Institute of Technology | 2011 | male | 6 | 13 | 2018 | 6 | 24 | 2018 | 0 | 0 | 1 | 1 | 2 | 2 | 3 | 2 | 2 | 2 | 3 |  0 | 0 | 1 | 1 | 2 | 2 | 3 | 2 | 4 | 6 | 5 |
207 | Wang, Qian | Iowa State University | 2011 | female | 14 | 16 | 2018 | 85 | 88 | 2018 | 3 | 0 | 1 | 2 | 4 | 4 | 5 | 3 | 4 | 0 | 3 |  15 | 9 | 13 | 15 | 15 | 18 | 15 | 14 | 15 | 14 | 14 |
208 | Leisenring, Jarron Michael | University of Virginia | 2011 | male | 2 | 0 | 2011 | 11 | 21 | 2018 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 2 | 2 | 2 | 4 | 2 | 2 | 5 | 6 | 3 |
209 | Pan, Danny C. | Drexel University | 2011 | male | 1 | 1 | 2012 | 1 | 5 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 1 | 2 | 0 |
210 | Klein, Beth L. | University of California, Los Angeles | 2011 | female | 4 | 1 | 2012 | 19 | 40 | 2018 | 1 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 0 |  4 | 1 | 3 | 1 | 6 | 4 | 5 | 6 | 2 | 6 | 9 |
211 | Henning, Wade Garrett | Harvard University | 2011 | None | 2 | 1 | 2014 | 3 | 6 | 2018 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 2 | 1 |
212 | Shirokoff, Erik D. | University of California, Berkeley | 2011 | male | 3 | 0 | 2011 | 19 | 42 | 2018 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 2 | 7 | 9 | 11 | 11 | 7 | 7 | 4 |
213 | Jackson, Aaron Perry | State University of New York at Stony Brook | 2011 | male | 3 | 2 | 2014 | 11 | 13 | 2018 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 2 | 0 | 0 |  2 | 1 | 1 | 2 | 4 | 1 | 2 | 3 | 4 | 1 | 2 |
214 | Bejjani, Micheline | Texas Christian University | 2011 | female | 1 | 0 | 2011 | 1 | 0 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
215 | Zickefoose, James | University of Connecticut | 2011 | male | 1 | 0 | 2018 | 1 | 0 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
216 | Parker, Charles Walter | Boston University | 2011 | male | 1 | 0 | 2011 | 1 | 3 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 |
217 | Statham, Shannon M. | Georgia Institute of Technology | 2011 | female | 1 | 0 | 2011 | 1 | 0 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
218 | Atri, Dimitra | University of Kansas | 2011 | female | 6 | 6 | 2017 | 7 | 13 | 2017 | 0 | 0 | 0 | 0 | 1 | 5 | 0 | 1 | 2 | 0 | 2 |  0 | 0 | 0 | 0 | 2 | 5 | 0 | 2 | 2 | 3 | 5 |
219 | Stone, Jennifer Mary | The University of Wisconsin - Madison | 2011 | female | 4 | 0 | 2011 | 12 | 7 | 2018 | 0 | 0 | 0 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 |  2 | 2 | 2 | 3 | 1 | 2 | 2 | 0 | 0 | 2 | 2 |
220 | Olmedo, Oscar | George Mason University | 2011 | male | 3 | 2 | 2013 | 4 | 8 | 2014 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 2 | 1 | 3 | 3 | 2 | 0 | 0 |
