n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
69 | Sherman, Reid A. | The University of Chicago | 2011 | male | 3 | 1 | 2012 | 3 | 7 | 2017 | 0 | 0 | 2 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 2 | 0 | 0 | 1 | 4 | 2 | 0 | 0 | 0 |
70 | Ponce C., Marcelo | Rochester Institute of Technology | 2011 | male | 1 | 0 | 2011 | 1 | 0 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
71 | Peterson, Courtney Marie | Harvard University | 2011 | female | 3 | 1 | 2013 | 3 | 3 | 2016 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 3 | 0 | 1 | 1 | 0 | 1 |
72 | Thyagarajan, Nithyanandan | Columbia University | 2011 | male | 2 | 6 | 2018 | 2 | 23 | 2018 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 0 | 2 | 1 |  0 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 0 | 4 | 12 |
73 | Soderlund, Krista Marie | University of California, Los Angeles | 2011 | female | 1 | 5 | 2015 | 4 | 12 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 2 | 1 | 0 |  0 | 0 | 1 | 0 | 1 | 2 | 1 | 2 | 3 | 3 | 1 |
74 | Peterson, William M. | The University of Iowa | 2011 | male | 3 | 0 | 2011 | 4 | 4 | 2018 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 3 | 0 |
75 | Sayre, Daniel B. | Ohio University | 2011 | male | 1 | 1 | 2012 | 1 | 2 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 |
76 | Oksala, Mary Elizabeth | University of Delaware | 2011 | female | 2 | 5 | 2018 | 5 | 28 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 0 | 2 | 0 |  0 | 0 | 0 | 0 | 2 | 3 | 6 | 4 | 2 | 9 | 2 |
77 | Thorman, Paul | The University of New Mexico | 2011 | male | 1 | 0 | 2011 | 3 | 6 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 3 | 2 | 1 | 1 | 1 | 0 |
78 | Wolf, Joseph | University of California, Irvine | 2011 | male | 1 | 1 | 2018 | 7 | 8 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 2 | 2 | 0 | 1 | 2 | 1 | 2 | 0 | 1 | 0 |
79 | Jordan, Andrew P. | Boston University | 2011 | male | 3 | 4 | 2018 | 3 | 8 | 2018 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 1 | 1 | 1 | 0 |  0 | 0 | 0 | 1 | 0 | 2 | 1 | 1 | 1 | 1 | 2 |
80 | Lundberg, Erik | School : University of South Florida | 2011 | male | 1 | 2 | 2012 | 3 | 3 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 3 | 3 | 0 | 0 | 0 | 0 |
81 | Wilson-Ewing, Edward | The Pennsylvania State University | 2011 | male | 2 | 8 | 2018 | 9 | 21 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 2 | 0 | 1 | 2 |  0 | 0 | 1 | 2 | 3 | 3 | 3 | 2 | 5 | 3 | 4 |
82 | Tu, Weichao | University of Colorado at Boulder | 2011 | None | 5 | 4 | 2014 | 7 | 15 | 2018 | 0 | 0 | 0 | 1 | 1 | 3 | 1 | 1 | 2 | 0 | 0 |  0 | 0 | 0 | 2 | 1 | 4 | 2 | 2 | 4 | 1 | 3 |
83 | Dormody, Michael Harry | University of California, Santa Cruz | 2011 | male | 2 | 0 | 2011 | 38 | 1 | 2012 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 1 | 15 | 14 | 7 | 1 | 0 | 0 | 0 | 0 |
84 | Devin, Michael J. | Baylor University | 2011 | male | 2 | 1 | 2014 | 2 | 1 | 2014 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 |
85 | Scott, Michael | Indiana University | 2011 | male | 1 | 1 | 2014 | 10 | 11 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 |  2 | 1 | 0 | 1 | 1 | 5 | 4 | 1 | 3 | 2 | 0 |
