non-USA|2019|IMCCE, Observatoire de Paris, PSL Research University, CNRS, Sorbonne Université, Univ. Lille, 77 Avenue Denfert-Rochereau, 75014 Paris, France|0|Cooper, Nathaniel J.|Cooper, N.
USA|2019|Astrophysical and Planetary Sciences, University of Colorado, Boulder, CO, USA; Space Sciences Laboratory, University of California, Berkeley, CA, USA|0|Kazachenko, Maria Dmitiyevna|Kazachenko, M. D.
USA|2019|Department of Astronomy, University of Michigan, 1085 S. University Avenue, Ann Arbor, MI 48109, USA|0|Rauscher, Emily Christine|Rauscher, Emily
non-USA|2019|Leiden Observatory, Leiden University, P.O. box 9513, NL-2300 RA Leiden, the Netherlands|0|Hodge, Jacqueline Alleen|Hodge, J. A.
USA|2019|Department of Physics and Astronomy, University of North Carolina at Chapel Hill, Chapel Hill, NC 27599, USA|0|Johnson, Elsa M.|Johnson, E. M.
USA|2019|Department of Astronomy, The Ohio State University, 4051 McPherson Laboratory, 140 West 18th Avenue, Columbus, OH, 43210, USA; Illumination Works LLC, 5650 Blazer Parkway, Suite 152, Dublin, OH, 43017, USA|0|Croxall, Kevin V.|Croxall, K. V.
non-USA|2019|Max-Planck-Institut für Physik, Munich, Germany|0|Lee, Christina On-Yee|Lee, C.
non-USA|2019|Departamento de Astronomía y Astrofísica, Universidad de Valencia, E-46100 Burjassot, Valencia, Spain; Observatorio Astronómico, Universidad de Valencia, E-46980 Paterna, Valencia, Spain|0|Munoz, Joseph Antonio|Munoz, J. A.
USA|2019|Jet Propulsion Laboratory, California Institute of Technology, Pasadena, California 91109, USA|1|Romero-Wolf, Andrew|Romero-Wolf, A.
USA|2016|Department of Physics and Astronomy, University of Iowa, Van Allen Hall, Iowa City, IA, 52242, USA|0|Gall, Daniel D.|Gall, D.
USA|2019|Southwest Research Institute, San Antonio, TX 78238, USA|0|Munoz-Jaramillo, Andres|Munoz-Jaramillo, Andres
USA|2016|Institute of Engineering, Murray State University, Murray, KY 42071, USA|0|Ridley, Joshua P.|Ridley, J. P.
USA|2018|Texas A&amp;M University, College Station, USA|0|Gilmore, James Brian|Gilmore, J.
non-USA|2019|Department of Physics, University of California San Diego, CA 92093, U.S.A.|0|Arnold, Kam Stahly|Arnold, Kam
non-USA|2019|Department of Physics &amp; Center for Cosmology and AstroParticle Physics, The Ohio State University, Columbus OH 43210, U.S.A.|1|Sutherland, Michael Stephen|Sutherland, Michael S.
non-USA|2018|Key Laboratory of Optical Astronomy, National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100012, People's Republic of China|0|Wei, Hanying|Wei, H. G.
