n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
85 | Schiffrin, Joshua Seth | The University of Chicago | 2015 | male | 5 | 0 | 2015 | 6 | 1 | 2016 | 0 | 0 | 1 | 0 | 1 | 3 | 0 |  0 | 0 | 1 | 0 | 2 | 3 | 1 |
86 | Contreras-Campana, Christian Javier | Rutgers The State University of New Jersey - New Brunswick | 2015 | male | 1 | 0 | 2015 | 2 | 1 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 1 | 0 | 1 | 1 |
87 | Malloy, Matthew | University of Pennsylvania | 2015 | male | 3 | 0 | 2015 | 5 | 0 | 2015 | 0 | 0 | 0 | 1 | 0 | 2 | 0 |  0 | 0 | 0 | 1 | 1 | 3 | 0 |
88 | Munson, Justin Michael | University of California, Berkeley | 2015 | male | 1 | 1 | 2017 | 1 | 1 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 |
89 | Spector, Aaron Dean | University of Florida | 2015 | male | 2 | 0 | 2015 | 3 | 0 | 2015 | 0 | 0 | 1 | 0 | 0 | 1 | 0 |  0 | 1 | 1 | 0 | 0 | 1 | 0 |
90 | Ramezanali, Mohammad | Rutgers The State University of New Jersey - New Brunswick | 2015 | male | 1 | 0 | 2015 | 1 | 0 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 |
91 | Sabharwal, Subir | Arizona State University | 2015 | male | 1 | 0 | 2015 | 5 | 0 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 1 | 2 | 2 | 0 |
92 | Steel, Alexander Bennett | University of California, Davis | 2015 | male | 1 | 0 | 2015 | 1 | 0 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 |
93 | Lee, Jason P. | George Mason University | 2015 | male | 3 | 3 | 2017 | 69 | 31 | 2018 | 0 | 0 | 1 | 0 | 0 | 2 | 0 |  9 | 2 | 5 | 11 | 17 | 25 | 6 |
94 | Asebedo, Antonio Ray | Kansas State University | 2015 | male | 1 | 0 | 2015 | 1 | 0 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 |
95 | Wade, Leslie E., IV | The University of Wisconsin - Milwaukee | 2015 | female | 3 | 0 | 2015 | 39 | 56 | 2018 | 0 | 0 | 1 | 0 | 1 | 1 | 0 |  1 | 0 | 8 | 6 | 14 | 10 | 27 |
96 | Groopman, Evan Edward | Washington University in St. Louis | 2015 | male | 4 | 0 | 2018 | 5 | 0 | 2018 | 0 | 0 | 1 | 0 | 1 | 2 | 0 |  0 | 0 | 1 | 1 | 1 | 2 | 0 |
97 | Gratia, Pierre | The University of Chicago | 2015 | male | 4 | 2 | 2017 | 6 | 2 | 2017 | 0 | 0 | 1 | 1 | 1 | 1 | 1 |  0 | 0 | 1 | 2 | 2 | 1 | 1 |
98 | AlMuhammad, Anwar Saleh | The University of Texas at San Antonio | 2015 | male | 2 | 1 | 2016 | 2 | 1 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 1 |  0 | 0 | 0 | 0 | 0 | 2 | 1 |
99 | Castiglioni, Giacomo | University of Southern California | 2015 | male | 1 | 0 | 2015 | 1 | 0 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 |
100 | Liu, Zhao | Northwestern University | 2015 | None | 6 | 2 | 2018 | 80 | 15 | 2018 | 1 | 0 | 2 | 1 | 0 | 2 | 0 |  15 | 13 | 14 | 13 | 14 | 11 | 7 |
101 | Robinson, Alan Edward | The University of Chicago | 2015 | male | 2 | 2 | 2017 | 26 | 8 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 1 |  5 | 4 | 4 | 4 | 4 | 5 | 5 |
102 | Braganca, Vinicius Miranda | The University of Chicago | 2015 | None | 1 | 0 | 2015 | 1 | 0 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 |
103 | Caldwell, Shane | The University of Chicago | 2015 | male | 1 | 0 | 2015 | 4 | 0 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 1 | 1 | 1 | 0 | 1 | 0 |
104 | Lang, Meagan | Vanderbilt University | 2015 | female | 4 | 0 | 2015 | 75 | 22 | 2018 | 0 | 0 | 0 | 1 | 1 | 2 | 0 |  15 | 14 | 14 | 8 | 13 | 11 | 11 |
105 | Ham, Youngjib | University of Illinois at Urbana-Champaign | 2015 | None | 1 | 0 | 2015 | 1 | 0 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 |
106 | Limaye, Ajay Brian Sanjay | California Institute of Technology | 2015 | male | 2 | 0 | 2015 | 3 | 0 | 2015 | 0 | 0 | 1 | 0 | 0 | 1 | 0 |  0 | 1 | 1 | 0 | 0 | 1 | 0 |
107 | Sehlke, Alexander | University of Missouri - Columbia | 2015 | male | 2 | 2 | 2017 | 2 | 2 | 2018 | 0 | 0 | 0 | 0 | 0 | 2 | 1 |  0 | 0 | 0 | 0 | 0 | 2 | 1 |
108 | Chamberlain, Robert | University of Illinois at Urbana-Champaign | 2015 | male | 2 | 0 | 2015 | 3 | 0 | 2015 | 0 | 0 | 0 | 0 | 0 | 2 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 0 |
109 | Zhou, Hao | Michigan Technological University | 2015 | male | 1 | 4 | 2017 | 22 | 19 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 1 |  4 | 1 | 3 | 3 | 5 | 6 | 2 |
110 | Woodle, Kathryne Sparks | The Pennsylvania State University | 2015 | female | 1 | 0 | 2015 | 1 | 0 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 |
111 | Nistor, Jonathan M. | Purdue University | 2015 | male | 1 | 0 | 2015 | 2 | 1 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 1 |
112 | Law, Ka-Hei | The Johns Hopkins University | 2015 | male | 2 | 0 | 2018 | 3 | 0 | 2018 | 0 | 1 | 0 | 0 | 0 | 1 | 0 |  0 | 1 | 1 | 0 | 0 | 1 | 0 |
113 | Basu Thakur, Ritoban | University of Illinois at Urbana-Champaign | 2015 | male | 1 | 0 | 2015 | 11 | 1 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 1 | 3 | 2 | 5 | 0 |
114 | Fischer, John Arthur | University of Pennsylvania | 2015 | male | 3 | 0 | 2015 | 41 | 14 | 2018 | 2 | 0 | 0 | 0 | 0 | 1 | 0 |  6 | 3 | 4 | 5 | 8 | 15 | 7 |
115 | Bass, Gideon | George Mason University | 2015 | male | 2 | 1 | 2016 | 2 | 1 | 2016 | 0 | 0 | 1 | 0 | 0 | 1 | 1 |  0 | 0 | 1 | 0 | 0 | 1 | 1 |
116 | Saxena, Prabal | George Mason University | 2015 | male | 3 | 1 | 2018 | 4 | 2 | 2018 | 1 | 0 | 0 | 0 | 0 | 2 | 0 |  1 | 0 | 0 | 1 | 0 | 2 | 1 |
117 | Plunkett, Adele Laurie Dennis | Yale University | 2015 | female | 1 | 1 | 2016 | 3 | 1 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 1 |  0 | 0 | 1 | 0 | 1 | 1 | 1 |
118 | Pohl, Brian L. | The University of North Carolina at Chapel Hill | 2015 | male | 1 | 0 | 2015 | 3 | 0 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  1 | 0 | 0 | 0 | 1 | 1 | 0 |
119 | Groener, Austen M. | Drexel University | 2015 | male | 2 | 1 | 2016 | 2 | 1 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 1 |  0 | 0 | 0 | 0 | 1 | 1 | 1 |
120 | Rumbaugh, Nicholas Andrew | University of California, Davis | 2015 | male | 5 | 1 | 2018 | 8 | 9 | 2018 | 0 | 0 | 2 | 1 | 0 | 2 | 0 |  0 | 0 | 2 | 1 | 2 | 3 | 0 |
121 | Allodi, Marco A. | California Institute of Technology | 2015 | male | 2 | 0 | 2015 | 3 | 1 | 2016 | 0 | 0 | 0 | 1 | 0 | 1 | 0 |  0 | 0 | 0 | 1 | 1 | 1 | 1 |
122 | Senanayake, Udara K. | The University of Alabama in Huntsville | 2015 | None | 3 | 0 | 2015 | 3 | 0 | 2015 | 0 | 0 | 0 | 1 | 0 | 2 | 0 |  0 | 0 | 0 | 1 | 0 | 2 | 0 |
123 | Morgan, Kelsey M. | The University of Wisconsin - Madison | 2015 | female | 1 | 0 | 2015 | 6 | 2 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 1 | 3 | 2 | 1 |
124 | Bhattacharyya, Abir | University of Florida | 2015 | female | 2 | 1 | 2018 | 8 | 4 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 0 |  0 | 1 | 3 | 0 | 2 | 2 | 1 |
125 | Storm, Emma | University of California, Santa Cruz | 2015 | female | 4 | 2 | 2018 | 6 | 4 | 2018 | 0 | 0 | 1 | 1 | 0 | 2 | 0 |  0 | 0 | 1 | 1 | 1 | 3 | 0 |
126 | Elder, Catherine Margaret | The University of Arizona | 2015 | female | 2 | 1 | 2017 | 2 | 2 | 2017 | 0 | 0 | 1 | 0 | 0 | 1 | 0 |  0 | 0 | 1 | 0 | 0 | 1 | 0 |
127 | Rude, Cody Millard | The University of North Dakota | 2015 | male | 1 | 0 | 2015 | 2 | 0 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 1 | 0 | 0 | 1 | 0 |
128 | Driggers, Jennifer Clair | California Institute of Technology | 2015 | female | 3 | 0 | 2015 | 60 | 61 | 2018 | 0 | 0 | 2 | 0 | 0 | 1 | 0 |  6 | 7 | 20 | 6 | 13 | 8 | 29 |
129 | Stark, Casey William | University of California, Berkeley | 2015 | male | 3 | 0 | 2015 | 8 | 3 | 2018 | 0 | 0 | 0 | 0 | 0 | 3 | 0 |  1 | 0 | 0 | 2 | 1 | 4 | 3 |
130 | Vargas, Luis Carlos | Yale University | 2015 | male | 4 | 0 | 2015 | 9 | 0 | 2018 | 0 | 0 | 0 | 1 | 2 | 1 | 0 |  0 | 1 | 1 | 2 | 3 | 2 | 0 |
131 | Swearingen, Jeremy R. | University of Cincinnati | 2015 | male | 1 | 0 | 2015 | 4 | 2 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 1 | 0 | 3 | 2 |
132 | Hemingway, Douglas | University of California, Santa Cruz | 2015 | male | 3 | 1 | 2018 | 4 | 3 | 2018 | 0 | 0 | 0 | 1 | 0 | 2 | 0 |  0 | 0 | 0 | 1 | 1 | 2 | 1 |
133 | McNally, Frank | The University of Wisconsin - Madison | 2015 | male | 1 | 0 | 2015 | 40 | 30 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 17 | 9 | 14 | 15 |
134 | Schenker, Matthew A. | California Institute of Technology | 2015 | male | 5 | 0 | 2015 | 20 | 0 | 2015 | 0 | 0 | 1 | 2 | 1 | 1 | 0 |  0 | 3 | 1 | 12 | 1 | 3 | 0 |
135 | McGuire, Brett Andrew | California Institute of Technology | 2015 | male | 6 | 6 | 2018 | 13 | 12 | 2018 | 0 | 0 | 1 | 1 | 2 | 2 | 4 |  0 | 0 | 2 | 1 | 5 | 5 | 6 |
136 | Cleeves, Lauren Ilsedore | University of Michigan | 2015 | female | 8 | 4 | 2018 | 16 | 13 | 2018 | 0 | 1 | 0 | 2 | 2 | 3 | 3 |  0 | 2 | 1 | 4 | 3 | 6 | 8 |
137 | Squire, Jonathan | Princeton University | 2015 | male | 7 | 6 | 2018 | 7 | 8 | 2018 | 0 | 0 | 0 | 0 | 2 | 5 | 2 |  0 | 0 | 0 | 0 | 2 | 5 | 2 |
138 | Li, Zhao | Dartmouth College | 2015 | None | 30 | 7 | 2018 | 96 | 39 | 2018 | 4 | 3 | 5 | 4 | 8 | 6 | 2 |  15 | 10 | 11 | 16 | 25 | 19 | 13 |
139 | Walth, Gregory Lee | University of Arizona | 2015 | male | 1 | 0 | 2015 | 17 | 4 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  5 | 1 | 4 | 3 | 2 | 2 | 2 |
140 | Feng, Qi | Purdue University | 2015 | male | 3 | 2 | 2017 | 39 | 23 | 2018 | 0 | 0 | 0 | 0 | 0 | 3 | 0 |  0 | 1 | 7 | 8 | 11 | 12 | 11 |
141 | Dahlin, Joel Timothy | University of Maryland, College Park | 2015 | male | 2 | 1 | 2017 | 2 | 2 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 1 |
142 | Pavlov, Anatoly | Kansas State University | 2015 | male | 24 | 7 | 2018 | 32 | 21 | 2018 | 2 | 4 | 4 | 7 | 4 | 3 | 2 |  2 | 4 | 5 | 8 | 7 | 6 | 9 |
143 | Griffiths, Scott Tyler | The University of Iowa | 2015 | male | 2 | 1 | 2016 | 22 | 9 | 2018 | 0 | 1 | 0 | 0 | 0 | 1 | 1 |  0 | 1 | 0 | 3 | 10 | 8 | 5 |
144 | Piscionere, Jennifer Anne | Vanderbilt University | 2015 | female | 2 | 0 | 2015 | 2 | 0 | 2018 | 0 | 0 | 0 | 0 | 0 | 2 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 |
