n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
172 | Shabaltas, Natalia Igorevna | Cornell University | 2015 | female | 2 | 0 | 2015 | 3 | 0 | 2015 | 0 | 0 | 1 | 0 | 0 | 1 | 0 |  0 | 1 | 1 | 0 | 0 | 1 | 0 |
173 | Hampton, Jesse Clay | Colorado School of Mines | 2015 | male | 1 | 0 | 2015 | 1 | 0 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 |
174 | Myers, Isaac J. | The University of Utah | 2015 | male | 1 | 0 | 2015 | 19 | 3 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 1 | 4 | 4 | 3 | 7 | 1 |
175 | Cornell, Jonathan M. | University of California, Santa Cruz | 2015 | male | 4 | 0 | 2015 | 5 | 7 | 2018 | 0 | 0 | 1 | 1 | 1 | 1 | 0 |  0 | 0 | 1 | 1 | 2 | 1 | 1 |
176 | Roig, Benjamin | New York University | 2015 | male | 3 | 0 | 2015 | 3 | 0 | 2015 | 0 | 0 | 0 | 0 | 1 | 2 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 0 |
177 | Shabram, Megan Iris | The Pennsylvania State University | 2015 | female | 3 | 1 | 2016 | 9 | 1 | 2018 | 0 | 1 | 0 | 1 | 0 | 1 | 1 |  1 | 3 | 2 | 2 | 0 | 1 | 1 |
178 | Edwards, Jessica Louise | The University of Arizona | 2015 | female | 4 | 0 | 2015 | 8 | 0 | 2015 | 0 | 0 | 0 | 1 | 2 | 1 | 0 |  0 | 1 | 1 | 2 | 2 | 2 | 0 |
179 | Greer, Benjamin J. | University of Colorado at Boulder | 2015 | male | 3 | 2 | 2016 | 4 | 2 | 2016 | 0 | 0 | 0 | 0 | 1 | 2 | 2 |  0 | 0 | 0 | 0 | 2 | 2 | 2 |
180 | Eufrasio, Rafael T. | The Catholic University of America | 2015 | male | 2 | 1 | 2017 | 3 | 5 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 1 |
181 | Foreman-Mackey, Daniel | New York University | 2015 | male | 4 | 3 | 2017 | 14 | 14 | 2018 | 0 | 0 | 0 | 1 | 1 | 2 | 2 |  0 | 0 | 0 | 4 | 2 | 8 | 8 |
182 | Yoast-Hull, Tova M. | The University of Wisconsin - Madison | 2015 | None | 7 | 3 | 2017 | 8 | 4 | 2018 | 0 | 0 | 0 | 2 | 2 | 3 | 1 |  0 | 0 | 0 | 3 | 2 | 3 | 2 |
183 | Kang, Sung-Ju | Iowa State University | 2015 | None | 4 | 3 | 2017 | 11 | 11 | 2018 | 0 | 1 | 1 | 0 | 1 | 1 | 0 |  0 | 3 | 2 | 2 | 2 | 2 | 1 |
184 | Cambier, Hal J. | University of California, Santa Cruz | 2015 | male | 3 | 0 | 2015 | 3 | 0 | 2015 | 0 | 0 | 0 | 1 | 0 | 2 | 0 |  0 | 0 | 0 | 1 | 0 | 2 | 0 |
185 | Quinn, Stephen J. | Michigan State University | 2015 | male | 4 | 1 | 2017 | 28 | 25 | 2018 | 0 | 0 | 0 | 1 | 1 | 2 | 0 |  0 | 1 | 1 | 4 | 12 | 10 | 12 |
186 | Fang, Jerome Joseph | University of California, Santa Cruz | 2015 | male | 5 | 0 | 2018 | 19 | 6 | 2018 | 2 | 0 | 1 | 1 | 0 | 1 | 0 |  2 | 1 | 4 | 5 | 4 | 3 | 2 |
187 | Paterno-Mahler, Rachel Beth | Boston University | 2015 | female | 3 | 1 | 2018 | 3 | 4 | 2018 | 0 | 0 | 0 | 1 | 1 | 1 | 0 |  0 | 0 | 0 | 1 | 1 | 1 | 1 |
188 | Fraine, Jonathan David | University of Maryland, College Park | 2015 | male | 3 | 0 | 2015 | 8 | 4 | 2018 | 0 | 0 | 0 | 1 | 1 | 1 | 0 |  0 | 0 | 2 | 1 | 3 | 2 | 1 |
189 | Terrien, Ryan C. | The Pennsylvania State University | 2015 | male | 6 | 0 | 2015 | 17 | 3 | 2018 | 0 | 0 | 2 | 0 | 1 | 3 | 0 |  0 | 0 | 6 | 4 | 2 | 5 | 2 |
190 | Chen, Wei-Chia | The Florida State University | 2015 | None | 12 | 3 | 2017 | 45 | 8 | 2018 | 0 | 3 | 3 | 3 | 0 | 3 | 0 |  3 | 7 | 12 | 12 | 3 | 8 | 2 |
191 | Xu, Shaosui | University of Michigan | 2015 | None | 13 | 7 | 2018 | 32 | 22 | 2018 | 0 | 0 | 1 | 2 | 4 | 6 | 4 |  2 | 3 | 4 | 9 | 7 | 7 | 10 |
192 | Davis, Benjamin | University of Arkansas | 2015 | male | 4 | 1 | 2018 | 6 | 4 | 2018 | 0 | 0 | 1 | 0 | 1 | 2 | 0 |  0 | 0 | 1 | 1 | 2 | 2 | 2 |
193 | Mulia, Alexander J. | The University of Toledo | 2015 | male | 2 | 1 | 2016 | 4 | 2 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 1 |  1 | 1 | 0 | 0 | 0 | 2 | 1 |
194 | Mirocha, Jordan | University of Colorado at Boulder | 2015 | male | 5 | 1 | 2018 | 7 | 4 | 2018 | 0 | 0 | 1 | 1 | 1 | 2 | 0 |  0 | 0 | 1 | 2 | 2 | 2 | 1 |
195 | Murphy, Ryan Patrick | Washington University in St. Louis | 2015 | male | 1 | 1 | 2016 | 6 | 5 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 1 |  0 | 0 | 2 | 0 | 3 | 1 | 1 |
196 | Moore, Wynton E. | The University of Chicago | 2015 | None | 1 | 0 | 2015 | 2 | 0 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 0 |
197 | Hemmati, Shoubaneh | University of California, Riverside | 2015 | None | 3 | 1 | 2017 | 10 | 8 | 2018 | 0 | 0 | 0 | 0 | 1 | 2 | 0 |  0 | 0 | 1 | 0 | 2 | 7 | 3 |
198 | Louie, Melissa Nicole | State University of New York at Stony Brook | 2015 | female | 3 | 0 | 2015 | 5 | 0 | 2015 | 1 | 0 | 0 | 1 | 0 | 1 | 0 |  1 | 0 | 1 | 1 | 0 | 2 | 0 |
199 | Obenberger, Kenneth Steven | The University of New Mexico | 2015 | male | 5 | 2 | 2016 | 6 | 4 | 2017 | 0 | 0 | 0 | 0 | 2 | 3 | 2 |  0 | 0 | 0 | 0 | 2 | 4 | 2 |
200 | Zhu, Sylvia Jiechen | University of Maryland, College Park | 2015 | female | 1 | 2 | 2017 | 13 | 28 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 1 |  2 | 2 | 3 | 0 | 4 | 2 | 6 |
201 | Steckloff, Jordan K. | Purdue University | 2015 | male | 2 | 2 | 2018 | 2 | 5 | 2018 | 0 | 0 | 0 | 0 | 0 | 2 | 2 |  0 | 0 | 0 | 0 | 0 | 2 | 5 |
202 | Iglovikov, Vladimir | University of California, Davis | 2015 | male | 1 | 0 | 2015 | 1 | 0 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 |
203 | Singer, Leo P. | California Institute of Technology | 2015 | male | 4 | 3 | 2016 | 48 | 72 | 2018 | 0 | 0 | 0 | 1 | 1 | 2 | 3 |  0 | 3 | 12 | 9 | 15 | 9 | 36 |
204 | Stenning, David Craig | University of California, Irvine | 2015 | male | 1 | 1 | 2016 | 1 | 6 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 1 |  0 | 0 | 0 | 0 | 0 | 1 | 4 |
205 | Chonis, Taylor Steven | The University of Texas at Austin | 2015 | None | 3 | 0 | 2015 | 8 | 3 | 2016 | 0 | 1 | 0 | 1 | 0 | 1 | 0 |  1 | 1 | 1 | 1 | 1 | 3 | 3 |
206 | DeGroot, Laura Michelle | University of California, Riverside | 2015 | female | 1 | 0 | 2015 | 3 | 1 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 3 | 0 |
207 | Dragulin, Paul | The Florida State University | 2015 | male | 1 | 1 | 2016 | 1 | 1 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 1 |  0 | 0 | 0 | 0 | 0 | 1 | 1 |
208 | Pancoast, Anna K. | University of California, Santa Barbara | 2015 | female | 7 | 0 | 2018 | 20 | 11 | 2018 | 1 | 1 | 1 | 0 | 2 | 2 | 0 |  1 | 4 | 2 | 3 | 2 | 8 | 3 |
209 | Shields, Emily Kathryn | Princeton University | 2015 | female | 1 | 0 | 2015 | 4 | 2 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 1 | 0 | 3 | 2 |
210 | Simanton, Lesley A. | The University of Toledo | 2015 | female | 2 | 0 | 2015 | 2 | 0 | 2015 | 0 | 0 | 0 | 0 | 0 | 2 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 |
211 | Sanhueza, Patricio A. | Boston University | 2015 | male | 4 | 1 | 2017 | 18 | 14 | 2018 | 1 | 0 | 1 | 1 | 0 | 1 | 0 |  1 | 1 | 1 | 5 | 3 | 7 | 9 |
212 | Nelson, Benjamin Earl | The Pennsylvania State University | 2015 | male | 3 | 2 | 2017 | 8 | 3 | 2018 | 0 | 0 | 0 | 0 | 2 | 1 | 1 |  2 | 1 | 0 | 1 | 2 | 2 | 2 |
213 | Suchyta, Eric | The Ohio State University | 2015 | male | 1 | 1 | 2016 | 18 | 71 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 1 |  0 | 0 | 0 | 0 | 0 | 18 | 35 |
214 | Dressing, Courtney Danielle | Harvard University | 2015 | female | 6 | 2 | 2018 | 19 | 20 | 2018 | 1 | 0 | 0 | 1 | 1 | 3 | 0 |  2 | 0 | 3 | 3 | 5 | 6 | 6 |
215 | Daal, Miguel Demetrius | University of California, Berkeley | 2015 | male | 1 | 0 | 2015 | 14 | 3 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  1 | 3 | 0 | 3 | 2 | 5 | 0 |
216 | Beardsley, Adam | University of Washington | 2015 | male | 5 | 2 | 2017 | 10 | 16 | 2018 | 0 | 0 | 1 | 1 | 0 | 3 | 1 |  0 | 0 | 2 | 1 | 0 | 7 | 9 |
217 | Rueff, Katherine M. | University of Notre Dame | 2015 | female | 2 | 0 | 2015 | 3 | 0 | 2018 | 0 | 0 | 0 | 1 | 0 | 1 | 0 |  0 | 1 | 0 | 1 | 0 | 1 | 0 |
218 | Bailey, Vanessa Perry | The University of Arizona | 2015 | female | 3 | 0 | 2015 | 30 | 24 | 2018 | 0 | 0 | 0 | 1 | 1 | 1 | 0 |  1 | 1 | 3 | 5 | 6 | 14 | 12 |
219 | Hoffer, Aaron | Michigan State University | 2015 | male | 2 | 0 | 2015 | 7 | 0 | 2015 | 0 | 0 | 1 | 0 | 0 | 1 | 0 |  0 | 2 | 1 | 1 | 2 | 1 | 0 |
220 | Wolfgang, Angie K. | University of California, Santa Cruz | 2015 | female | 3 | 1 | 2016 | 9 | 3 | 2018 | 0 | 0 | 1 | 0 | 0 | 2 | 1 |  0 | 0 | 2 | 1 | 1 | 5 | 2 |
221 | Ruchlin, Ian | Rochester Institute of Technology | 2015 | male | 1 | 0 | 2018 | 1 | 2 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 |
222 | Lena, Davide | Rochester Institute of Technology | 2015 | male | 3 | 1 | 2018 | 4 | 5 | 2018 | 0 | 0 | 0 | 0 | 1 | 2 | 1 |  0 | 0 | 0 | 0 | 2 | 2 | 3 |
223 | Mitidis, Andonis | University of Florida | 2015 | male | 1 | 0 | 2015 | 1 | 0 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 |
224 | Patel, Brandon | Rutgers The State University of New Jersey - New Brunswick | 2015 | male | 3 | 0 | 2015 | 14 | 1 | 2016 | 0 | 0 | 0 | 1 | 1 | 1 | 0 |  1 | 2 | 3 | 2 | 3 | 3 | 1 |
225 | Neeleman, Marcel | University of California, San Diego | 2015 | male | 3 | 3 | 2018 | 8 | 5 | 2018 | 0 | 0 | 0 | 1 | 0 | 2 | 2 |  0 | 0 | 1 | 1 | 2 | 4 | 3 |
226 | Goetz, Andrew S. | Duke University | 2015 | male | 1 | 0 | 2015 | 1 | 0 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 |
227 | Dilts, James | University of Oregon | 2015 | male | 3 | 1 | 2016 | 3 | 1 | 2016 | 0 | 0 | 0 | 0 | 2 | 1 | 1 |  0 | 0 | 0 | 0 | 2 | 1 | 1 |
228 | Coley, Joel Barry | University of Maryland, Baltimore County | 2015 | male | 3 | 0 | 2015 | 3 | 2 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 1 |
229 | Nelson, Dylan Rubaloff | Harvard University | 2015 | male | 4 | 1 | 2018 | 19 | 16 | 2018 | 0 | 0 | 0 | 1 | 0 | 3 | 1 |  0 | 0 | 0 | 2 | 4 | 13 | 12 |
230 | Yuan, Zhen | University of Minnesota | 2015 | male | 2 | 2 | 2018 | 14 | 12 | 2018 | 0 | 0 | 0 | 0 | 0 | 2 | 2 |  2 | 1 | 2 | 0 | 2 | 7 | 5 |
231 | Zhang, Ke | California Institute of Technology | 2015 | male | 11 | 3 | 2018 | 50 | 18 | 2018 | 0 | 1 | 1 | 3 | 1 | 5 | 1 |  4 | 4 | 8 | 13 | 9 | 12 | 9 |
232 | Chappaz, Loic P. R. | Purdue University | 2015 | male | 2 | 1 | 2017 | 2 | 4 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 |
233 | Vazquez, Billy | Rochester Institute of Technology | 2015 | male | 2 | 0 | 2015 | 2 | 1 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 |
234 | Nynka, Melania | Columbia University | 2015 | female | 4 | 0 | 2018 | 13 | 4 | 2018 | 0 | 0 | 0 | 1 | 1 | 2 | 0 |  0 | 0 | 0 | 3 | 3 | 7 | 2 |
235 | Nyland, Kristina | New Mexico Institute of Mining and Technology | 2015 | female | 3 | 4 | 2018 | 12 | 17 | 2018 | 0 | 0 | 1 | 1 | 0 | 1 | 1 |  0 | 0 | 3 | 1 | 2 | 6 | 8 |
236 | Kee, Nathaniel Dylan | University of Delaware | 2015 | male | 2 | 1 | 2018 | 2 | 2 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 1 |  0 | 0 | 0 | 0 | 1 | 1 | 1 |
237 | Diemer, Benedikt | The University of Chicago | 2015 | male | 6 | 4 | 2018 | 8 | 11 | 2018 | 0 | 0 | 0 | 3 | 1 | 2 | 0 |  0 | 0 | 0 | 3 | 2 | 3 | 2 |
238 | Kwon, Ohkyung | The University of Chicago | 2015 | male | 1 | 1 | 2016 | 6 | 7 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 1 |  1 | 1 | 0 | 2 | 0 | 2 | 2 |
239 | Arumugasamy, Prakash | The Pennsylvania State University | 2015 | male | 3 | 0 | 2018 | 4 | 0 | 2018 | 0 | 0 | 0 | 0 | 1 | 2 | 0 |  0 | 0 | 1 | 0 | 1 | 2 | 0 |
240 | Kontou, Eleni-Alexandra | Tufts University | 2015 | female | 6 | 1 | 2017 | 6 | 1 | 2018 | 0 | 0 | 0 | 2 | 1 | 3 | 0 |  0 | 0 | 0 | 2 | 1 | 3 | 0 |
241 | Zhdankin, Vladimir V. | The University of Wisconsin - Madison | 2015 | male | 7 | 5 | 2018 | 10 | 5 | 2018 | 0 | 0 | 2 | 1 | 1 | 3 | 2 |  0 | 0 | 2 | 1 | 2 | 5 | 2 |
242 | Bao, Chaoyun | University of Minnesota | 2015 | female | 2 | 2 | 2016 | 2 | 2 | 2018 | 0 | 0 | 1 | 0 | 0 | 1 | 2 |  0 | 0 | 1 | 0 | 0 | 1 | 2 |
243 | Larson, Kirsten L. | University of Hawai'i at Manoa | 2015 | female | 1 | 1 | 2016 | 9 | 5 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 1 |  3 | 0 | 1 | 1 | 2 | 2 | 2 |
244 | Henderson, Calen Barnett | The Ohio State University | 2015 | male | 6 | 2 | 2016 | 30 | 23 | 2018 | 0 | 1 | 1 | 0 | 2 | 2 | 2 |  0 | 1 | 9 | 7 | 6 | 7 | 10 |
245 | Moe, Maxwell Cassady | Harvard University | 2015 | male | 4 | 1 | 2018 | 14 | 1 | 2018 | 0 | 0 | 0 | 1 | 0 | 3 | 0 |  1 | 2 | 4 | 3 | 0 | 4 | 0 |
246 | Sissom, Daniel J. | Vanderbilt University | 2015 | male | 1 | 0 | 2015 | 1 | 0 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 |
