n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1994 | fa_1995 | fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1994 | all_1995 | all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
239 | Richards, Eric A. | UNIVERSITY OF VIRGINIA | 1999 | male | 5 | 4 | 2007 | 12 | 16 | 2015 | 0 | 0 | 0 | 1 | 1 | 3 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 3 | 3 | 5 | 4 | 4 | 2 | 2 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |
240 | Bryden, Geoffrey | UNIVERSITY OF CALIFORNIA, SANTA CRUZ | 1999 | male | 2 | 5 | 2009 | 2 | 86 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 4 | 0 | 0 | 0 | 1 | 3 | 7 | 7 | 3 | 7 | 6 | 6 | 8 | 8 | 9 | 5 | 9 |
241 | Taherion, Saeed | UNIVERSITY OF KANSAS | 1999 | male | 1 | 1 | 2008 | 1 | 3 | 2009 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
242 | An, Penghui | STATE UNIVERSITY OF NEW YORK AT STONY BROOK | 1999 | male | 1 | 0 | 1999 | 1 | 1 | 2002 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
243 | Tryfonidis, Michail | MASSACHUSETTS INSTITUTE OF TECHNOLOGY | 1999 | male | 1 | 0 | 1999 | 1 | 0 | 1999 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
244 | White, Russel Joseph | University of Texas at Austin, R. L. M. Hall 15.308, Austin, TX 78712-1083 | 1999 | male | 5 | 10 | 2008 | 15 | 148 | 2017 | 1 | 0 | 0 | 2 | 0 | 2 | 0 | 1 | 0 | 2 | 1 | 1 | 0 | 3 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  5 | 2 | 1 | 3 | 1 | 3 | 0 | 1 | 2 | 4 | 2 | 6 | 5 | 11 | 10 | 6 | 3 | 6 | 25 | 17 | 23 | 13 | 10 |
245 | Faison, Michael Douglas | THE UNIVERSITY OF WISCONSIN - MADISON | 1999 | male | 3 | 1 | 2001 | 4 | 2 | 2005 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
246 | Swisdak, Michael Marchand, III | UNIVERSITY OF COLORADO AT BOULDER | 1999 | male | 2 | 10 | 2016 | 2 | 67 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 1 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 3 | 2 | 4 | 4 | 3 | 1 | 4 | 6 | 8 | 8 | 9 | 5 | 1 | 4 |
247 | Schwarz, Gregory James | ARIZONA STATE UNIVERSITY | 1999 | male | 2 | 3 | 2007 | 4 | 38 | 2016 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 1 | 1 | 0 | 1 | 1 | 2 | 3 | 0 | 0 | 1 | 2 | 7 | 3 | 3 | 2 | 4 | 1 | 3 | 2 | 2 | 2 |
248 | Tompkins, William Fraser | STANFORD UNIVERSITY | 1999 | male | 2 | 0 | 1999 | 7 | 2 | 2003 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 2 | 1 | 0 | 4 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
